,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed
1976,OPERATIONAL,"Av. Valencia, 41, 46530 Puçol, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Druni Perfumerías ®,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100076896724861636379"">A Google User</a>'], 'photo_reference': 'Aap_uEDduTXAqMK4W7HntKT0XhSrEFmld1kAhAFzY9-1hUxdZXGSNXOUHbl58BTqwYeMJRVSefjMiLUM_ywGe5ZzuY2FUKlUzmaWK8AqyZD7hzAp7D1BY2mrkPLlC3_-f3KmwkRg3quIK45u53GTTJGlzfiVt3r0fw8DLpq6mTtVj5BrgCOT', 'width': 1080}]",ChIJH-yOGHtAYA0RR_SW1DgI6So,4.3,ChIJH-yOGHtAYA0RR_SW1DgI6So,"['pharmacy', 'gym', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']",159.0,39.6173971,-0.3077533,39.61881377989272,-0.3064517201072777,39.61611412010728,-0.3091513798927222,False,"JM8R+XV Puçol, Spain",8CFXJM8R+XV,
1977,OPERATIONAL,"C. Alcalde José Puertes, 33, P. C, 46910 Alfafar, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Kiwoko. Mundo Animal,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116517509587363570670"">Toni Sevilla Molto</a>'], 'photo_reference': 'Aap_uEDXvry1NSrg8CIXp4mhBUb-K_Vi_-VKkly73KqyZFSL0KC2HHkwQ0bRPfNilcQwv15IvkwwhVXLWuVEupvJZlfMLpE2DFBSyWW0TjAzK9GXjIdmKCG6jlSgAdC_BC0ZtgNwnVHqMtNJKIrEKTC7GuJiNFXL2CAQWoJZcxp0UdVG_uHv', 'width': 1920}]",ChIJbyY6za9OYA0Rv7tZyZOnfEM,4.2,ChIJbyY6za9OYA0Rv7tZyZOnfEM,"['pet_store', 'veterinary_care', 'food', 'point_of_interest', 'store', 'establishment']",707.0,39.4110596,-0.3816705,39.41246717989272,-0.3804066201072777,39.40976752010727,-0.3831062798927222,True,"CJ69+C8 Alfafar, Spain",8CFXCJ69+C8,
1978,OPERATIONAL,"Carrer Matilde Salvador, s/n, 12540 Vila-real, Castelló, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Centro Comercial Carrefour Villarreal,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116577281169285914556"">Gustavo Valcarcel</a>'], 'photo_reference': 'Aap_uEDum9uXgdmsb7J_C06D-8rBeeIZMO3FkcUiHoUqj_hYzuJLVQaSdWViO1c01fiH3RHtHJnzN3yhhOQaL_ZoasVqTaoloLqB2MO5-Q7zv0etCey66Xp_eqcLMV-XjANjVtcb9a5zjYsRGLSchVRgbZDsL97-4JRYYnCMElAQdfyIn4Jm', 'width': 1080}]",ChIJqbzDBTUHYA0RoJRnj6YiE2E,2.9,ChIJqbzDBTUHYA0RoJRnj6YiE2E,"['shopping_mall', 'pharmacy', 'supermarket', 'grocery_or_supermarket', 'travel_agency', 'restaurant', 'food', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']",15.0,39.9283698,-0.1050147,39.92971042989272,-0.1036543201072778,39.92701077010728,-0.1063539798927222,True,"WVHV+8X Villarreal, Spain",8CFXWVHV+8X,
1979,OPERATIONAL,"Carrer de Santa Teresa, 27, 46920 Mislata, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Herbolario Navarro Mislata,"[{'height': 341, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110459659706897944643"">Herbolario Navarro Mislata</a>'], 'photo_reference': 'Aap_uEBKPLEoRjr2R846DnkuZfLOLmmWJLOZQSXVIXRYFMIwuxRvlVHaswz2f8EJSU8VZRrHCscPuHB4vzU-mdoxXF6UDagKkAM4qXOf9y4coaBZMoMVDyS68Oq7pKoCFVSBSU3GzS7Xuq-atRu5qXU8no2xGIuPWA23PDj7vv5iQQiorJcZ', 'width': 512}]",ChIJt60CQ5tPYA0RtstZyJ32gY8,4.4,ChIJt60CQ5tPYA0RtstZyJ32gY8,"['point_of_interest', 'store', 'establishment']",97.0,39.4742122,-0.4179314,39.47553052989272,-0.4166084201072778,39.47283087010728,-0.4193080798927222,True,"FHFJ+MR Mislata, Spain",8CFXFHFJ+MR,
1980,OPERATIONAL,"Carrer de Salvador Rubio, 3, 46025 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Supermercado Consum Valencia Salvador Rubio,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116927227316041420953"">Consum Basic</a>'], 'photo_reference': 'Aap_uEBDGmYxjdVaBhSSNOrvn5fDK5JJkWdoMJihIoJnHQXz_ML8Pgo8N_CQVHw281kQjgJBWez05FG7EaisJj9uR0UL4B2Ba79-aVoRT5JOCuIvrH_wOFNF3C3Ei2x4czCNrGTEsShG9y_JX7a4pOiMSGy-RqzJt0Qoinynp-RKTKS1klqT', 'width': 4000}]",ChIJ_ZvGJpNFYA0R8R6oB0cBm9Q,4.3,ChIJ_ZvGJpNFYA0R8R6oB0cBm9Q,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",227.0,39.4987912,-0.394514,39.50014102989272,-0.3931641701072778,39.49744137010727,-0.3958638298927223,True,"FJX4+G5 Valencia, Spain",8CFXFJX4+G5,
1981,OPERATIONAL,"C/ de Conca, 7, 46607 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Kuups Supermercados,"[{'height': 3984, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110977693104883961459"">A Google User</a>'], 'photo_reference': 'Aap_uEDLmy-8bgWh7ZJNN7X9gptCK8yzellRqKiBABrlUtb1qO6_2FtO_TB09ch7LWSTg6rDn-cuI_1hIFdt1TYDX5m3kQ6_d3g2oOKxMdAGvArZKcxbsIcpjIMGskq7hypjhFBRxSrdNJD9Trl1n9ivFGuqzMyutu5IL4vL_8NwN2KAU3F6', 'width': 2988}]",ChIJJ0HKukhPYA0RRTuOEBncY7k,4.0,ChIJJ0HKukhPYA0RRTuOEBncY7k,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",465.0,39.4695501,-0.3836509,39.47090932989272,-0.3823895201072777,39.46820967010727,-0.3850891798927221,True,"FJ98+RG Valencia, Spain",8CFXFJ98+RG,
1982,OPERATIONAL,"Carrer de Roís de Corella, 46007 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Proxim Supermercados,,ChIJMX-hqTBPYA0R1_dNtYgPAOU,4.0,ChIJMX-hqTBPYA0R1_dNtYgPAOU,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",1.0,39.4595144,-0.3841229,39.46089832989272,-0.3827970201072778,39.45819867010727,-0.3854966798927222,,"FJ58+R9 Valencia, Spain",8CFXFJ58+R9,
1983,OPERATIONAL,"Carrer Lepanto, 32, 46120 Alboraia, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmàcia Palmaret,,ChIJcaR5LDtGYA0RyPR5K9p32fo,4.0,ChIJcaR5LDtGYA0RyPR5K9p32fo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",1.0,39.4964512,-0.3492609,39.49783257989272,-0.3478803701072777,39.49513292010727,-0.3505800298927221,True,"FMW2+H7 Alboraya, Spain",8CFXFMW2+H7,
1984,OPERATIONAL,"Carrer Joaquim Escriva Retor, 10, 46470 Catarroja, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmàcia José Sotelo Baño,"[{'height': 2358, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111275721748168175551"">jose</a>'], 'photo_reference': 'Aap_uEB8SD6s4u8Pg5yqKkG8FNWepOhlAiAI1Oe89_PPK090c-bKjd2eFA_R8WJeoHd30AdGF9kNE56RoTpqqGpA1TIMCeh8w2RQqSTr8mnzO8qPmiikSDJV1KKbwvnZ5OL2JZp7V370OUAaByaAGztUTRKjJ8q11N_NyQbfY4An-pVANKPT', 'width': 4191}]",ChIJ0aSll4FOYA0RiwXZVAY2keE,4.1,ChIJ0aSll4FOYA0RiwXZVAY2keE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",18.0,39.4056938,-0.4086592000000001,39.40702617989272,-0.4072449701072778,39.40432652010728,-0.4099446298927222,True,"CH4R+7G Catarroja, Spain",8CFXCH4R+7G,
1985,OPERATIONAL,"Carrer de Matias Perelló, 2, 46005 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Supermercados Suma,"[{'height': 4656, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110732967886041951747"">A Google User</a>'], 'photo_reference': 'Aap_uEB4yViAfAfuTiNftHI2hrT771aD5s_sE06dEMdjxW17ifoE-tpZRKPNyJKGm616x4JsE6HuNKtjA9x3HMRhuOXBI7mn5UOPCA4huO-_jxfoc2lDk0VsuoFvAfTjlznZcCnhS5G3344z0uGg4P7ca9SEsgraoGFGHVbur1hhQSJVRndT', 'width': 2218}]",ChIJh0X0nZxJYA0RL_ZgPLYP9Gw,3.0,ChIJh0X0nZxJYA0RL_ZgPLYP9Gw,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",2.0,39.4606882,-0.3693935,39.46207787989272,-0.3680724701072777,39.45937822010728,-0.3707721298927222,True,"FJ6J+76 Valencia, Spain",8CFXFJ6J+76,
