,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,photos,opening_hours.open_now,permanently_closed
10,OPERATIONAL,"C. de Sant Vicent Màrtir, 143, 46007 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Parvulario El Belén,ChIJIUdeqjdPYA0RpO6oK2CcPno,0.0,ChIJIUdeqjdPYA0RpO6oK2CcPno,"['school', 'point_of_interest', 'establishment']",0,39.4626112,-0.3820577,39.46397512989272,-0.3807958701072777,39.46127547010727,-0.3834955298927222,"FJ79+25 Valencia, Spain",8CFXFJ79+25,,,
11,OPERATIONAL,"C/ de Guillem de Castro, 67, 46008 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Centro Privado de Educación Infantil Bambini,ChIJGd2nND9PYA0RXKSGuf0Hlhk,3.9,ChIJGd2nND9PYA0RXKSGuf0Hlhk,"['school', 'point_of_interest', 'establishment']",7,39.4709818,-0.3838398,39.47234302989272,-0.3824385201072777,39.46964337010728,-0.3851381798927221,"FJC8+9F Valencia, Spain",8CFXFJC8+9F,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103587149575533771546"">Pablo G.</a>'], 'photo_reference': 'Aap_uEBQwNhPbCZwLzUCQIcCA9ASoXJrhmI_fMbh2q7wGMKx_rxnlLSwDeCDi-fQEQMln8Bvp_6ggjHqTXHtSIYTS0sipTu_hbCUFt3qw6I10uJKm3d8M0YzC-4v7dviohZYFbc6WrlbJ7XumhkMPcRoh5Dn3kpNz7HKMaFfTx-YcUVO0Rel', 'width': 2560}]",False,
12,OPERATIONAL,"Avinguda de Peris i Valero, nº 127, bajo, 46005 València, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Centro Educación Infantil Bambini 2,ChIJTVPKM8lIYA0Rnj2-Bpz3rfs,4.9,ChIJTVPKM8lIYA0Rnj2-Bpz3rfs,"['school', 'point_of_interest', 'establishment']",10,39.4602252,-0.368574,39.46157502989272,-0.3672241701072777,39.45887537010727,-0.3699238298927222,"FJ6J+3H Valencia, Spain",8CFXFJ6J+3H,"[{'height': 599, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112076446917547091748"">A Google User</a>'], 'photo_reference': 'Aap_uEBkBQY0yehe3pvGXUz3_zVhN1EgKKKtFjWcP7uHKg87GaAmgUp7jyWXsq17vtYkDcEeMU6GFqzre-_z0OyyYcZVnWH48zPNAjdVA1qK0Z2-HlVU6haZBlbcXnmphWTdQP7tEQ-ifJlKK2gehBSSF269GHxlBHPhqr8SriX0PdZIsR-F', 'width': 900}]",False,
13,OPERATIONAL,"Carrer Marqués del Turia, 13, 46200 Paiporta, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,GUARDERIA EL CANGURO CB,ChIJj-oRrlxOYA0R0KAuu23w1sI,0.0,ChIJj-oRrlxOYA0R0KAuu23w1sI,"['point_of_interest', 'establishment']",0,39.4280993,-0.4216583,39.42948877989271,-0.4203077701072777,39.42678912010727,-0.4230074298927222,"CHHH+68 Paiporta, Spain",8CFXCHHH+68,,True,
14,OPERATIONAL,"Carrer de Sant Roc, 47, 46470 Albal, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Escuela Infantil L'escoleta,ChIJTcXR5dJNYA0R8e0Ur4Dx2F8,0.0,ChIJTcXR5dJNYA0R8e0Ur4Dx2F8,"['school', 'point_of_interest', 'establishment']",0,39.394441,-0.4162466,39.39577442989272,-0.4149028201072777,39.39307477010728,-0.4176024798927223,"9HVM+QG Albal, Spain",8CFX9HVM+QG,,True,
15,OPERATIONAL,"Carrer de Murillo, 10, 12593 Moncofa, Castelló, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Centro Privado de Educación Infantil Blanca Nieves,ChIJQbv2jaUaYA0RctkVYfm89Yk,0.0,ChIJQbv2jaUaYA0RctkVYfm89Yk,"['health', 'point_of_interest', 'establishment']",0,39.8057884,-0.1434681,39.80727947989272,-0.1424578701072778,39.80457982010728,-0.1451575298927222,"RV44+8J Moncofa, Spain",8CFXRV44+8J,,,
16,OPERATIONAL,"Carrer María Egual, 2, 46117 Bétera, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Escuela Infantil Globarines Bétera. Primer Ciclo (de 0 a 3 años),ChIJe8bz-8NcYA0RgqDKuopZY5Y,5.0,ChIJe8bz-8NcYA0RgqDKuopZY5Y,"['school', 'point_of_interest', 'establishment']",2,39.5944686,-0.4646744,39.59580152989273,-0.4631669701072778,39.59310187010728,-0.4658666298927222,"HGVP+Q4 Bétera, Spain",8CFXHGVP+Q4,,True,
17,OPERATIONAL,"C. Huerto Cadenas, 3, 30009 Murcia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,El Parvulario,ChIJvQ9CnfaBYw0RSt1czSy5xu4,5.0,ChIJvQ9CnfaBYw0RSt1czSy5xu4,"['point_of_interest', 'establishment']",2,37.9889891,-1.1376693,37.99020532989272,-1.136773620107278,37.98750567010728,-1.139473279892722,"XVQ6+HW Murcia, Spain",8C9WXVQ6+HW,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101076806640026815567"">Snowy</a>'], 'photo_reference': 'Aap_uEBUA_34A16ibISxQ6wwfYAxhuOF85CABGBoKeMt_yDTuWMd-i_Lr8mD88eFyYXGp7l93yTXEPjNXpHKRdlhz0wi1Yu2B88zScUr5D5VJzLByuAZzRuTrgRBXa9pwDkpCoDyIUUR1td4Y0fa-OOXGEJ-EijxlZ6Kds8e9Z5dNVgTocpT', 'width': 3024}]",False,
18,OPERATIONAL,"Carrer el Campés, 43, 46183 L'Eliana, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Centro Educacional Infantil El Castillo,ChIJV8WwcqpeYA0R15cDaLi6L8c,0.0,ChIJV8WwcqpeYA0R15cDaLi6L8c,"['school', 'point_of_interest', 'establishment']",0,39.57184,-0.52632,39.57316342989272,-0.5249572201072779,39.57046377010728,-0.5276568798927223,"HFCF+PF L'Eliana, Spain",8CFXHFCF+PF,,,
19,OPERATIONAL,"Carrer del Cardenal Martí, 6, 46680 Algemesí, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Guardería los Ángeles,ChIJTTr6ijWwYQ0RzcDccZnlqeo,5.0,ChIJTTr6ijWwYQ0RzcDccZnlqeo,"['point_of_interest', 'establishment']",1,39.19141,-0.43151,39.19277442989272,-0.4301258201072778,39.19007477010727,-0.4328254798927222,"5HR9+H9 Algemesí, Spain",8CFX5HR9+H9,,,
20,OPERATIONAL,"Carrer d'Albalat, 133, 46680 Algemesí, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Guardería Eva,ChIJR8Y_X0qwYQ0Rfs3_Jh6GvAc,5.0,ChIJR8Y_X0qwYQ0Rfs3_Jh6GvAc,"['school', 'point_of_interest', 'establishment']",1,39.19257,-0.43001,39.19388637989272,-0.4286445201072778,39.19118672010728,-0.4313441798927222,"5HV9+2X Algemesí, Spain",8CFX5HV9+2X,,,
21,CLOSED_TEMPORARILY,"Carrer Transformador, 1Ac, 03294 Foia d'Elx, Alicante, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Parvulario La Hoya,ChIJobe_fF-xYw0RDGu0KZm6Q1I,0.0,ChIJobe_fF-xYw0RDGu0KZm6Q1I,"['school', 'point_of_interest', 'establishment']",0,38.2120916,-0.6851465,38.21350547989272,-0.6838167701072778,38.21080582010728,-0.6865164298927222,"6867+RW Foia d'Elx, Spain",8CCX6867+RW,,,True
22,OPERATIONAL,"Carrer Sant Francesc de Paula, 10, 46740 Carcaixent, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Colorin C.B,ChIJ25sX7M-6YQ0RCVoYzn3UZzA,0.0,ChIJ25sX7M-6YQ0RCVoYzn3UZzA,"['health', 'point_of_interest', 'establishment']",0,39.1261486,-0.4487259,39.12745047989272,-0.4474010701072777,39.12475082010728,-0.4501007298927222,"4HG2+FG Carcaixent, Spain",8CFX4HG2+FG,,,
