,Asalariados,Pensionistas,Desempleados,Prestacionistas,Otros_ingresos,Code,Index_Gini,dist_rent_p80_p20,media_edad,percent_menos_18,percernt_mas_65,tamaño_casa_media,percent_casa_unipersonales,habitantes,Renta neta media por persona ,renta_media_hogar,media_unidad_consumo,mediana_unidad_consumo,renta_bruta_persona,renta_bruta_hogar,viviendas_turisticas,plazas,plaza_vivienda_turistica,percent_vivienda_turistica
1373,9774.0,3993.0,259.0,695.0,1582.0,903,34.7,3.1,45.8,12.6,24.2,2.3,32.0,1118.0,13.527,31.282,19.495,16.450,16.304,37.702,6,30,5.0,1.1
1374,7483.0,3596.0,284.0,564.0,1289.0,904,36.2,3.4,45.4,13.7,23.1,2.45,30.9,1013.0,11.243,27.718,16.534,14.350,13.216,32.583,13,61,4.7,3.7
1375,8171.0,2396.0,301.0,462.0,972.0,905,33.8,3.1,42.1,15.5,16.0,2.45,32.2,2054.0,10.491,25.943,15.443,13.650,12.301,30.418,9,31,3.4,0.9
1376,6719.0,3140.0,278.0,506.0,666.0,907,34.5,3.3,43.9,15.5,21.4,2.6,28.3,1624.0,9.739,25.855,14.456,12.250,11.309,30.023,1,2,2.0,0.2
1377,6779.0,3570.0,267.0,672.0,858.0,908,33.5,3.3,45.3,13.5,21.9,2.45,30.4,958.0,10.440,25.526,15.062,13.650,12.147,29.699,5,17,3.4,1.2
1378,9171.0,2763.0,224.0,618.0,1436.0,909,33.2,2.8,42.4,17.4,16.1,2.41,32.5,1714.0,11.885,29.116,17.302,15.050,14.211,34.813,3,13,4.3,0.3
1379,8695.0,2998.0,206.0,497.0,1592.0,900,33.2,2.7,45.4,15.0,22.8,2.29,35.9,1638.0,11.666,27.131,16.942,15.050,13.988,32.532,4,16,4.0,0.7
1380,7265.0,3045.0,232.0,539.0,691.0,902,32.8,3.3,42.5,16.7,19.2,2.51,28.9,1199.0,10.093,25.468,14.787,13.650,11.772,29.705,2,6,3.0,0.3
1381,5661.0,2702.0,269.0,661.0,537.0,903,32.8,3.1,43.5,15.4,21.7,2.53,33.2,1781.0,8.691,22.366,12.821,11.550,9.830,25.297,5,19,3.8,0.6
1382,9660.0,1908.0,261.0,674.0,792.0,905,32.7,3.3,39.7,18.9,12.6,2.54,29.2,1176.0,11.198,28.743,16.727,15.050,13.295,34.126,2,10,5.0,0.4
1383,6249.0,3774.0,264.0,608.0,1131.0,906,35.4,3.2,45.4,13.8,24.2,2.43,33.1,1410.0,10.332,25.412,14.935,13.650,12.026,29.578,4,17,4.3,0.5
1384,8178.0,2787.0,202.0,559.0,1059.0,907,25.5,2.2,43.9,18.0,21.5,2.7,19.5,929.0,10.963,29.664,16.573,15.750,12.784,34.593,0,0,0.0,0.0
1385,8232.0,2155.0,295.0,539.0,825.0,908,33.0,2.7,40.7,19.2,15.5,2.71,23.4,1760.0,10.278,28.008,15.620,13.650,12.046,32.824,1,2,2.0,0.1
1386,6799.0,3325.0,265.0,668.0,695.0,909,32.9,2.9,44.6,16.0,23.2,2.54,26.3,1295.0,10.047,25.931,14.964,13.650,11.751,30.327,2,6,3.0,0.4
