,name,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
94,Ashton English School,0.0,0,39.4677769,-0.35598459999999993,education,1218,school
95,Escuela Infantil Dehesa,5.0,3,39.4426756,-0.36759749999999997,education,1031,school
96,Escuela Infantil Bolquerets,0.0,0,39.45365,-0.37587,education,1023,school
97,spanishtoyou,0.0,0,39.452569399999994,-0.37432209999999994,education,1026,school
98,Colegio Inglés,0.0,0,39.4632544,-0.3624603,education,0257,school
99,Colegio de Eli,0.0,0,39.4618942,-0.3745918,education,0215,school
100,Escuela De Programacion,0.0,0,39.466620899999995,-0.3529653,education,1222,school
101,Escuela infantil Montañés,5.0,1,39.462568700000006,-0.3699496,education,0208,school
102,ESCUELA INFANTIL BABOO,5.0,3,39.458600399999995,-0.36124359999999994,education,1009,school
103,Escuela Náutica Orión,5.0,20,39.4617133,-0.36079179999999994,education,1001,school
104,CEIP Jaime Balmes,4.7,16,39.4611655,-0.3699461,education,0221,school
105,Colegio Milo,0.0,0,39.4829695,-0.3718422,education,0527,school
106,ESAT - Innovation school,5.0,1,39.4774006,-0.3719288,education,0103,school
107,"Hispania, escuela de español",4.4,89,39.4805595,-0.36560290000000006,education,0618,school
108,Colegio pro,0.0,0,39.488597399999996,-0.3638343,education,1534,primary_school
109,Escuela Infantil Amics,4.0,38,39.4834854,-0.3771059,education,0511,school
110,Colegio Territorial De Valencia,0.0,0,39.4684719,-0.37167449999999996,education,0236,school
111,Escuela Marketing and Web,5.0,23,39.474722799999995,-0.3605747,education,0603,university
112,Colegio Sagrado Corazón,4.3,35,39.4785805,-0.374822,education,0103,school
113,colegio ingles padbury,5.0,1,39.48450029999999,-0.35731090000000004,education,1406,school
114,colegio,0.0,0,39.495183600000004,-0.3796887,education,1521,school
115,Escuela Infantil Chispa,4.8,5,39.491797600000005,-0.37238340000000003,education,1504,school
116,Colegio Vera,0.0,0,39.4808922,-0.37169250000000004,education,0528,school
117,Escola Infantil Municipal Benicalap,5.0,6,39.493629399999996,-0.3863649,education,1629,school
118,Athena School of English,5.0,5,39.4859529,-0.37963379999999997,education,0502,school
119,Colegio Mantellate,3.0,4,39.486425,-0.38644559999999994,education,0505,school
120,Colegio Diocesano San Juan Bosco,4.4,9,39.482844,-0.3845171,education,0407,school
121,Col·legi Pïus XII,3.9,46,39.4806885,-0.3713884,education,0528,school
122,Colegio maria auxiliadora,0.0,0,39.49301,-0.3731158,education,1512,school
123,Escuela efp,0.0,0,39.4666201,-0.35231690000000004,education,1224,school
124,Centro Educación Infantil ANAIA,5.0,9,39.4701483,-0.3453155,education,1329,school
125,Escuela De Ciencia,5.0,1,39.4681475,-0.3530317,education,1221,school
126,Escuela Desi,0.0,0,39.470808899999994,-0.3436585,education,1329,school
127,Escuela Infantil Trafalgar,0.0,0,39.46876779999999,-0.3407375,education,1303,school
128,Guadalaviar School,4.3,48,39.4755694,-0.3555113,education,0626,school
129,Brother Valencia Escuela de Creativos,5.0,1,39.469989700000006,-0.35732290000000005,education,0615,school
130,La Anunciación Elementary School,4.6,34,39.46427509999999,-0.34495690000000007,education,1212,primary_school
131,niñas Colegio,5.0,1,39.478775899999995,-0.3519977,education,1328,school
132,Superfriends,4.6,47,39.4700114,-0.35479440000000007,education,1218,school
133,Escuela Infantil Dalmatas,4.9,8,39.4738585,-0.3515908,education,1315,school
134,Centro de Danza Mari Cruz Alcalá - Academias de Baile en Valencia,4.3,7,39.4734409,-0.3441232,education,1314,school
135,Centre d'Educació Infantil Balears,4.8,20,39.4626003,-0.35309229999999997,education,1237,school
