location_raw;Índice de Gini;Distribución de la renta P80/P20
0800101002 Abrera sección 01002;27,1;2,4
0800101003 Abrera sección 01003;24,7;2,1
0800101004 Abrera sección 01004;25,5;2,1
0800101005 Abrera sección 01005;23,3;2,1
0800101007 Abrera sección 01007;24,5;2,2
0800101008 Abrera sección 01008;26,4;2,4
04002 Abrucena;30;2,6
0400201 Abrucena distrito 01;30;2,6
0400201001 Abrucena sección 01001;30;2,6
37001 Abusejo;26,7;2,5
3700101 Abusejo distrito 01;26,7;2,5
3700101001 Abusejo sección 01001;26,7;2,5
28001 Acebeda, La;.;.
2800101 Acebeda, La distrito 01;.;.
2800101001 Acebeda, La sección 01001;.;.
24001 Acebedo;33,6;3
2400101 Acebedo distrito 01;33,6;3
2400101001 Acebedo sección 01001;33,6;3
10003 Acebo;33,5;2,5
1000301 Acebo distrito 01;33,5;2,5
1000301001 Acebo sección 01001;33,5;2,5
16002 Acebrón, El;27;2,2
1600201 Acebrón, El distrito 01;27;2,2
1600201001 Acebrón, El sección 01001;27;2,2
06001 Acedera;27,1;2,1
0600101 Acedera distrito 01;27,1;2,1
0600101001 Acedera sección 01001;27,1;2,1
10004 Acehúche;27,7;2,4
1000401 Acehúche distrito 01;27,7;2,4
1000401001 Acehúche sección 01001;27,7;2,4
10005 Aceituna;23,5;1,9
1000501 Aceituna distrito 01;23,5;1,9
1000501001 Aceituna sección 01001;23,5;1,9
50002 Acered;32,1;3,1
5000201 Acered distrito 01;32,1;3,1
5000201001 Acered sección 01001;32,1;3,1
06002 Aceuchal;29,5;2,3
0600201 Aceuchal distrito 01;29,4;2,4
0600201001 Aceuchal sección 01001;31,4;2,6
0600201002 Aceuchal sección 01002;30,7;2,5
0600201003 Aceuchal sección 01003;25,3;2,2
0600202 Aceuchal distrito 02;30,1;2,4
0600202001 Aceuchal sección 02001;30,1;2,4
22003 Adahuesca;27,2;2,8
2200301 Adahuesca distrito 01;27,2;2,8
2200301001 Adahuesca sección 01001;27,2;2,8
47001 Adalia;.;.
4700101 Adalia distrito 01;.;.
4700101001 Adalia sección 01001;.;.
14001 Adamuz;27,3;2,2
1400101 Adamuz distrito 01;27,3;2,2
1400101001 Adamuz sección 01001;25,9;2
1400101002 Adamuz sección 01002;27,1;2
1400101003 Adamuz sección 01003;28,7;2,3
05001 Adanero;30,2;2,7
0500101 Adanero distrito 01;30,2;2,7
0500101001 Adanero sección 01001;30,2;2,7
38001 Adeje;35,6;3
3800101 Adeje distrito 01;35,6;3
3800101001 Adeje sección 01001;32,9;2,6
3800101002 Adeje sección 01002;27,4;2,4
3800101003 Adeje sección 01003;35,3;2,7
3800101004 Adeje sección 01004;28,9;2,4
3800101005 Adeje sección 01005;28,4;2,4
3800101006 Adeje sección 01006;27,8;2,2
3800101007 Adeje sección 01007;39,2;3,5
3800101008 Adeje sección 01008;40,5;4,4
3800101009 Adeje sección 01009;35,7;3
3800101010 Adeje sección 01010;29,3;2,4
3800101011 Adeje sección 01011;40;3,8
3800101012 Adeje sección 01012;31,8;2,8
3800101013 Adeje sección 01013;40,9;3,2
3800101014 Adeje sección 01014;32,2;2,6
3800101015 Adeje sección 01015;28,5;2,3
3800101016 Adeje sección 01016;32,1;2,6
3800101017 Adeje sección 01017;40,3;4,4
3800101018 Adeje sección 01018;42,2;3,8
46001 Ademuz;29,6;2,5
4600101 Ademuz distrito 01;29,6;2,5
4600101001 Ademuz sección 01001;29,6;2,5
31007 Adiós;;
3100701 Adiós distrito 01;;
3100701001 Adiós sección 01001;;
19003 Adobes;.;.
1900301 Adobes distrito 01;.;.
1900301001 Adobes sección 01001;.;.
46002 Ador;28,9;2,5
4600201 Ador distrito 01;28,9;2,5
4600201001 Ador sección 01001;28,9;2,5
04003 Adra;31,5;2,8
0400301 Adra distrito 01;31;2,5
0400301001 Adra sección 01001;31,4;2,6
0400301002 Adra sección 01002;31,2;2,6
0400301003 Adra sección 01003;30,9;2,8
0400301004 Adra sección 01004;27,9;2,5
0400301005 Adra sección 01005;29,6;2,4
0400301006 Adra sección 01006;34,4;3
0400301007 Adra sección 01007;32,9;2,6
0400302 Adra distrito 02;31,3;2,5
0400302001 Adra sección 02001;32,9;2,7
0400302002 Adra sección 02002;31,7;2,9
0400302003 Adra sección 02003;27,9;2,3
0400303 Adra distrito 03;29,7;2,5
0400303001 Adra sección 03001;30,7;2,4
0400303002 Adra sección 03002;32,4;3,2
0400303003 Adra sección 03003;27,6;2,4
0400304 Adra distrito 04;36;3
0400304001 Adra sección 04001;36;3
0400305 Adra distrito 05;32,1;3
0400305001 Adra sección 05001;31,9;2,9
0400305002 Adra sección 05002;31,9;2,7
09003 Adrada de Haza;29;2,6
0900301 Adrada de Haza distrito 01;29;2,6
0900301001 Adrada de Haza sección 01001;29;2,6
40002 Adrada de Pirón;.;.
4000201 Adrada de Pirón distrito 01;.;.
4000201001 Adrada de Pirón sección 01001;.;.
05002 Adrada, La;34,8;3
0500201 Adrada, La distrito 01;34,8;3
0500201001 Adrada, La sección 01001;33,3;2,7
0500201002 Adrada, La sección 01002;36,3;3
42003 Adradas;.;.
4200301 Adradas distrito 01;.;.
4200301001 Adradas sección 01001;.;.
40003 Adrados;26,7;2,5
4000301 Adrados distrito 01;26,7;2,5
4000301001 Adrados sección 01001;26,7;2,5
20002 Aduna;22,1;2
