location_raw;Índice de Gini;Distribución de la renta P80/P20
2006906002 Donostia/San Sebastián sección 06002;40;2,8
2006906003 Donostia/San Sebastián sección 06003;30,4;2,7
2006906004 Donostia/San Sebastián sección 06004;29,1;2,2
2006906005 Donostia/San Sebastián sección 06005;30,2;2,5
2006906006 Donostia/San Sebastián sección 06006;32,4;2,7
2006906007 Donostia/San Sebastián sección 06007;43,6;3
2006906008 Donostia/San Sebastián sección 06008;30,5;2,7
2006906009 Donostia/San Sebastián sección 06009;39,5;3,2
2006906010 Donostia/San Sebastián sección 06010;31,8;2,4
2006906011 Donostia/San Sebastián sección 06011;32,4;2,6
2006906012 Donostia/San Sebastián sección 06012;27,2;2,2
2006906013 Donostia/San Sebastián sección 06013;28,8;2,1
2006906014 Donostia/San Sebastián sección 06014;31,5;2,6
2006906015 Donostia/San Sebastián sección 06015;32;2,3
2006906016 Donostia/San Sebastián sección 06016;29,1;2,5
2006906017 Donostia/San Sebastián sección 06017;28,4;2,4
2006906018 Donostia/San Sebastián sección 06018;32,8;2,6
2006906019 Donostia/San Sebastián sección 06019;27,7;2,2
2006906020 Donostia/San Sebastián sección 06020;35;2,5
2006906021 Donostia/San Sebastián sección 06021;28;2,3
2006906022 Donostia/San Sebastián sección 06022;25,4;2
2006906023 Donostia/San Sebastián sección 06023;28,5;2,3
2006906024 Donostia/San Sebastián sección 06024;31,6;2,4
2006906025 Donostia/San Sebastián sección 06025;28,6;2,4
2006906026 Donostia/San Sebastián sección 06026;28,2;2,2
2006906027 Donostia/San Sebastián sección 06027;34,8;2,4
2006906028 Donostia/San Sebastián sección 06028;31,6;2,8
2006906029 Donostia/San Sebastián sección 06029;32;2,6
2006906030 Donostia/San Sebastián sección 06030;33,1;2,6
2006907 Donostia/San Sebastián distrito 07;27,6;2,4
2006907001 Donostia/San Sebastián sección 07001;24,8;2,2
2006907002 Donostia/San Sebastián sección 07002;22,9;2
2006907003 Donostia/San Sebastián sección 07003;36,4;2,7
2006907004 Donostia/San Sebastián sección 07004;27,7;2,4
2006907005 Donostia/San Sebastián sección 07005;29,5;2,7
2006907006 Donostia/San Sebastián sección 07006;26,5;2,4
2006907007 Donostia/San Sebastián sección 07007;27,6;2,3
2006907008 Donostia/San Sebastián sección 07008;30,5;2,6
2006907009 Donostia/San Sebastián sección 07009;29,3;2,6
2006907010 Donostia/San Sebastián sección 07010;28;2,4
2006907011 Donostia/San Sebastián sección 07011;24,8;2,3
2006907012 Donostia/San Sebastián sección 07012;29;2,6
2006907013 Donostia/San Sebastián sección 07013;26,5;2,3
2006907014 Donostia/San Sebastián sección 07014;28,9;2,5
2006907015 Donostia/San Sebastián sección 07015;26,7;2,3
2006907016 Donostia/San Sebastián sección 07016;25;2,2
2006907017 Donostia/San Sebastián sección 07017;27;2,2
2006907018 Donostia/San Sebastián sección 07018;25,2;2,2
2006907019 Donostia/San Sebastián sección 07019;26,2;2,2
2006907020 Donostia/San Sebastián sección 07020;28,6;2,5
2006907021 Donostia/San Sebastián sección 07021;23;2,1
2006907022 Donostia/San Sebastián sección 07022;23,5;2,1
2006907023 Donostia/San Sebastián sección 07023;27,4;2,4
2006907024 Donostia/San Sebastián sección 07024;25,9;2,2
2006907025 Donostia/San Sebastián sección 07025;28,4;2,5
2006907026 Donostia/San Sebastián sección 07026;26,8;2,2
2006907027 Donostia/San Sebastián sección 07027;28,2;2,4
2006907028 Donostia/San Sebastián sección 07028;27,1;2,3
2006907030 Donostia/San Sebastián sección 07030;27,1;2,4
2006907031 Donostia/San Sebastián sección 07031;25,4;2,2
2006907032 Donostia/San Sebastián sección 07032;25,8;2,2
2006907033 Donostia/San Sebastián sección 07033;26,3;2,2
2006907034 Donostia/San Sebastián sección 07034;29,5;2,6
05070 Donvidas;.;.
0507001 Donvidas distrito 01;.;.
0507001001 Donvidas sección 01001;.;.
14022 Doña Mencía;26;2
1402201 Doña Mencía distrito 01;26,2;2,1
1402201001 Doña Mencía sección 01001;27,2;2,1
1402201002 Doña Mencía sección 01002;24,2;2
1402202 Doña Mencía distrito 02;25,1;2,1
1402202001 Doña Mencía sección 02001;25,1;2,1
1402202002 Doña Mencía sección 02002;25,6;2,1
37116 Doñinos de Ledesma;.;.
3711601 Doñinos de Ledesma distrito 01;.;.
3711601001 Doñinos de Ledesma sección 01001;.;.
37117 Doñinos de Salamanca;27;2,3
3711701 Doñinos de Salamanca distrito 01;27;2,3
3711701001 Doñinos de Salamanca sección 01001;27;2,3
46115 Dos Aguas;28,2;2,6
4611501 Dos Aguas distrito 01;28,2;2,6
4611501001 Dos Aguas sección 01001;28,2;2,6
41038 Dos Hermanas;31,3;2,7
4103801 Dos Hermanas distrito 01;32,2;2,9
4103801001 Dos Hermanas sección 01001;29,7;2,4
4103801002 Dos Hermanas sección 01002;27,4;2,5
4103801003 Dos Hermanas sección 01003;33,9;3,2
4103801004 Dos Hermanas sección 01004;27,3;2,3
4103801005 Dos Hermanas sección 01005;31,2;2,5
4103801006 Dos Hermanas sección 01006;31,9;2,7
4103801007 Dos Hermanas sección 01007;27,8;2,6
4103801008 Dos Hermanas sección 01008;29,8;2,6
4103802 Dos Hermanas distrito 02;32,4;3
4103802001 Dos Hermanas sección 02001;32,3;2,7
4103802002 Dos Hermanas sección 02002;29,7;2,6
4103802003 Dos Hermanas sección 02003;32,7;2,6
4103802004 Dos Hermanas sección 02004;27,5;2,3
4103802005 Dos Hermanas sección 02005;27,3;2,4
4103802006 Dos Hermanas sección 02006;28,5;2,5
4103802007 Dos Hermanas sección 02007;29,1;2,7
4103802008 Dos Hermanas sección 02008;26,1;2,1
4103802009 Dos Hermanas sección 02009;27,2;2,3
4103802010 Dos Hermanas sección 02010;34,7;2,8
4103802011 Dos Hermanas sección 02011;25;2,1
4103802012 Dos Hermanas sección 02012;32,1;2,9
4103803 Dos Hermanas distrito 03;32;2,7
4103803001 Dos Hermanas sección 03001;27,8;2,4
4103803002 Dos Hermanas sección 03002;24,4;2,1
4103803003 Dos Hermanas sección 03003;28,4;2,5
4103803004 Dos Hermanas sección 03004;29;2,4
4103803005 Dos Hermanas sección 03005;28,1;2,6
4103803006 Dos Hermanas sección 03006;32,6;2,5
4103803007 Dos Hermanas sección 03007;32,5;2,8
4103803008 Dos Hermanas sección 03008;25,2;2,2
4103803009 Dos Hermanas sección 03009;31,6;2,9
4103803010 Dos Hermanas sección 03010;25,5;2,3
4103803011 Dos Hermanas sección 03011;30,3;2,5
4103803012 Dos Hermanas sección 03012;27,3;2,3
4103803013 Dos Hermanas sección 03013;29,5;2,6
4103803014 Dos Hermanas sección 03014;27,3;2,3
4103803015 Dos Hermanas sección 03015;26,6;2,3
4103803016 Dos Hermanas sección 03016;27,5;2,5
4103804 Dos Hermanas distrito 04;29,6;2,4
4103804001 Dos Hermanas sección 04001;33,7;3
4103804002 Dos Hermanas sección 04002;26,9;2,3
4103804003 Dos Hermanas sección 04003;29,4;3
4103804004 Dos Hermanas sección 04004;26,1;2,3
4103804005 Dos Hermanas sección 04005;29,1;2,6
4103804006 Dos Hermanas sección 04006;24,1;2,1
4103804007 Dos Hermanas sección 04007;27,3;2,6
4103804008 Dos Hermanas sección 04008;27,8;2,4
4103804009 Dos Hermanas sección 04009;30,5;2,7
4103804010 Dos Hermanas sección 04010;37,1;3,4
4103804011 Dos Hermanas sección 04011;26,7;2,3
4103804012 Dos Hermanas sección 04012;29,2;2,6
4103804013 Dos Hermanas sección 04013;26,8;2,5
4103804014 Dos Hermanas sección 04014;28,7;2,4
4103804015 Dos Hermanas sección 04015;26,6;2,3
4103804016 Dos Hermanas sección 04016;28,3;2,7
4103804017 Dos Hermanas sección 04017;27,4;2,4
4103804018 Dos Hermanas sección 04018;28,3;2,5
4103804019 Dos Hermanas sección 04019;26,4;2,2
4103804020 Dos Hermanas sección 04020;29,1;2,4
4103804021 Dos Hermanas sección 04021;31,7;2,7
4103805 Dos Hermanas distrito 05;30,5;2,6
4103805001 Dos Hermanas sección 05001;29;2,7
4103805002 Dos Hermanas sección 05002;31,5;2,8
4103805003 Dos Hermanas sección 05003;29,8;2,6
4103805004 Dos Hermanas sección 05004;28,8;2,5
4103805005 Dos Hermanas sección 05005;28,9;2,8
4103805006 Dos Hermanas sección 05006;32;2,8
4103805007 Dos Hermanas sección 05007;25,8;2,2
4103805008 Dos Hermanas sección 05008;27,2;2,5
4103805009 Dos Hermanas sección 05009;27,6;2,3
4103805010 Dos Hermanas sección 05010;29,2;2,6
4103805011 Dos Hermanas sección 05011;28,8;2,6
4103805012 Dos Hermanas sección 05012;28,8;2,4
4103805013 Dos Hermanas sección 05013;28;2,4
4103805014 Dos Hermanas sección 05014;25;2,2
4103805015 Dos Hermanas sección 05015;29,1;2,6
4103805016 Dos Hermanas sección 05016;27,1;2,6
4103805017 Dos Hermanas sección 05017;29,8;2,4
4103805018 Dos Hermanas sección 05018;27,8;2,2
4103805019 Dos Hermanas sección 05019;30;2,5
4103805020 Dos Hermanas sección 05020;32,5;2,7
4103805021 Dos Hermanas sección 05021;28;2,6
4103805022 Dos Hermanas sección 05022;28,8;2,3
4103805023 Dos Hermanas sección 05023;29,3;2,7
4103805024 Dos Hermanas sección 05024;27,8;2,4
4103805025 Dos Hermanas sección 05025;28,1;2,4
4103805026 Dos Hermanas sección 05026;24;2,1
14023 Dos Torres;26,3;2
1402301 Dos Torres distrito 01;26,3;2,2
1402301001 Dos Torres sección 01001;26,3;2,2
1402302 Dos Torres distrito 02;25,4;2
1402302001 Dos Torres sección 02001;25,4;2
45059 Dosbarrios;27,5;2,3
4505901 Dosbarrios distrito 01;27,5;2,3
4505901001 Dosbarrios sección 01001;27,6;2,3
4505901002 Dosbarrios sección 01002;27,6;2,1
08075 Dosrius;28,1;2,4
0807501 Dosrius distrito 01;28,1;2,4
0807501001 Dosrius sección 01001;28;2,4
0807501002 Dosrius sección 01002;27,3;2,3
0807501003 Dosrius sección 01003;30,2;2,4
36016 Dozón;26,6;2,1
3601601 Dozón distrito 01;26,6;2,1
3601601001 Dozón sección 01001;26,6;2,1
3601602 Dozón distrito 02;;
3601602001 Dozón sección 02001;;
19107 Driebes;24,6;2,2
1910701 Driebes distrito 01;24,6;2,2
1910701001 Driebes sección 01001;24,6;2,2
18070 Dúdar;33,9;2,8
1807001 Dúdar distrito 01;33,9;2,8
1807001001 Dúdar sección 01001;33,9;2,8
34069 Dueñas;23,8;2,1
3406901 Dueñas distrito 01;23,8;2,1
3406901001 Dueñas sección 01001;24,1;2,2
3406901002 Dueñas sección 01002;23,7;2
43053 Duesaigües;31,6;2,7
4305301 Duesaigües distrito 01;31,6;2,7
4305301001 Duesaigües sección 01001;31,6;2,7
15034 Dumbría;25,6;2,2
1503401 Dumbría distrito 01;26;2,1
1503401001 Dumbría sección 01001;22,9;2
1503401002 Dumbría sección 01002;30,6;2,7
1503402 Dumbría distrito 02;25,3;2,1
1503402001 Dumbría sección 02001;26,6;2,2
1503402002 Dumbría sección 02002;23,9;2,2
48027 Durango;29;2,5
4802701 Durango distrito 01;31,2;2,7
4802701001 Durango sección 01001;31,6;2,8
4802701002 Durango sección 01002;31,6;2,7
4802701003 Durango sección 01003;31,8;2,7
4802701004 Durango sección 01004;28,4;2,2
4802702 Durango distrito 02;30,8;2,6
4802702001 Durango sección 02001;33,7;3,2
4802702002 Durango sección 02002;25,8;2,2
4802702003 Durango sección 02003;29,5;2,4
4802703 Durango distrito 03;31,6;2,7
4802703001 Durango sección 03001;30,4;2,6
4802703002 Durango sección 03002;30,3;2,8
4802704 Durango distrito 04;27,2;2,2
4802704001 Durango sección 04001;25,1;2,1
4802704002 Durango sección 04002;29,1;2,5
4802704003 Durango sección 04003;29,4;2,5
4802704004 Durango sección 04004;26,1;2,2
4802704005 Durango sección 04005;25,5;2,2
4802704006 Durango sección 04006;27,1;2,3
4802704007 Durango sección 04007;25,5;2
4802705 Durango distrito 05;27,7;2,3
4802705001 Durango sección 05001;33,1;2,6
4802705002 Durango sección 05002;26,5;2,2
4802705003 Durango sección 05003;27,2;2,2
4802705004 Durango sección 05004;28,6;2,2
18071 Dúrcal;30,3;2,5
1807101 Dúrcal distrito 01;30,3;2,5
1807101001 Dúrcal sección 01001;30,4;2,8
1807101002 Dúrcal sección 01002;30,8;2,5
1807101003 Dúrcal sección 01003;28,6;2,4
1807101004 Dúrcal sección 01004;28,9;2,5
1807101005 Dúrcal sección 01005;32,1;2,6
19108 Durón;27,2;2,5
1910801 Durón distrito 01;27,2;2,5
1910801001 Durón sección 01001;27,2;2,5
40070 Duruelo;37,5;3,6
4007001 Duruelo distrito 01;37,5;3,6
4007001001 Duruelo sección 01001;37,5;3,6
42078 Duruelo de la Sierra;25,8;2,2
4207801 Duruelo de la Sierra distrito 01;25,8;2,2
4207801001 Duruelo de la Sierra sección 01001;25,8;2,2
48028 Ea;30,7;2,6
4802801 Ea distrito 01;30,7;2,6
4802801001 Ea sección 01001;30,7;2,6
31083 Echarri/Etxarri;;
3108301 Echarri/Etxarri distrito 01;;
3108301001 Echarri/Etxarri sección 01001;;
41039 Écija;30,5;2,4
4103901 Écija distrito 01;27,7;2,4
4103901001 Écija sección 01001;31,6;3
4103901002 Écija sección 01002;25,8;2,1
4103901003 Écija sección 01003;25,4;2,1
4103901004 Écija sección 01004;30,6;2,7
4103901005 Écija sección 01005;27,5;2,4
4103901006 Écija sección 01006;26,8;2,3
4103901007 Écija sección 01007;28,4;2,3
4103901008 Écija sección 01008;25,2;2,1
4103901009 Écija sección 01009;22,7;2
4103901010 Écija sección 01010;26,1;2,2
4103902 Écija distrito 02;31,2;2,4
4103902002 Écija sección 02002;34,6;2,8
4103902003 Écija sección 02003;29;2,3
4103902004 Écija sección 02004;29;2,1
4103902005 Écija sección 02005;26,7;2,1
4103903 Écija distrito 03;29,2;2,5
4103903001 Écija sección 03001;27,9;2,4
4103903002 Écija sección 03002;30,2;2,4
4103903003 Écija sección 03003;31,4;2,5
4103903004 Écija sección 03004;28,5;2,2
4103903005 Écija sección 03005;23,7;2,1
4103903006 Écija sección 03006;32,4;2,8
4103903007 Écija sección 03007;27,6;2,5
4103904 Écija distrito 04;32,7;2,6
4103904001 Écija sección 04001;33,9;2,9
4103904002 Écija sección 04002;36;3
4103904004 Écija sección 04004;26,9;2
4103904005 Écija sección 04005;35,6;2,6
4103904006 Écija sección 04006;29,8;2,4
4103904007 Écija sección 04007;34,1;3,1
4103905 Écija distrito 05;31,7;2,5
4103905001 Écija sección 05001;34,1;2,7
4103905002 Écija sección 05002;29,7;2,5
4103905003 Écija sección 05003;30;2,4
20030 Eibar;30,4;2,6
2003001 Eibar distrito 01;30,6;2,7
2003001001 Eibar sección 01001;29,9;2,4
2003001002 Eibar sección 01002;33,5;2,5
2003001003 Eibar sección 01003;29,8;2,7
2003001004 Eibar sección 01004;28;2,5
2003001005 Eibar sección 01005;28,9;2,6
2003002 Eibar distrito 02;29;2,5
2003002001 Eibar sección 02001;28,2;2,6
2003002002 Eibar sección 02002;27,8;2,3
2003002003 Eibar sección 02003;27,7;2,5
2003002004 Eibar sección 02004;28,9;2,5
2003002005 Eibar sección 02005;30,6;2,8
2003003 Eibar distrito 03;28,7;2,4
2003003001 Eibar sección 03001;31,3;2,9
2003003003 Eibar sección 03003;25;2,1
2003003004 Eibar sección 03004;26,4;2,1
2003004 Eibar distrito 04;32,2;2,8
2003004001 Eibar sección 04001;29,6;2,7
2003004002 Eibar sección 04002;31,5;2,9
2003004003 Eibar sección 04003;31;2,4
2003004004 Eibar sección 04004;28,6;2,4
2003004005 Eibar sección 04005;31,9;2,9
2003004006 Eibar sección 04006;33,9;3
2003005 Eibar distrito 05;30;2,7
2003005001 Eibar sección 05001;32,6;3
2003005002 Eibar sección 05002;27,6;2,4
2003005003 Eibar sección 05003;28,7;2,4
2003005004 Eibar sección 05004;29,4;2,4
07026 Eivissa;32;2,5
0702602 Eivissa distrito 02;41;3,6
0702602001 Eivissa sección 02001;41;3,6
0702603 Eivissa distrito 03;40,1;3,5
0702603001 Eivissa sección 03001;43,3;4,2
0702603002 Eivissa sección 03002;39,8;2,9
0702603003 Eivissa sección 03003;36,3;3
0702604 Eivissa distrito 04;30,6;2,5
0702604001 Eivissa sección 04001;33,5;2,7
0702604002 Eivissa sección 04002;32,8;2,6
0702604003 Eivissa sección 04003;28,5;2,3
0702604004 Eivissa sección 04004;29,1;2,4
0702604005 Eivissa sección 04005;29,5;2,5
0702604006 Eivissa sección 04006;31;2,5
0702604007 Eivissa sección 04007;25,6;2,3
0702604008 Eivissa sección 04008;32,8;2,7
0702604009 Eivissa sección 04009;37;3,2
0702604010 Eivissa sección 04010;29,3;2,3
0702604011 Eivissa sección 04011;28,7;2,3
0702604012 Eivissa sección 04012;28,3;2,2
0702604013 Eivissa sección 04013;29,7;2,4
0702604014 Eivissa sección 04014;28,8;2,4
0702604015 Eivissa sección 04015;31,2;2,5
0702604016 Eivissa sección 04016;28,8;2,2
0702604017 Eivissa sección 04017;25,9;2,2
0702604018 Eivissa sección 04018;40,4;2,8
0702604019 Eivissa sección 04019;25,9;2,2
0702604020 Eivissa sección 04020;28,3;2,2
0702604021 Eivissa sección 04021;34,2;2,8
0702604022 Eivissa sección 04022;26,6;2,2
0702604023 Eivissa sección 04023;24;2
0702604024 Eivissa sección 04024;30,7;2,6
50095 Ejea de los Caballeros;28,2;2,3
5009501 Ejea de los Caballeros distrito 01;29,2;2,4
5009501001 Ejea de los Caballeros sección 01001;32,2;2,8
5009501002 Ejea de los Caballeros sección 01002;31,1;2,5
5009501003 Ejea de los Caballeros sección 01003;32,8;3
5009501004 Ejea de los Caballeros sección 01004;22,2;2
5009501005 Ejea de los Caballeros sección 01005;25,5;2,1
5009501007 Ejea de los Caballeros sección 01007;29,6;2,3
5009502 Ejea de los Caballeros distrito 02;27,2;2,3
5009502001 Ejea de los Caballeros sección 02001;32,1;2,8
5009502002 Ejea de los Caballeros sección 02002;27,5;2,3
5009502003 Ejea de los Caballeros sección 02003;28,2;2,2
5009502004 Ejea de los Caballeros sección 02004;23,7;2,2
5009502006 Ejea de los Caballeros sección 02006;25,7;2,3
5009502007 Ejea de los Caballeros sección 02007;25;2,2
5009502008 Ejea de los Caballeros sección 02008;26,4;2,1
37118 Éjeme;27,1;2
3711801 Éjeme distrito 01;27,1;2
3711801001 Éjeme sección 01001;27,1;2
04902 Ejido, El;33,1;2,9
0490201 Ejido, El distrito 01;33,1;2,9
0490201001 Ejido, El sección 01001;36,5;3,2
0490201002 Ejido, El sección 01002;27;2,4
0490201003 Ejido, El sección 01003;30;2,5
0490201004 Ejido, El sección 01004;35,3;3,3
0490201005 Ejido, El sección 01005;30,2;2,7
0490201006 Ejido, El sección 01006;33,1;2,7
0490201007 Ejido, El sección 01007;29,2;2,5
0490201008 Ejido, El sección 01008;31,3;2,7
0490201009 Ejido, El sección 01009;28,8;2,3
0490201010 Ejido, El sección 01010;29,4;2,6
0490201011 Ejido, El sección 01011;25,5;1,9
0490201012 Ejido, El sección 01012;28,3;2,4
0490201013 Ejido, El sección 01013;26,3;2,2
0490201014 Ejido, El sección 01014;31,2;2,6
0490201015 Ejido, El sección 01015;35,1;3,2
0490201016 Ejido, El sección 01016;32;2,5
0490201017 Ejido, El sección 01017;29,4;2,6
0490201018 Ejido, El sección 01018;40,6;4,1
0490201019 Ejido, El sección 01019;34,2;2,9
0490201020 Ejido, El sección 01020;33,4;3
0490201021 Ejido, El sección 01021;29,3;2,4
0490201022 Ejido, El sección 01022;32,3;3
0490201023 Ejido, El sección 01023;33,2;2,9
0490201024 Ejido, El sección 01024;28;2,4
0490201025 Ejido, El sección 01025;27,1;2,3
0490201026 Ejido, El sección 01026;29,7;2,4
0490201027 Ejido, El sección 01027;35,5;3
0490201028 Ejido, El sección 01028;31,2;2,7
0490201029 Ejido, El sección 01029;29,4;2,5
0490201030 Ejido, El sección 01030;31,5;3,2
0490201032 Ejido, El sección 01032;37,7;3,3
0490201033 Ejido, El sección 01033;32,4;2,5
0490201034 Ejido, El sección 01034;36,3;3,3
0490201035 Ejido, El sección 01035;27,9;2,3
0490201036 Ejido, El sección 01036;34,4;3
0490201037 Ejido, El sección 01037;28;2,4
0490201038 Ejido, El sección 01038;31,3;2,7
0490201039 Ejido, El sección 01039;30,5;2,6
0490201040 Ejido, El sección 01040;33,5;3
0490201041 Ejido, El sección 01041;34;3,2
0490201042 Ejido, El sección 01042;30,5;2,5
0490201043 Ejido, El sección 01043;28,3;2,3
0490201044 Ejido, El sección 01044;29,7;2,5
0490201045 Ejido, El sección 01045;26,9;2,4
0490201046 Ejido, El sección 01046;32,2;2,5
0490201047 Ejido, El sección 01047;35,2;2,7
0490201048 Ejido, El sección 01048;26,8;2,2
0490201049 Ejido, El sección 01049;28,1;2,2
0490201050 Ejido, El sección 01050;29,7;2,6
44096 Ejulve;26,3;2,4
4409601 Ejulve distrito 01;26,3;2,4
4409601001 Ejulve sección 01001;26,3;2,4
48031 Elantxobe;32,1;2,8
4803101 Elantxobe distrito 01;32,1;2,8
4803101001 Elantxobe sección 01001;32,1;2,8
01021 Elburgo/Burgelu;;
0102101 Elburgo/Burgelu distrito 01;;
0102101001 Elburgo/Burgelu sección 01001;;
02030 Elche de la Sierra;29,1;2,4
0203001 Elche de la Sierra distrito 01;28,4;2,2
0203001001 Elche de la Sierra sección 01001;28,4;2,2
0203002 Elche de la Sierra distrito 02;29,6;2,5
0203002001 Elche de la Sierra sección 02001;29,6;2,5
03065 Elche/Elx;33;2,6
0306501 Elche/Elx distrito 01;32,1;2,6
0306501001 Elche/Elx sección 01001;37,1;3,5
0306501002 Elche/Elx sección 01002;36,3;3,4
0306501003 Elche/Elx sección 01003;37,5;3,2
0306501004 Elche/Elx sección 01004;36,7;3,4
0306501005 Elche/Elx sección 01005;34,7;3,1
0306501006 Elche/Elx sección 01006;34,7;3,4
0306501007 Elche/Elx sección 01007;34,7;2,8
0306501008 Elche/Elx sección 01008;28,1;2,2
0306501009 Elche/Elx sección 01009;30,4;2,4
0306501010 Elche/Elx sección 01010;28,9;2,4
0306501011 Elche/Elx sección 01011;33,1;2,9
0306501012 Elche/Elx sección 01012;32,4;2,9
0306501013 Elche/Elx sección 01013;27,7;2,3
0306501014 Elche/Elx sección 01014;28,4;2,5
0306501015 Elche/Elx sección 01015;27,9;2,5
0306501016 Elche/Elx sección 01016;29,1;2,5
0306501017 Elche/Elx sección 01017;27,5;2,2
0306501018 Elche/Elx sección 01018;29,3;2,6
0306501019 Elche/Elx sección 01019;27,1;2,2
0306501020 Elche/Elx sección 01020;27,9;2,2
0306501021 Elche/Elx sección 01021;30,9;2,5
0306502 Elche/Elx distrito 02;35,7;3,2
0306502001 Elche/Elx sección 02001;38,7;3,4
0306502002 Elche/Elx sección 02002;41,3;3,6
0306502003 Elche/Elx sección 02003;35,2;3,1
0306502004 Elche/Elx sección 02004;35;3
0306502005 Elche/Elx sección 02005;31,6;2,7
0306502006 Elche/Elx sección 02006;31,6;3
0306502007 Elche/Elx sección 02007;30,5;2,7
0306502008 Elche/Elx sección 02008;35,9;2,9
0306502009 Elche/Elx sección 02009;36,6;4,4
0306502010 Elche/Elx sección 02010;37,6;4,4
0306502011 Elche/Elx sección 02011;44;4,2
0306502012 Elche/Elx sección 02012;30,7;2,7
0306502013 Elche/Elx sección 02013;32,4;3
0306502014 Elche/Elx sección 02014;35,3;2,9
0306502015 Elche/Elx sección 02015;30,9;2,7
0306502016 Elche/Elx sección 02016;34,8;3,4
0306502017 Elche/Elx sección 02017;31,6;2,6
0306502018 Elche/Elx sección 02018;29,3;2,1
0306502019 Elche/Elx sección 02019;29,4;2,5
0306502020 Elche/Elx sección 02020;28,8;2,5
0306502021 Elche/Elx sección 02021;28,4;2,2
0306502022 Elche/Elx sección 02022;27,9;2,5
0306502023 Elche/Elx sección 02023;35,3;3
0306502024 Elche/Elx sección 02024;26,3;2,2
0306502025 Elche/Elx sección 02025;32,8;3,1
0306502026 Elche/Elx sección 02026;29,8;2,5
0306503 Elche/Elx distrito 03;30,8;2,7
0306503001 Elche/Elx sección 03001;27,1;2,3
0306503002 Elche/Elx sección 03002;32,8;2,8
0306503003 Elche/Elx sección 03003;29,9;2,6
0306503004 Elche/Elx sección 03004;31,3;2,4
0306503005 Elche/Elx sección 03005;34,1;3,3
0306503006 Elche/Elx sección 03006;33,6;3
0306503007 Elche/Elx sección 03007;31,3;2,7
0306503008 Elche/Elx sección 03008;32,5;2,5
0306503009 Elche/Elx sección 03009;29,9;2,5
0306503010 Elche/Elx sección 03010;29,6;2,5
0306503012 Elche/Elx sección 03012;26,2;2,1
0306503013 Elche/Elx sección 03013;33,7;3,2
0306503014 Elche/Elx sección 03014;29,2;2,9
0306503015 Elche/Elx sección 03015;30;2,4
0306503016 Elche/Elx sección 03016;30,1;2,5
0306503017 Elche/Elx sección 03017;29,8;2,7
0306503018 Elche/Elx sección 03018;27,9;2,6
0306503019 Elche/Elx sección 03019;27;2,1
0306503020 Elche/Elx sección 03020;26,7;2,2
0306503021 Elche/Elx sección 03021;31,8;3
0306503023 Elche/Elx sección 03023;35,2;3
0306503024 Elche/Elx sección 03024;26,8;2,3
0306503025 Elche/Elx sección 03025;32,2;3,4
0306503026 Elche/Elx sección 03026;29;2,7
0306503027 Elche/Elx sección 03027;34,2;3,4
0306503028 Elche/Elx sección 03028;30,7;2,9
0306503029 Elche/Elx sección 03029;29,3;2,6
0306503030 Elche/Elx sección 03030;30,1;2,7
0306503031 Elche/Elx sección 03031;26,1;2
0306504 Elche/Elx distrito 04;27,5;2,2
0306504001 Elche/Elx sección 04001;29,5;2,6
0306504002 Elche/Elx sección 04002;28,4;2,3
0306504003 Elche/Elx sección 04003;28,1;2,3
0306504004 Elche/Elx sección 04004;29,8;2,5
0306504005 Elche/Elx sección 04005;26,7;2,2
0306504006 Elche/Elx sección 04006;28,4;2,4
0306504007 Elche/Elx sección 04007;25,6;2,3
0306504008 Elche/Elx sección 04008;27,3;2,3
0306504009 Elche/Elx sección 04009;26,8;2,2
0306504010 Elche/Elx sección 04010;25,4;2,1
0306504011 Elche/Elx sección 04011;29;2,6
0306504012 Elche/Elx sección 04012;26,9;2,2
0306504013 Elche/Elx sección 04013;29,4;2,4
0306504014 Elche/Elx sección 04014;23,8;2,1
0306504015 Elche/Elx sección 04015;26,3;2,2
0306504016 Elche/Elx sección 04016;27,9;2,5
0306504017 Elche/Elx sección 04017;30,4;2,9
0306504018 Elche/Elx sección 04018;25,8;2,2
0306504019 Elche/Elx sección 04019;29,6;2,5
0306504020 Elche/Elx sección 04020;24,6;2,1
0306504021 Elche/Elx sección 04021;26,2;2,3
0306505 Elche/Elx distrito 05;33,7;2,7
0306505001 Elche/Elx sección 05001;36,7;3,1
0306505002 Elche/Elx sección 05002;38,1;3,2
0306505003 Elche/Elx sección 05003;34,2;2,8
0306505004 Elche/Elx sección 05004;32,9;2,8
0306505005 Elche/Elx sección 05005;33,8;2,7
0306505006 Elche/Elx sección 05006;34,2;2,8
0306505007 Elche/Elx sección 05007;32,2;2,7
0306505008 Elche/Elx sección 05008;35,3;3,2
0306505009 Elche/Elx sección 05009;35,4;3,3
0306505010 Elche/Elx sección 05010;32,6;2,8
0306505011 Elche/Elx sección 05011;35,6;3,1
0306505012 Elche/Elx sección 05012;31,2;2,7
0306505013 Elche/Elx sección 05013;33,9;2,7
0306505014 Elche/Elx sección 05014;33,3;2,6
0306505015 Elche/Elx sección 05015;32,1;2,5
0306505016 Elche/Elx sección 05016;29,9;2,6
0306505018 Elche/Elx sección 05018;30,5;2,7
0306505019 Elche/Elx sección 05019;30,1;2,7
0306505020 Elche/Elx sección 05020;29,8;2,5
0306505021 Elche/Elx sección 05021;31,2;2,6
