location_raw;Fuente de ingreso: salario;Fuente de ingreso: pensiones;Fuente de ingreso: prestaciones por desempleo;Fuente de ingreso: otras prestaciones;Fuente de ingreso: otros ingresos
10002 Abertura;3842;3109;579;874;1400
1000201 Abertura distrito 01;3842;3109;579;874;1400
1000201001 Abertura sección 01001;3842;3109;579;874;1400
49002 Abezames;;;;;
4900201 Abezames distrito 01;;;;;
4900201001 Abezames sección 01001;;;;;
16001 Abia de la Obispalía;;;;;
1600101 Abia de la Obispalía distrito 01;;;;;
1600101001 Abia de la Obispalía sección 01001;;;;;
34003 Abia de las Torres;7812;2574;172;387;3849
3400301 Abia de las Torres distrito 01;7812;2574;172;387;3849
3400301001 Abia de las Torres sección 01001;7812;2574;172;387;3849
22001 Abiego;8721;3274;116;476;3480
2200101 Abiego distrito 01;8721;3274;116;476;3480
2200101001 Abiego sección 01001;8721;3274;116;476;3480
22002 Abizanda;8348;3768;303;402;2376
2200201 Abizanda distrito 01;8348;3768;303;402;2376
2200201001 Abizanda sección 01001;8348;3768;303;402;2376
04001 Abla;5574;3286;403;573;901
0400101 Abla distrito 01;5574;3286;403;573;901
0400101001 Abla sección 01001;5574;3286;403;573;901
19002 Ablanque;;;;;
1900201 Ablanque distrito 01;;;;;
1900201001 Ablanque sección 01001;;;;;
31006 Ablitas;7060,3;1454,8;233,1;257,6;1175,9
3100601 Ablitas distrito 01;;;;;
3100601001 Ablitas sección 01001;;;;;
3100602 Ablitas distrito 02;;;;;
3100602001 Ablitas sección 02001;;;;;
08001 Abrera;11882;2557;232;770;1307
0800101 Abrera distrito 01;11882;2557;232;770;1307
0800101001 Abrera sección 01001;10605;3514;214;855;1373
0800101002 Abrera sección 01002;9883;2961;266;832;754
0800101003 Abrera sección 01003;14661;2294;131;729;2101
0800101004 Abrera sección 01004;13585;2245;234;663;1865
0800101005 Abrera sección 01005;10190;2976;247;840;1115
0800101007 Abrera sección 01007;12314;2016;228;671;1321
0800101008 Abrera sección 01008;13031;2167;242;828;1090
04002 Abrucena;4640;3418;568;753;1097
0400201 Abrucena distrito 01;4640;3418;568;753;1097
0400201001 Abrucena sección 01001;4640;3418;568;753;1097
37001 Abusejo;4320;5506;83;447;1573
3700101 Abusejo distrito 01;4320;5506;83;447;1573
3700101001 Abusejo sección 01001;4320;5506;83;447;1573
28001 Acebeda, La;;;;;
2800101 Acebeda, La distrito 01;;;;;
2800101001 Acebeda, La sección 01001;;;;;
24001 Acebedo;5686;5472;137;781;1480
2400101 Acebedo distrito 01;5686;5472;137;781;1480
2400101001 Acebedo sección 01001;5686;5472;137;781;1480
10003 Acebo;2653;3872;526;698;1014
1000301 Acebo distrito 01;2653;3872;526;698;1014
1000301001 Acebo sección 01001;2653;3872;526;698;1014
16002 Acebrón, El;5462;3116;191;370;1671
1600201 Acebrón, El distrito 01;5462;3116;191;370;1671
1600201001 Acebrón, El sección 01001;5462;3116;191;370;1671
06001 Acedera;3467;2592;393;760;1650
0600101 Acedera distrito 01;3467;2592;393;760;1650
0600101001 Acedera sección 01001;3467;2592;393;760;1650
10004 Acehúche;3444;2886;720;598;1479
1000401 Acehúche distrito 01;3444;2886;720;598;1479
1000401001 Acehúche sección 01001;3444;2886;720;598;1479
10005 Aceituna;3801;2766;821;693;728
1000501 Aceituna distrito 01;3801;2766;821;693;728
1000501001 Aceituna sección 01001;3801;2766;821;693;728
50002 Acered;3494;4611;84;226;2504
5000201 Acered distrito 01;3494;4611;84;226;2504
5000201001 Acered sección 01001;3494;4611;84;226;2504
06002 Aceuchal;3888;1825;662;473;1581
0600201 Aceuchal distrito 01;4072;1780;642;451;1689
0600201001 Aceuchal sección 01001;4663;1634;476;384;1994
0600201002 Aceuchal sección 01002;3995;1890;772;514;1586
0600201003 Aceuchal sección 01003;3553;1840;705;468;1470
0600202 Aceuchal distrito 02;3540;1910;699;514;1378
0600202001 Aceuchal sección 02001;3540;1910;699;514;1378
22003 Adahuesca;7430;3862;237;572;2808
2200301 Adahuesca distrito 01;7430;3862;237;572;2808
2200301001 Adahuesca sección 01001;7430;3862;237;572;2808
