location_raw;Fuente de ingreso: salario;Fuente de ingreso: pensiones;Fuente de ingreso: prestaciones por desempleo;Fuente de ingreso: otras prestaciones;Fuente de ingreso: otros ingresos
4601704007 Alzira sección 04007;6787;2652;423;534;962
4601704008 Alzira sección 04008;6304;2156;426;674;463
4601704009 Alzira sección 04009;8917;2497;284;552;1410
4601704010 Alzira sección 04010;7023;2832;458;576;685
4601704011 Alzira sección 04011;8920;2494;277;569;1260
4601704012 Alzira sección 04012;7522;1981;412;662;628
4601704013 Alzira sección 04013;9877;1005;262;427;887
4601705 Alzira distrito 05;6042;2861;398;699;2888
4601705001 Alzira sección 05001;3205;2528;377;768;296
4601705002 Alzira sección 05002;8152;3455;371;709;5493
4601705003 Alzira sección 05003;4324;2106;455;643;235
05012 Amavida;4578;3505;124;605;1374
0501201 Amavida distrito 01;4578;3505;124;605;1374
0501201001 Amavida sección 01001;4578;3505;124;605;1374
34009 Amayuelas de Arriba;;;;;
3400901 Amayuelas de Arriba distrito 01;;;;;
3400901001 Amayuelas de Arriba sección 01001;;;;;
50027 Ambel;6486;3843;205;624;1650
5002701 Ambel distrito 01;6486;3843;205;624;1650
5002701001 Ambel sección 01001;6486;3843;205;624;1650
28011 Ambite;7245;2773;273;405;1893
2801101 Ambite distrito 01;7245;2773;273;405;1893
2801101001 Ambite sección 01001;7245;2773;273;405;1893
17007 Amer;10363;4032;247;499;1940
1700701 Amer distrito 01;10363;4032;247;499;1940
1700701001 Amer sección 01001;10363;4032;247;499;1940
15002 Ames;10484;1881;243;410;1178
1500201 Ames distrito 01;7023;4002;199;423;972
1500201001 Ames sección 01001;6158;4096;208;480;1049
1500201003 Ames sección 01003;7788;3920;191;374;905
1500202 Ames distrito 02;9426;2929;210;449;1464
1500202001 Ames sección 02001;10778;2307;206;497;1744
1500202002 Ames sección 02002;8442;3381;213;414;1261
1500203 Ames distrito 03;10784;1664;248;406;1167
1500203001 Ames sección 03001;10151;3238;247;385;1762
1500203002 Ames sección 03002;10193;1565;277;393;906
1500203003 Ames sección 03003;10685;2265;148;447;1729
1500203004 Ames sección 03004;11356;3900;203;538;2219
1500203005 Ames sección 03005;10952;1419;286;451;888
1500203006 Ames sección 03006;10469;1559;239;290;829
1500203007 Ames sección 03007;12557;1373;177;388;1328
1500203008 Ames sección 03008;11084;1030;227;399;759
1500203009 Ames sección 03009;9266;1471;267;438;797
1500203010 Ames sección 03010;18053;2899;159;414;1872
1500203011 Ames sección 03011;11656;1246;244;476;1287
1500203012 Ames sección 03012;10040;1333;276;405;1012
1500203013 Ames sección 03013;9451;1217;296;405;872
1500203014 Ames sección 03014;11654;582;287;409;1223
1500203015 Ames sección 03015;9722;1359;288;288;895
1500203016 Ames sección 03016;9659;1335;264;310;1199
31013 Améscoa Baja;;;;;
3101301 Améscoa Baja distrito 01;;;;;
3101301001 Améscoa Baja sección 01001;;;;;
43013 Ametlla de Mar, L';7283;3027;275;517;1897
4301301 Ametlla de Mar, L' distrito 01;7283;3027;275;517;1897
4301301001 Ametlla de Mar, L' sección 01001;8065;2779;284;548;2133
4301301002 Ametlla de Mar, L' sección 01002;6573;3148;250;458;1491
4301301003 Ametlla de Mar, L' sección 01003;7114;3130;281;525;1937
08005 Ametlla del Vallès, L';15040;2772;197;609;4913
0800501 Ametlla del Vallès, L' distrito 01;15040;2772;197;609;4913
0800501001 Ametlla del Vallès, L' sección 01001;15172;2117;209;663;3151
0800501002 Ametlla del Vallès, L' sección 01002;13383;3271;159;572;6088
0800501003 Ametlla del Vallès, L' sección 01003;16710;2862;196;554;5923
0800501004 Ametlla del Vallès, L' sección 01004;15415;2938;201;553;6629
0800501005 Ametlla del Vallès, L' sección 01005;12427;3280;233;775;2307
09016 Ameyugo;7974;2908;265;429;1846
0901601 Ameyugo distrito 01;7974;2908;265;429;1846
0901601001 Ameyugo sección 01001;7974;2908;265;429;1846
20008 Amezketa;11860,5;;;1187,4;2158,5
2000801 Amezketa distrito 01;11860,5;;;1187,4;2158,5
2000801001 Amezketa sección 01001;11860,5;;;1187,4;2158,5
33003 Amieva;4276;4568;251;949;1894
3300301 Amieva distrito 01;4276;4568;251;949;1894
3300301001 Amieva sección 01001;4276;4568;251;949;1894
32002 Amoeiro;6673;4520;244;564;1352
3200201 Amoeiro distrito 01;6673;4520;244;564;1352
3200201001 Amoeiro sección 01001;6767;4324;237;510;1417
3200201002 Amoeiro sección 01002;6523;4830;254;649;1248
48003 Amorebieta-Etxano;11876,9;;;1187,4;1702,1
4800301 Amorebieta-Etxano distrito 01;11937,9;;;1187,4;1666
4800301001 Amorebieta-Etxano sección 01001;9751,3;;;1187,4;1776
4800301002 Amorebieta-Etxano sección 01002;15242,6;;;1187,4;1722
4800301003 Amorebieta-Etxano sección 01003;8554,5;;;1187,4;1157,8
4800301004 Amorebieta-Etxano sección 01004;8896;;;1187,4;1151,6
4800301005 Amorebieta-Etxano sección 01005;15075,3;;;1187,4;2958,9
4800301006 Amorebieta-Etxano sección 01006;11050,6;;;1187,4;1053,5
4800301007 Amorebieta-Etxano sección 01007;11984,8;;;1187,4;2461
4800301008 Amorebieta-Etxano sección 01008;13051,4;;;1187,4;1399,7
4800301009 Amorebieta-Etxano sección 01009;10274,6;;;1187,4;1179,7
4800301010 Amorebieta-Etxano sección 01010;13511,7;;;1187,4;1578,4
4800302 Amorebieta-Etxano distrito 02;11633,7;;;1187,4;2374,5
4800302001 Amorebieta-Etxano sección 02001;11633,7;;;1187,4;2374,5
4800303 Amorebieta-Etxano distrito 03;10704;;;1187,4;1952,8
4800303001 Amorebieta-Etxano sección 03001;10704;;;1187,4;1952,8
48004 Amoroto;10441,2;;;1187,4;1898,5
4800401 Amoroto distrito 01;10441,2;;;1187,4;1898,5
4800401001 Amoroto sección 01001;10441,2;;;1187,4;1898,5
43906 Ampolla, L';7913;3874;254;572;1978
4390601 Ampolla, L' distrito 01;7913;3874;254;572;1978
4390601001 Ampolla, L' sección 01001;8186;3447;279;643;1992
4390601002 Ampolla, L' sección 01002;7583;4391;225;486;1962
43014 Amposta;7481;2513;288;572;1420
4301401 Amposta distrito 01;6374;3198;305;644;1824
4301401001 Amposta sección 01001;5813;3267;334;671;1693
4301401002 Amposta sección 01002;6726;3155;287;627;1907
4301402 Amposta distrito 02;6160;2977;287;588;1229
4301402001 Amposta sección 02001;6735;3023;249;492;1325
4301402002 Amposta sección 02002;5518;2926;330;696;1122
4301403 Amposta distrito 03;7006;2818;311;560;1386
4301403001 Amposta sección 03001;6875;2846;357;624;1406
4301403002 Amposta sección 03002;7079;2803;285;525;1375
4301404 Amposta distrito 04;7932;2279;281;561;1390
4301404001 Amposta sección 04001;5905;3077;270;578;1493
4301404002 Amposta sección 04002;7329;2170;297;560;1230
4301404003 Amposta sección 04003;7295;2719;295;587;1482
4301404004 Amposta sección 04004;9324;2456;267;503;1862
4301404005 Amposta sección 04005;8083;1888;281;585;1037
4301404006 Amposta sección 04006;8347;1732;277;567;1229
34010 Ampudia;8163;3376;263;555;2206
3401001 Ampudia distrito 01;8163;3376;263;555;2206
3401001001 Ampudia sección 01001;8163;3376;263;555;2206
39002 Ampuero;7538;3016;266;643;1348
3900201 Ampuero distrito 01;7538;3016;266;643;1348
3900201001 Ampuero sección 01001;7591;2852;281;608;1356
3900201002 Ampuero sección 01002;7984;3007;246;711;1181
3900201003 Ampuero sección 01003;6718;3486;254;636;1576
34011 Amusco;7451;3282;287;486;2967
3401101 Amusco distrito 01;7451;3282;287;486;2967
3401101001 Amusco sección 01001;7451;3282;287;486;2967
47009 Amusquillo;5462;5154;187;405;4587
4700901 Amusquillo distrito 01;5462;5154;187;405;4587
4700901001 Amusquillo sección 01001;5462;5154;187;405;4587
44024 Anadón;;;;;
4402401 Anadón distrito 01;;;;;
4402401001 Anadón sección 01001;;;;;
40017 Anaya;9774;2091;79;168;2137
4001701 Anaya distrito 01;9774;2091;79;168;2137
4001701001 Anaya sección 01001;9774;2091;79;168;2137
37029 Anaya de Alba;4901;3909;211;499;2004
3702901 Anaya de Alba distrito 01;4901;3909;211;499;2004
3702901001 Anaya de Alba sección 01001;4901;3909;211;499;2004
28012 Anchuelo;10129;1838;271;325;1170
2801201 Anchuelo distrito 01;10129;1838;271;325;1170
2801201001 Anchuelo sección 01001;10129;1838;271;325;1170
13017 Anchuras;4726;3902;276;461;1180
1301701 Anchuras distrito 01;4726;3902;276;461;1180
1301701001 Anchuras sección 01001;4726;3902;276;461;1180
31014 Ancín/Antzin;;;;;
3101401 Ancín/Antzin distrito 01;;;;;
3101401001 Ancín/Antzin sección 01001;;;;;
49009 Andavías;4342;3797;113;558;1236
4900901 Andavías distrito 01;4342;3797;113;558;1236
4900901001 Andavías sección 01001;4342;3797;113;558;1236
46038 Andilla;8675;4347;493;528;1433
4603801 Andilla distrito 01;8675;4347;493;528;1433
4603801001 Andilla sección 01001;8675;4347;493;528;1433
20009 Andoain;10201,4;;;1187,4;1340,1
2000901 Andoain distrito 01;10201,4;;;1187,4;1340,1
2000901001 Andoain sección 01001;10403,5;;;1187,4;1486,7
2000901002 Andoain sección 01002;12112,3;;;1187,4;1420
2000901003 Andoain sección 01003;12522,2;;;1187,4;1130,3
2000901004 Andoain sección 01004;9656,6;;;1187,4;814,3
2000901005 Andoain sección 01005;7733,1;;;1187,4;969,2
2000901006 Andoain sección 01006;7809,2;;;1187,4;917
2000901007 Andoain sección 01007;8971,4;;;1187,4;1739,2
2000901008 Andoain sección 01008;12032,9;;;1187,4;1692
2000901009 Andoain sección 01009;9976,7;;;1187,4;1976,1
2000901010 Andoain sección 01010;8241,1;;;1187,4;1437,1
2000901011 Andoain sección 01011;9315,1;;;1187,4;1187,1
44025 Andorra;8972;5375;255;360;1178
4402501 Andorra distrito 01;8369;4477;284;361;1227
4402501001 Andorra sección 01001;10096;4687;274;297;1561
4402501002 Andorra sección 01002;7145;4089;331;398;738
4402501003 Andorra sección 01003;7151;4919;193;423;1616
4402502 Andorra distrito 02;9744;6525;217;358;1115
4402502001 Andorra sección 02001;9260;6277;203;257;1479
4402502002 Andorra sección 02002;9637;6914;191;397;926
4402502003 Andorra sección 02003;10706;6227;286;451;872
31015 Andosilla;5933;2497,4;308,7;329,7;1997,2
3101501 Andosilla distrito 01;;;;;
3101501001 Andosilla sección 01001;;;;;
3101502 Andosilla distrito 02;;;;;
3101502001 Andosilla sección 02001;;;;;
07005 Andratx;8831;2073;473;363;3581
0700501 Andratx distrito 01;8701;1943;519;387;1880
0700501001 Andratx sección 01001;8895;1889;522;461;1811
0700501002 Andratx sección 01002;8353;1933;524;375;2052
0700501003 Andratx sección 01003;8844;1998;513;336;1787
0700502 Andratx distrito 02;9185;2345;389;305;6850
0700502001 Andratx sección 02001;9185;2345;389;305;6850
0700503 Andratx distrito 03;8957;2378;332;319;8330
0700503001 Andratx sección 03001;8957;2378;332;319;8330
23005 Andújar;5528;2350;426;697;1170
2300501 Andújar distrito 01;6191;2858;354;677;1833
2300501001 Andújar sección 01001;7011;2463;331;725;1783
2300501002 Andújar sección 01002;5792;3418;308;630;1143
2300501003 Andújar sección 01003;6369;2365;381;645;1426
2300501004 Andújar sección 01004;7066;2915;286;663;2796
2300501005 Andújar sección 01005;3492;2068;580;775;615
2300501006 Andújar sección 01006;6392;4409;272;604;3063
2300502 Andújar distrito 02;5795;2262;417;701;1032
2300502001 Andújar sección 02001;4104;1416;560;838;604
2300502002 Andújar sección 02002;6279;2448;341;675;1125
2300502003 Andújar sección 02003;4338;2637;571;883;709
2300502004 Andújar sección 02004;5205;2215;438;521;801
2300502005 Andújar sección 02005;7115;2580;240;724;2240
2300502006 Andújar sección 02006;5352;2674;456;656;519
2300502007 Andújar sección 02007;5504;2354;378;719;796
2300502008 Andújar sección 02008;8468;1449;385;624;1484
2300502009 Andújar sección 02009;5227;2858;419;800;1137
2300503 Andújar distrito 03;5079;2122;446;704;934
2300503001 Andújar sección 03001;4995;2582;412;637;1378
2300503002 Andújar sección 03002;3757;2226;499;783;513
2300503003 Andújar sección 03003;5880;2094;402;613;992
2300503004 Andújar sección 03004;6241;2175;366;625;1185
2300503005 Andújar sección 03005;4326;1875;456;761;785
2300503006 Andújar sección 03006;5220;1344;535;748;549
2300503007 Andújar sección 03007;5811;2845;375;667;1139
2300503008 Andújar sección 03008;3527;2244;486;822;809
2300503009 Andújar sección 03009;5740;1693;495;702;934
2300504 Andújar distrito 04;4606;2452;605;691;1021
2300504001 Andújar sección 04001;4666;2561;545;720;1087
2300504002 Andújar sección 04002;4517;2291;696;648;922
50028 Anento;11875;2569;309;919;1646
5002801 Anento distrito 01;11875;2569;309;919;1646
5002801001 Anento sección 01001;11875;2569;309;919;1646
17008 Anglès;8443;3084;213;498;1371
1700801 Anglès distrito 01;8443;3084;213;498;1371
1700801001 Anglès sección 01001;7283;2695;199;562;1024
1700801002 Anglès sección 01002;8883;3112;212;475;1420
1700801003 Anglès sección 01003;8790;3383;227;478;1601
25027 Anglesola;7544;3054;190;682;2367
2502701 Anglesola distrito 01;7544;3054;190;682;2367
2502701001 Anglesola sección 01001;7544;3054;190;682;2367
19031 Angón;;;;;
1903101 Angón distrito 01;;;;;
1903101001 Angón sección 01001;;;;;
26013 Anguciana;7251;2589;251;280;1612
2601301 Anguciana distrito 01;7251;2589;251;280;1612
2601301001 Anguciana sección 01001;7251;2589;251;280;1612
22027 Angüés;7031;3959;232;589;2356
2202701 Angüés distrito 01;7031;3959;232;589;2356
2202701001 Angüés sección 01001;7031;3959;232;589;2356
26014 Anguiano;6702;5730;113;521;1964
2601401 Anguiano distrito 01;6702;5730;113;521;1964
2601401001 Anguiano sección 01001;6702;5730;113;521;1964
19032 Anguita;7223;5995;120;833;2061
1903201 Anguita distrito 01;7223;5995;120;833;2061
1903201001 Anguita sección 01001;7223;5995;120;833;2061
09017 Anguix;3448;4979;173;302;4954
0901701 Anguix distrito 01;3448;4979;173;302;4954
0901701001 Anguix sección 01001;3448;4979;173;302;4954
39003 Anievas;6102;4913;265;675;718
3900301 Anievas distrito 01;6102;4913;265;675;718
3900301001 Anievas sección 01001;6102;4913;265;675;718
50029 Aniñón;4976;3924;158;293;1904
5002901 Aniñón distrito 01;4976;3924;158;293;1904
5002901001 Aniñón sección 01001;4976;3924;158;293;1904
46039 Anna;6305;3011;292;610;1031
4603901 Anna distrito 01;6305;3011;292;610;1031
4603901001 Anna sección 01001;6748;2999;272;589;1292
4603901002 Anna sección 01002;5794;3025;316;634;731
20010 Anoeta;11091,3;;;1187,4;1962,4
2001001 Anoeta distrito 01;11091,3;;;1187,4;1962,4
2001001001 Anoeta sección 01001;11091,3;;;1187,4;1962,4
19033 Anquela del Ducado;;;;;
1903301 Anquela del Ducado distrito 01;;;;;
1903301001 Anquela del Ducado sección 01001;;;;;
19034 Anquela del Pedregal;;;;;
1903401 Anquela del Pedregal distrito 01;;;;;
1903401001 Anquela del Pedregal sección 01001;;;;;
22028 Ansó;6031;5161;192;254;2722
2202801 Ansó distrito 01;6031;5161;192;254;2722
2202801001 Ansó sección 01001;6031;5161;192;254;2722
31016 Ansoáin/Antsoain;8105,6;2506;268,8;428,9;909
3101601 Ansoáin/Antsoain distrito 01;8105,6;2506;268,8;428,9;909
3101601001 Ansoáin/Antsoain sección 01001;;;;;
3101601002 Ansoáin/Antsoain sección 01002;;;;;
3101601003 Ansoáin/Antsoain sección 01003;8889,8;1769,3;229,5;341,2;1178,7
3101601004 Ansoáin/Antsoain sección 01004;;;;;
3101601005 Ansoáin/Antsoain sección 01005;;;;;
3101601006 Ansoáin/Antsoain sección 01006;;;;;
04016 Antas;6116;2197;269;478;1318
0401601 Antas distrito 01;6347;2119;245;535;1303
0401601001 Antas sección 01001;6347;2119;245;535;1303
0401602 Antas distrito 02;5693;2339;313;373;1344
0401602001 Antas sección 02001;5693;2339;313;373;1344
27003 Antas de Ulla;4598;4271;215;614;947
2700301 Antas de Ulla distrito 01;4598;4271;215;614;947
2700301001 Antas de Ulla sección 01001;5734;4189;211;531;1344
2700301002 Antas de Ulla sección 01002;4077;3900;224;678;875
2700301003 Antas de Ulla sección 01003;3987;4682;210;635;634
46040 Antella;6593;3190;363;501;1147
4604001 Antella distrito 01;6593;3190;363;501;1147
4604001001 Antella sección 01001;6593;3190;363;501;1147
29015 Antequera;7211;2198;351;662;1298
2901501 Antequera distrito 01;8527;2211;281;654;1472
2901501001 Antequera sección 01001;5330;3403;328;778;774
2901501002 Antequera sección 01002;7904;2617;245;751;3509
2901501003 Antequera sección 01003;8396;2763;231;693;1884
2901501004 Antequera sección 01004;6359;2592;347;614;650
2901501005 Antequera sección 01005;9607;2730;253;763;1785
2901501006 Antequera sección 01006;11553;2940;149;685;1854
2901501007 Antequera sección 01007;6872;2685;229;709;495
2901501008 Antequera sección 01008;8014;2411;279;678;1561
2901501009 Antequera sección 01009;9012;930;320;486;642
2901501010 Antequera sección 01010;6019;1767;593;769;599
2901501011 Antequera sección 01011;11344;975;176;475;1885
2901502 Antequera distrito 02;6469;2222;407;701;739
2901502001 Antequera sección 02001;6657;2147;405;605;638
2901502002 Antequera sección 02002;4697;2757;463;718;1050
2901502003 Antequera sección 02003;7595;2277;301;910;1230
2901502004 Antequera sección 02004;7117;1754;377;638;685
2901502005 Antequera sección 02005;5335;2596;488;590;481
2901502006 Antequera sección 02006;6704;1858;456;688;248
2901503 Antequera distrito 03;6925;2245;321;667;1395
2901503001 Antequera sección 03001;6065;1900;372;722;781
2901503002 Antequera sección 03002;5337;2375;350;626;506
2901503003 Antequera sección 03003;4075;1974;454;741;217
2901503004 Antequera sección 03004;9023;2864;209;770;2577
2901503005 Antequera sección 03005;7641;3581;223;718;2177
2901503006 Antequera sección 03006;7844;3584;237;759;3278
2901503007 Antequera sección 03007;7398;571;388;472;538
2901504 Antequera distrito 04;5964;1874;386;686;1858
2901504001 Antequera sección 04001;5699;2050;445;705;1949
2901504002 Antequera sección 04002;6211;1711;331;669;1774
2901505 Antequera distrito 05;4183;2212;627;493;2143
2901505002 Antequera sección 05002;;;;;
2901505004 Antequera sección 05004;4183;2212;627;493;2143
2901506 Antequera distrito 06;5331;2096;626;605;571
2901506002 Antequera sección 06002;5907;2377;484;745;724
2901506003 Antequera sección 06003;4878;1876;738;496;451
35003 Antigua;7340;1210;369;251;1411
3500301 Antigua distrito 01;7340;1210;369;251;1411
3500301001 Antigua sección 01001;8357;1812;343;401;1187
3500301002 Antigua sección 01002;7546;1832;389;323;1421
3500301003 Antigua sección 01003;7429;874;357;175;1875
3500301004 Antigua sección 01004;5362;732;434;192;432
3500301005 Antigua sección 01005;7624;1318;354;258;1452
24005 Antigua, La;3969;5595;173;503;2779
2400501 Antigua, La distrito 01;3969;5595;173;503;2779
2400501001 Antigua, La sección 01001;3969;5595;173;503;2779
34012 Antigüedad;7707;3077;142;752;2313
3401201 Antigüedad distrito 01;7707;3077;142;752;2313
3401201001 Antigüedad sección 01001;7707;3077;142;752;2313
22029 Antillón;5474;3978;106;325;5262
2202901 Antillón distrito 01;5474;3978;106;325;5262
2202901001 Antillón sección 01001;5474;3978;106;325;5262
20011 Antzuola;13875,3;;;1187,4;1999,7
2001101 Antzuola distrito 01;13875,3;;;1187,4;1999,7
2001101001 Antzuola sección 01001;13875,3;;;1187,4;1999,7
31017 Anue;;;;;
3101701 Anue distrito 01;;;;;
3101701001 Anue sección 01001;;;;;
40018 Añe;;;;;
4001801 Añe distrito 01;;;;;
4001801001 Añe sección 01001;;;;;
50030 Añón de Moncayo;6155;5227;224;636;724
5003001 Añón de Moncayo distrito 01;6155;5227;224;636;724
5003001001 Añón de Moncayo sección 01001;6155;5227;224;636;724
14006 Añora;6353;2771;309;410;2492
1400601 Añora distrito 01;6353;2771;309;410;2492
1400601001 Añora sección 01001;6599;2868;322;476;2534
1400601002 Añora sección 01002;6120;2680;297;347;2452
31018 Añorbe;;;;;
3101801 Añorbe distrito 01;;;;;
3101801001 Añorbe sección 01001;;;;;
45014 Añover de Tajo;6282;2246;322;381;814
4501401 Añover de Tajo distrito 01;6282;2246;322;381;814
4501401001 Añover de Tajo sección 01001;7217;2031;305;348;875
4501401002 Añover de Tajo sección 01002;4788;2551;351;365;748
4501401003 Añover de Tajo sección 01003;5911;2351;328;430;774
37030 Añover de Tormes;;;;;
3703001 Añover de Tormes distrito 01;;;;;
3703001001 Añover de Tormes sección 01001;;;;;
31019 Aoiz/Agoitz;7739,7;2549,7;269,6;297,1;1075
3101901 Aoiz/Agoitz distrito 01;;;;;
3101901001 Aoiz/Agoitz sección 01001;;;;;
3101902 Aoiz/Agoitz distrito 02;;;;;
3101902001 Aoiz/Agoitz sección 02001;;;;;
37031 Arabayona de Mógica;5338;3164;152;666;3629
3703101 Arabayona de Mógica distrito 01;5338;3164;152;666;3629
3703101001 Arabayona de Mógica sección 01001;5338;3164;152;666;3629
21007 Aracena;6346;2181;386;534;1218
2100701 Aracena distrito 01;4988;2123;562;527;875
2100701001 Aracena sección 01001;5035;2114;465;564;927
2100701002 Aracena sección 01002;4910;2138;725;465;789
2100702 Aracena distrito 02;5834;2639;401;640;954
2100702001 Aracena sección 02001;5834;2639;401;640;954
2100703 Aracena distrito 03;6968;2141;313;523;1394
2100703001 Aracena sección 03001;6490;2650;336;554;1243
2100703002 Aracena sección 03002;6554;3336;282;573;2035
2100703003 Aracena sección 03003;5919;1925;362;509;1419
2100703004 Aracena sección 03004;8696;970;272;471;979
38004 Arafo;7719;2458;323;402;1214
3800401 Arafo distrito 01;7719;2458;323;402;1214
3800401001 Arafo sección 01001;7904;2463;277;381;926
3800401002 Arafo sección 01002;6770;2662;386;387;1029
3800401003 Arafo sección 01003;8391;2263;316;439;1707
22032 Aragüés del Puerto;8166;4250;213;529;1860
2203201 Aragüés del Puerto distrito 01;8166;4250;213;529;1860
2203201001 Aragüés del Puerto sección 01001;8166;4250;213;529;1860
41011 Arahal;5308;1969;635;682;789
4101101 Arahal distrito 01;5037;2045;642;672;994
4101101001 Arahal sección 01001;4735;2651;632;683;1158
4101101002 Arahal sección 01002;5222;1073;751;634;304
4101101003 Arahal sección 01003;5297;3064;401;742;2095
4101101004 Arahal sección 01004;4766;1758;759;637;601
4101102 Arahal distrito 02;5301;2329;559;833;761
4101102002 Arahal sección 02002;5408;2395;523;856;641
4101102003 Arahal sección 02003;5141;2229;613;798;943
4101103 Arahal distrito 03;5609;1840;621;618;923
4101103001 Arahal sección 03001;5433;2287;551;601;1315
4101103002 Arahal sección 03002;;;;;
4101103003 Arahal sección 03003;5730;1981;676;677;801
4101103004 Arahal sección 03004;5723;1126;660;585;527
4101104 Arahal distrito 04;5333;1753;695;649;449
4101104001 Arahal sección 04001;5597;2393;580;700;641
4101104002 Arahal sección 04002;5174;1538;761;634;349
4101104003 Arahal sección 04003;5162;1038;777;587;295
40019 Arahuetes;;;;;
4001901 Arahuetes distrito 01;;;;;
4001901001 Arahuetes sección 01001;;;;;
31020 Araitz;;;;;
3102001 Araitz distrito 01;;;;;
3102001001 Araitz sección 01001;;;;;
48005 Arakaldo;12918,2;;;1187,4;3151,7
4800501 Arakaldo distrito 01;12918,2;;;1187,4;3151,7
4800501001 Arakaldo sección 01001;12918,2;;;1187,4;3151,7
31025 Arakil;;;;;
3102501 Arakil distrito 01;;;;;
3102501001 Arakil sección 01001;;;;;
20012 Arama;15292,6;;;1187,4;2531,1
2001201 Arama distrito 01;15292,6;;;1187,4;2531,1
2001201001 Arama sección 01001;15292,6;;;1187,4;2531,1
31021 Aranarache/Aranaratxe;;;;;
3102101 Aranarache/Aranaratxe distrito 01;;;;;
3102101001 Aranarache/Aranaratxe sección 01001;;;;;
42024 Arancón;;;;;
4202401 Arancón distrito 01;;;;;
4202401001 Arancón sección 01001;;;;;
09018 Aranda de Duero;8877;3549;207;440;1666
0901801 Aranda de Duero distrito 01;9413;3534;201;460;1385
0901801001 Aranda de Duero sección 01001;13355;1712;116;378;1397
0901801002 Aranda de Duero sección 01002;9874;3533;192;450;2125
0901801003 Aranda de Duero sección 01003;6894;5250;188;355;1178
0901801004 Aranda de Duero sección 01004;7946;4819;253;387;819
0901801005 Aranda de Duero sección 01005;10059;2675;230;591;972
0901801006 Aranda de Duero sección 01006;7985;2730;238;641;625
0901801007 Aranda de Duero sección 01007;10841;3415;164;512;1583
0901801008 Aranda de Duero sección 01008;9011;4378;195;378;2396
0901801009 Aranda de Duero sección 01009;10024;3069;184;362;1349
0901802 Aranda de Duero distrito 02;8871;3648;211;395;2689
0901802001 Aranda de Duero sección 02001;10178;3599;201;450;3873
0901802002 Aranda de Duero sección 02002;8851;3459;192;409;2200
0901802003 Aranda de Duero sección 02003;7892;4818;200;284;4252
0901802004 Aranda de Duero sección 02004;8101;3235;253;370;2258
0901802005 Aranda de Duero sección 02005;9508;3226;222;466;1127
0901803 Aranda de Duero distrito 03;8225;3501;213;445;1322
0901803001 Aranda de Duero sección 03001;6460;3145;254;398;865
0901803002 Aranda de Duero sección 03002;5629;4074;211;537;856
0901803003 Aranda de Duero sección 03003;6774;3317;244;580;817
0901803004 Aranda de Duero sección 03004;8846;3045;179;394;1554
0901803005 Aranda de Duero sección 03005;10793;2880;174;375;2167
0901803006 Aranda de Duero sección 03006;7298;4752;242;456;1046
0901803007 Aranda de Duero sección 03007;7999;4301;277;585;655
0901803008 Aranda de Duero sección 03008;8363;3540;206;451;1193
50031 Aranda de Moncayo;7419;4742;181;610;1666
5003101 Aranda de Moncayo distrito 01;7419;4742;181;610;1666
5003101001 Aranda de Moncayo sección 01001;7419;4742;181;610;1666
50032 Arándiga;5844;3577;195;493;1918
5003201 Arándiga distrito 01;5844;3577;195;493;1918
5003201001 Arándiga sección 01001;5844;3577;195;493;1918
09019 Arandilla;5271;5483;221;955;2393
0901901 Arandilla distrito 01;5271;5483;221;955;2393
0901901001 Arandilla sección 01001;5271;5483;221;955;2393
16020 Arandilla del Arroyo;;;;;
1602001 Arandilla del Arroyo distrito 01;;;;;
1602001001 Arandilla del Arroyo sección 01001;;;;;
15003 Aranga;5152;4851;155;631;1705
1500301 Aranga distrito 01;5152;4851;155;631;1705
1500301001 Aranga sección 01001;4135;4779;113;688;2435
1500301002 Aranga sección 01002;6012;4913;189;583;1087
31023 Aranguren;10981,2;1681,6;269,3;230,4;1798,3
3102301 Aranguren distrito 01;10981,2;1681,6;269,3;230,4;1798,3
3102301001 Aranguren sección 01001;9974,3;1933,7;354,2;223,8;1678,7
3102301002 Aranguren sección 01002;;;;;
3102301003 Aranguren sección 01003;11048,8;1469,6;186,4;294,2;1565,7
3102301004 Aranguren sección 01004;11454,1;1662,1;280,4;197,8;1983
28013 Aranjuez;9148;2583;243;524;1286
2801301 Aranjuez distrito 01;8989;2906;243;537;1526
2801301001 Aranjuez sección 01001;7666;3456;219;497;2838
2801301002 Aranjuez sección 01002;9051;3803;189;512;1432
2801301003 Aranjuez sección 01003;8477;4275;238;550;2263
2801301004 Aranjuez sección 01004;6341;2948;248;545;468
2801301005 Aranjuez sección 01005;4629;1870;419;613;295
2801301006 Aranjuez sección 01006;5727;2465;307;437;949
2801301007 Aranjuez sección 01007;10428;2960;202;526;1384
2801301008 Aranjuez sección 01008;14138;1692;211;568;1906
2801301009 Aranjuez sección 01009;10121;2811;214;553;1517
2801302 Aranjuez distrito 02;8693;2855;242;509;1158
2801302001 Aranjuez sección 02001;8196;3120;269;530;2067
2801302002 Aranjuez sección 02002;10547;3874;203;474;2232
2801302003 Aranjuez sección 02003;7013;2969;275;476;775
2801302004 Aranjuez sección 02004;8826;2945;200;566;974
2801302005 Aranjuez sección 02005;7213;2620;287;527;922
2801302006 Aranjuez sección 02006;6803;2670;245;458;444
2801302007 Aranjuez sección 02007;12035;1927;205;546;1430
2801302008 Aranjuez sección 02008;8123;3179;252;517;737
