location_raw;Renta neta media por persona ;Renta neta media por hogar;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar
0801903052 Barcelona sección 03052;13.041;30.967;18.687;15.750;15.868;37.679
0801903053 Barcelona sección 03053;13.222;31.966;19.291;17.150;16.064;38.837
0801903054 Barcelona sección 03054;15.118;38.317;22.251;19.950;18.577;47.085
0801903055 Barcelona sección 03055;14.576;33.561;20.909;18.550;17.704;40.763
0801903056 Barcelona sección 03056;15.234;34.619;21.370;19.950;18.369;41.744
0801903057 Barcelona sección 03057;13.961;31.010;19.850;18.550;16.645;36.971
0801903058 Barcelona sección 03058;17.982;44.497;26.473;24.150;22.776;56.358
0801903059 Barcelona sección 03059;13.236;31.277;18.919;17.150;15.770;37.264
0801903060 Barcelona sección 03060;15.862;38.086;23.032;21.350;19.487;46.790
0801903061 Barcelona sección 03061;13.388;28.790;18.423;17.850;15.925;34.244
0801903062 Barcelona sección 03062;14.639;32.549;20.865;19.250;17.654;39.253
0801903063 Barcelona sección 03063;13.376;34.277;20.196;18.550;16.296;41.759
0801903064 Barcelona sección 03064;14.843;37.939;22.193;19.950;18.122;46.319
0801903065 Barcelona sección 03065;15.220;39.406;22.551;21.350;18.746;48.535
0801903066 Barcelona sección 03066;13.933;35.205;20.546;19.250;16.929;42.774
0801903067 Barcelona sección 03067;14.647;36.396;21.555;19.950;17.967;44.646
0801903068 Barcelona sección 03068;13.441;30.410;19.238;17.150;16.140;36.517
0801903069 Barcelona sección 03069;15.483;38.049;22.867;21.350;19.006;46.706
0801903070 Barcelona sección 03070;12.800;31.268;18.636;17.150;15.354;37.505
0801903071 Barcelona sección 03071;12.185;27.902;17.317;15.050;14.510;33.226
0801903072 Barcelona sección 03072;13.393;29.599;18.627;17.150;16.058;35.491
0801903073 Barcelona sección 03073;15.196;36.222;22.163;19.950;18.745;44.682
0801903074 Barcelona sección 03074;14.124;33.273;20.910;19.250;17.216;40.557
0801903075 Barcelona sección 03075;13.625;34.308;19.902;17.850;16.512;41.578
0801903076 Barcelona sección 03076;12.797;30.140;18.230;17.150;15.148;35.676
0801903077 Barcelona sección 03077;14.291;34.726;20.639;18.550;17.339;42.131
0801903078 Barcelona sección 03078;14.216;34.007;20.649;17.850;17.157;41.043
0801903079 Barcelona sección 03079;12.633;31.753;18.458;15.050;15.122;38.008
0801903080 Barcelona sección 03080;14.545;34.994;21.013;18.550;17.733;42.665
0801903081 Barcelona sección 03081;15.084;36.062;22.054;19.250;18.547;44.341
0801903082 Barcelona sección 03082;16.560;40.062;24.236;20.650;20.826;50.382
0801903083 Barcelona sección 03083;15.996;37.480;22.945;20.650;19.752;46.280
0801903084 Barcelona sección 03084;15.924;38.487;23.201;21.350;19.383;46.848
0801903085 Barcelona sección 03085;15.975;35.676;22.847;19.950;19.876;44.388
0801903086 Barcelona sección 03086;19.949;45.921;28.895;26.950;25.434;58.546
0801903087 Barcelona sección 03087;18.253;43.512;26.427;22.750;22.839;54.446
0801903088 Barcelona sección 03088;15.523;34.847;22.188;20.650;19.032;42.726
0801903089 Barcelona sección 03089;17.070;39.915;24.829;22.750;21.079;49.289
0801903090 Barcelona sección 03090;18.391;44.495;26.765;24.150;23.252;56.256
0801903091 Barcelona sección 03091;16.243;41.284;24.133;21.350;20.303;51.602
0801903092 Barcelona sección 03092;16.143;37.699;23.970;20.650;20.017;46.745
0801903093 Barcelona sección 03093;16.532;39.587;23.980;21.350;20.450;48.969
0801903094 Barcelona sección 03094;17.167;36.728;24.388;21.350;21.288;45.544
0801903095 Barcelona sección 03095;15.405;35.132;22.143;19.250;18.678;42.596
0801903096 Barcelona sección 03096;14.126;34.115;20.455;17.850;17.259;41.682
0801903097 Barcelona sección 03097;11.213;25.859;16.038;13.650;13.390;30.878
0801903098 Barcelona sección 03098;13.531;31.965;19.774;17.150;16.508;38.997
0801903099 Barcelona sección 03099;14.649;32.795;21.394;19.950;17.981;40.254
0801903100 Barcelona sección 03100;14.474;32.502;20.617;18.550;17.756;39.872
0801903101 Barcelona sección 03101;15.268;33.192;21.929;18.550;18.534;40.291
0801903102 Barcelona sección 03102;14.920;34.796;21.261;19.950;18.521;43.195
0801903103 Barcelona sección 03103;15.018;34.231;21.481;20.650;18.048;41.136
0801903104 Barcelona sección 03104;14.282;32.821;20.411;18.550;17.415;40.023
0801903105 Barcelona sección 03105;13.783;30.903;19.781;18.550;16.918;37.929
0801903106 Barcelona sección 03106;14.662;33.393;21.309;18.550;18.136;41.303
0801903107 Barcelona sección 03107;16.555;38.281;23.621;21.350;20.675;47.808
0801903108 Barcelona sección 03108;15.060;36.002;21.885;19.250;18.553;44.352
0801903109 Barcelona sección 03109;15.480;36.210;22.620;20.650;19.155;44.806
0801903110 Barcelona sección 03110;15.766;35.219;22.253;19.950;19.427;43.396
0801903111 Barcelona sección 03111;15.878;36.615;23.255;21.350;19.655;45.325
0801903112 Barcelona sección 03112;18.966;44.829;27.686;24.150;24.118;57.007
0801903113 Barcelona sección 03113;21.320;49.402;30.810;26.950;27.726;64.243
0801903114 Barcelona sección 03114;19.234;45.520;28.343;24.850;24.960;59.070
0801903211 Barcelona sección 03211;13.583;38.577;20.508;19.250;16.385;46.532
0801903212 Barcelona sección 03212;12.394;30.999;18.256;17.150;14.568;36.436
0801903213 Barcelona sección 03213;10.155;28.764;15.288;14.350;11.793;33.403
0801904 Barcelona distrito 04;22.404;54.429;34.011;26.950;30.349;73.728
0801904001 Barcelona sección 04001;17.818;44.068;26.449;24.150;22.464;55.561
0801904002 Barcelona sección 04002;20.773;52.000;31.257;26.950;26.664;66.746
0801904003 Barcelona sección 04003;19.315;48.040;28.475;25.200;24.601;61.187
0801904004 Barcelona sección 04004;18.989;43.246;27.433;22.750;24.111;54.910
0801904005 Barcelona sección 04005;17.590;40.691;25.501;23.450;22.168;51.282
0801904006 Barcelona sección 04006;18.621;43.054;27.351;23.450;24.013;55.522
0801904007 Barcelona sección 04007;15.853;36.189;23.005;20.650;19.457;44.415
0801904008 Barcelona sección 04008;16.003;35.954;22.978;19.950;20.007;44.948
0801904009 Barcelona sección 04009;18.718;42.191;27.238;24.150;23.864;53.788
0801904010 Barcelona sección 04010;20.598;50.633;31.072;26.950;27.752;68.217
0801904011 Barcelona sección 04011;21.865;53.046;32.633;29.050;28.311;68.686
0801904012 Barcelona sección 04012;19.829;47.272;29.311;26.950;25.592;61.010
0801904013 Barcelona sección 04013;22.565;55.155;33.875;29.050;29.629;72.420
0801904014 Barcelona sección 04014;20.390;48.184;31.114;26.250;27.179;64.227
0801904015 Barcelona sección 04015;20.961;50.782;30.784;27.650;26.833;65.005
0801904016 Barcelona sección 04016;20.294;46.598;29.582;25.550;26.554;60.972
0801904017 Barcelona sección 04017;20.640;47.053;30.455;26.250;26.994;61.538
0801904018 Barcelona sección 04018;21.976;51.201;32.416;26.950;28.398;66.161
0801904019 Barcelona sección 04019;26.337;66.221;40.527;31.150;36.312;91.302
0801904020 Barcelona sección 04020;21.635;53.277;33.121;26.250;29.120;71.706
0801904021 Barcelona sección 04021;24.118;55.208;35.994;29.750;32.989;75.514
0801904022 Barcelona sección 04022;21.604;46.799;31.306;26.950;28.239;61.170
0801904023 Barcelona sección 04023;32.242;91.933;52.239;36.750;47.029;133.380
0801904024 Barcelona sección 04024;31.646;89.053;50.157;36.750;45.851;129.027
0801904025 Barcelona sección 04025;20.024;44.233;29.804;24.850;26.164;57.795
0801904026 Barcelona sección 04026;21.027;47.193;31.206;26.950;27.477;61.669
0801904027 Barcelona sección 04027;21.600;47.174;31.905;24.850;28.303;61.812
0801904028 Barcelona sección 04028;19.439;42.336;28.182;24.850;24.704;53.801
0801904029 Barcelona sección 04029;24.938;59.479;36.683;30.450;32.939;78.563
0801904030 Barcelona sección 04030;22.292;52.995;33.202;29.050;29.120;69.229
0801904031 Barcelona sección 04031;18.838;45.313;27.657;22.750;24.210;58.237
0801904032 Barcelona sección 04032;18.373;42.776;26.708;24.850;23.137;53.868
0801904033 Barcelona sección 04033;18.268;41.735;26.641;24.150;23.096;52.764
0801904034 Barcelona sección 04034;23.168;58.838;35.193;31.850;30.383;77.161
0801904035 Barcelona sección 04035;21.692;49.809;31.396;28.350;27.737;63.690
0801904036 Barcelona sección 04036;16.227;38.791;24.488;20.650;20.514;49.040
0801904037 Barcelona sección 04037;18.742;46.413;27.791;23.450;23.896;59.177
0801904038 Barcelona sección 04038;18.788;45.993;27.420;24.850;23.552;57.656
0801904039 Barcelona sección 04039;17.804;41.271;26.210;22.750;22.391;51.903
0801904040 Barcelona sección 04040;14.126;34.180;20.832;19.250;17.312;41.887
0801904041 Barcelona sección 04041;15.208;35.367;22.218;19.250;18.478;42.973
0801904042 Barcelona sección 04042;15.450;34.950;22.322;20.650;18.819;42.570
0801904043 Barcelona sección 04043;20.725;50.762;32.498;29.750;28.197;69.064
0801904044 Barcelona sección 04044;16.898;41.345;24.765;22.050;20.891;51.114
0801904045 Barcelona sección 04045;16.562;39.638;24.205;21.350;20.417;48.862
0801904046 Barcelona sección 04046;24.239;62.542;36.377;31.850;31.951;82.440
0801904047 Barcelona sección 04047;19.776;51.091;30.144;25.550;25.412;65.650
0801904048 Barcelona sección 04048;21.819;53.198;31.990;29.050;28.195;68.743
0801904049 Barcelona sección 04049;27.019;71.429;42.515;33.250;37.338;98.709
0801904050 Barcelona sección 04050;32.242;91.933;52.239;36.750;47.029;133.380
0801904051 Barcelona sección 04051;21.819;52.397;32.971;28.350;28.837;69.251
0801904052 Barcelona sección 04052;32.242;91.933;52.239;36.750;47.029;133.380
0801904053 Barcelona sección 04053;22.557;58.784;36.549;26.950;31.554;82.232
0801904054 Barcelona sección 04054;27.094;68.488;45.901;36.750;44.183;111.686
0801904055 Barcelona sección 04055;32.242;91.933;52.239;36.750;47.029;133.380
0801904056 Barcelona sección 04056;32.242;91.933;52.239;34.650;47.029;133.380
0801904084 Barcelona sección 04084;23.135;56.397;34.567;30.450;30.793;75.065
0801905 Barcelona distrito 05;27.115;69.600;43.146;30.450;39.760;102.058
0801905001 Barcelona sección 05001;13.968;40.185;22.388;19.950;17.668;50.830
0801905002 Barcelona sección 05002;23.009;66.079;39.631;29.750;35.117;100.851
0801905003 Barcelona sección 05003;23.310;67.399;37.107;27.650;33.886;97.981
0801905004 Barcelona sección 05004;32.242;91.933;52.239;33.250;47.029;133.380
0801905005 Barcelona sección 05005;27.965;85.330;48.185;29.750;42.509;129.706
0801905006 Barcelona sección 05006;32.242;91.933;52.239;36.750;47.029;133.380
0801905007 Barcelona sección 05007;28.731;80.392;45.726;31.850;42.473;118.841
0801905008 Barcelona sección 05008;31.711;86.296;52.239;31.150;47.029;133.380
0801905009 Barcelona sección 05009;24.114;61.970;37.890;30.450;33.253;85.454
0801905010 Barcelona sección 05010;21.697;57.444;34.168;27.650;29.330;77.654
0801905011 Barcelona sección 05011;20.820;50.471;36.288;29.750;33.084;80.201
0801905012 Barcelona sección 05012;22.293;52.811;33.794;26.250;29.491;69.865
0801905013 Barcelona sección 05013;22.996;56.706;35.265;30.450;31.435;77.515
0801905014 Barcelona sección 05014;26.162;67.051;41.174;33.250;36.413;93.324
0801905015 Barcelona sección 05015;25.875;68.896;41.932;31.150;36.310;96.682
0801905016 Barcelona sección 05016;19.260;48.896;30.671;26.250;27.018;68.590
0801905017 Barcelona sección 05017;32.242;91.933;51.751;36.750;47.029;133.380
0801905018 Barcelona sección 05018;22.166;56.401;34.563;30.450;29.692;75.550
0801905019 Barcelona sección 05019;29.743;85.466;47.242;36.750;42.559;122.294
0801905020 Barcelona sección 05020;27.839;65.258;42.145;33.250;39.085;91.622
0801905021 Barcelona sección 05021;32.242;89.168;52.239;36.750;47.029;133.380
0801905022 Barcelona sección 05022;32.242;91.933;52.239;36.750;47.029;133.380
0801905023 Barcelona sección 05023;19.690;48.240;30.187;25.550;26.257;64.331
0801905024 Barcelona sección 05024;32.242;91.933;52.239;36.750;47.029;133.380
0801905025 Barcelona sección 05025;32.242;91.933;52.239;36.750;47.029;133.380
0801905026 Barcelona sección 05026;32.242;91.933;52.239;36.750;47.029;133.380
0801905027 Barcelona sección 05027;32.242;91.933;52.239;36.750;47.029;133.380
0801905028 Barcelona sección 05028;29.225;90.614;50.793;36.750;45.692;133.380
0801905029 Barcelona sección 05029;32.242;91.933;52.239;36.750;47.029;133.380
0801905030 Barcelona sección 05030;32.242;91.933;52.239;36.750;47.029;133.380
0801905031 Barcelona sección 05031;32.242;91.933;52.239;36.750;47.029;133.380
0801905032 Barcelona sección 05032;32.242;91.933;52.239;33.250;47.029;133.380
0801905033 Barcelona sección 05033;29.719;80.494;46.928;30.450;44.494;120.512
0801905034 Barcelona sección 05034;24.452;60.791;38.138;27.650;33.550;83.412
0801905035 Barcelona sección 05035;32.242;91.933;52.239;36.750;47.029;133.380
0801905036 Barcelona sección 05036;32.242;91.152;50.412;36.750;47.029;132.677
0801905037 Barcelona sección 05037;22.114;55.538;34.389;27.650;30.453;76.483
0801905038 Barcelona sección 05038;21.185;47.288;31.095;25.550;28.694;64.048
0801905039 Barcelona sección 05039;28.224;79.633;44.654;36.050;40.294;113.685
0801905040 Barcelona sección 05040;20.960;48.847;31.584;25.550;27.767;64.711
0801905041 Barcelona sección 05041;24.044;58.068;36.816;29.050;32.591;78.710
0801905042 Barcelona sección 05042;20.876;50.317;32.272;29.050;28.338;68.302
0801905043 Barcelona sección 05043;22.414;52.251;33.610;27.650;30.217;70.440
0801905044 Barcelona sección 05044;21.508;51.670;32.307;26.250;28.060;67.408
0801905045 Barcelona sección 05045;24.394;68.460;39.968;31.850;36.098;101.306
0801905046 Barcelona sección 05046;32.242;91.933;52.239;36.750;47.029;133.380
0801905047 Barcelona sección 05047;27.872;79.376;44.138;33.950;39.620;112.835
0801905048 Barcelona sección 05048;26.729;69.661;43.727;34.300;41.242;107.483
0801905049 Barcelona sección 05049;32.242;91.933;52.239;36.750;47.029;133.380
0801905050 Barcelona sección 05050;24.236;59.112;37.478;30.450;33.739;82.290
0801905051 Barcelona sección 05051;28.240;77.636;46.680;33.250;42.499;116.836
0801905052 Barcelona sección 05052;32.242;91.933;52.239;36.750;47.029;133.380
0801905053 Barcelona sección 05053;32.242;91.933;52.239;36.750;47.029;133.380
0801905054 Barcelona sección 05054;32.242;91.933;52.239;36.750;47.029;133.380
0801905055 Barcelona sección 05055;32.242;91.933;52.239;36.750;47.029;133.380
0801905056 Barcelona sección 05056;31.093;73.713;49.791;33.950;46.957;111.323
0801905057 Barcelona sección 05057;32.242;91.933;52.239;36.750;47.029;133.380
0801905058 Barcelona sección 05058;32.242;91.933;52.239;35.350;47.029;133.380
0801905059 Barcelona sección 05059;31.695;72.509;47.547;32.550;46.144;105.563
0801905060 Barcelona sección 05060;32.242;90.648;52.239;35.350;47.029;133.380
0801905061 Barcelona sección 05061;23.484;50.512;33.685;24.850;32.036;68.909
0801905062 Barcelona sección 05062;29.222;67.540;44.353;29.750;41.448;95.798
0801905063 Barcelona sección 05063;27.871;69.250;42.689;31.150;39.852;99.019
0801905064 Barcelona sección 05064;24.455;55.955;37.056;27.650;33.511;76.676
0801905065 Barcelona sección 05065;22.995;56.822;36.105;29.750;31.528;77.909
0801905066 Barcelona sección 05066;32.242;83.128;49.605;32.550;47.029;122.888
0801905067 Barcelona sección 05067;26.384;63.505;41.799;33.250;38.448;92.544
0801905068 Barcelona sección 05068;26.216;57.803;38.456;29.750;36.466;80.405
0801905069 Barcelona sección 05069;23.853;59.010;36.577;29.750;32.582;80.604
0801905070 Barcelona sección 05070;23.040;54.873;34.891;28.350;31.364;74.696
0801905071 Barcelona sección 05071;21.203;49.716;31.290;25.900;27.645;64.819
0801905072 Barcelona sección 05072;23.946;57.955;36.461;29.050;34.431;83.330
0801905073 Barcelona sección 05073;22.330;51.018;33.221;26.950;30.370;69.386
0801905074 Barcelona sección 05074;24.977;61.392;38.932;32.550;34.891;85.761
0801905075 Barcelona sección 05075;24.982;58.606;37.366;26.950;35.281;82.765
0801905076 Barcelona sección 05076;24.374;58.864;36.541;29.050;33.168;80.103
0801905077 Barcelona sección 05077;23.406;64.508;37.870;29.050;33.701;92.882
0801905078 Barcelona sección 05078;23.769;64.988;37.375;29.750;33.139;90.604
0801905079 Barcelona sección 05079;22.187;56.860;34.223;29.050;29.908;76.647
0801905080 Barcelona sección 05080;20.640;46.787;30.623;26.950;27.387;62.081
0801905081 Barcelona sección 05081;20.809;49.061;31.982;27.650;28.822;67.953
0801905082 Barcelona sección 05082;18.478;42.350;28.792;25.550;25.348;58.094
0801905083 Barcelona sección 05083;22.158;51.974;32.512;24.850;28.809;67.577
0801905084 Barcelona sección 05084;19.897;45.701;29.842;26.950;25.843;59.360
0801905085 Barcelona sección 05085;18.257;42.157;27.191;23.450;23.952;55.305
0801905086 Barcelona sección 05086;20.128;45.028;29.132;25.550;26.116;58.424
0801905087 Barcelona sección 05087;21.044;46.618;31.758;27.650;27.659;61.271
0801905088 Barcelona sección 05088;21.098;53.586;31.635;26.950;27.717;70.397
0801905089 Barcelona sección 05089;23.412;55.901;34.524;26.950;31.018;74.062
0801905090 Barcelona sección 05090;20.077;46.166;30.194;25.550;27.209;62.565
0801905091 Barcelona sección 05091;20.490;48.436;30.608;27.650;26.793;63.338
0801905092 Barcelona sección 05092;32.242;91.933;52.239;31.500;47.029;133.380
0801905093 Barcelona sección 05093;22.960;52.248;34.094;27.650;31.381;71.410
0801905094 Barcelona sección 05094;26.612;68.847;41.000;31.850;36.981;95.671
0801905095 Barcelona sección 05095;19.104;46.050;28.282;24.150;24.740;59.634
0801905096 Barcelona sección 05096;19.015;44.060;27.810;25.550;24.416;56.576
0801905097 Barcelona sección 05097;22.159;54.858;33.869;27.650;30.293;74.994
0801905098 Barcelona sección 05098;19.473;45.872;29.055;25.550;25.024;58.948
0801906 Barcelona distrito 06;17.662;39.723;25.751;22.050;22.484;50.566
0801906001 Barcelona sección 06001;16.810;39.423;25.452;22.050;21.325;50.011
0801906002 Barcelona sección 06002;16.783;36.518;24.231;21.350;21.436;46.642
0801906003 Barcelona sección 06003;16.215;37.362;23.733;19.950;20.481;47.193
0801906004 Barcelona sección 06004;17.826;43.240;26.802;22.400;22.638;54.911
0801906006 Barcelona sección 06006;21.404;52.802;32.689;29.050;28.303;69.823
0801906007 Barcelona sección 06007;18.805;45.561;28.386;24.850;24.522;59.413
0801906008 Barcelona sección 06008;17.160;39.052;25.179;22.050;21.954;49.961
0801906009 Barcelona sección 06009;23.889;61.443;36.655;27.650;32.043;82.416
0801906010 Barcelona sección 06010;19.529;49.102;29.269;24.850;25.157;63.252
0801906011 Barcelona sección 06011;21.281;53.078;31.111;23.450;27.211;67.866
0801906012 Barcelona sección 06012;22.695;58.081;34.640;27.650;30.509;78.078
0801906013 Barcelona sección 06013;16.048;37.777;24.106;20.650;20.927;49.262
0801906014 Barcelona sección 06014;16.123;38.374;23.639;20.650;19.807;47.141
0801906015 Barcelona sección 06015;14.336;33.632;20.838;18.550;17.590;41.263
0801906016 Barcelona sección 06016;13.313;31.090;19.384;17.150;16.143;37.700
0801906017 Barcelona sección 06017;14.132;33.455;21.257;19.250;17.606;41.678
0801906018 Barcelona sección 06018;16.512;37.204;23.894;19.950;20.576;46.359
0801906019 Barcelona sección 06019;16.486;38.440;24.211;21.350;20.637;48.121
0801906020 Barcelona sección 06020;16.938;38.170;24.768;21.350;21.371;48.161
0801906021 Barcelona sección 06021;19.503;46.408;28.838;24.150;25.520;60.726
0801906022 Barcelona sección 06022;17.074;40.797;26.045;22.050;22.309;53.304
0801906023 Barcelona sección 06023;23.460;61.222;35.715;31.850;31.123;81.220
0801906024 Barcelona sección 06024;17.840;41.701;26.113;22.750;22.499;52.591
0801906025 Barcelona sección 06025;18.620;43.807;27.774;25.550;23.579;55.474
0801906026 Barcelona sección 06026;18.188;39.499;26.273;23.450;23.080;50.125
0801906027 Barcelona sección 06027;18.492;43.711;28.912;24.850;24.989;59.070
0801906028 Barcelona sección 06028;16.469;36.507;23.703;19.950;20.568;45.593
0801906029 Barcelona sección 06029;17.256;36.912;24.558;22.050;21.635;46.279
0801906030 Barcelona sección 06030;16.499;34.467;23.371;19.950;20.507;42.842
0801906031 Barcelona sección 06031;17.554;36.063;24.601;22.050;21.957;45.108
0801906032 Barcelona sección 06032;15.954;36.319;23.515;21.350;19.994;45.515
0801906033 Barcelona sección 06033;17.421;36.111;24.528;22.050;21.742;45.069
0801906034 Barcelona sección 06034;17.105;37.321;24.705;22.750;21.395;46.681
0801906035 Barcelona sección 06035;21.674;49.437;31.441;26.950;27.891;63.617
0801906036 Barcelona sección 06036;19.751;44.609;28.863;24.150;25.582;57.779
0801906037 Barcelona sección 06037;17.381;41.516;25.851;22.750;22.009;52.572
0801906038 Barcelona sección 06038;17.939;38.591;25.514;22.750;22.589;48.594
0801906039 Barcelona sección 06039;16.077;33.578;22.993;20.650;20.189;42.167
0801906040 Barcelona sección 06040;18.614;42.316;27.114;24.150;23.810;54.127
0801906041 Barcelona sección 06041;19.015;44.266;28.102;24.850;24.621;57.317
0801906042 Barcelona sección 06042;20.397;46.786;30.424;24.150;27.167;62.315
0801906043 Barcelona sección 06043;19.068;42.488;27.961;24.150;24.348;54.253
0801906044 Barcelona sección 06044;22.251;48.716;32.752;26.250;30.042;65.772
0801906045 Barcelona sección 06045;17.162;35.424;25.211;22.050;22.631;46.713
0801906046 Barcelona sección 06046;15.818;35.041;22.483;19.250;19.843;43.957
0801906047 Barcelona sección 06047;15.522;31.954;22.165;19.250;19.590;40.329
0801906048 Barcelona sección 06048;15.696;34.343;22.703;19.250;20.029;43.821
0801906049 Barcelona sección 06049;16.889;38.322;24.421;21.350;21.481;48.740
0801906050 Barcelona sección 06050;14.713;30.733;20.530;17.850;18.278;38.181
0801906051 Barcelona sección 06051;16.604;35.185;24.030;21.350;20.963;44.424
0801906052 Barcelona sección 06052;15.817;33.252;22.381;19.950;19.710;41.436
0801906053 Barcelona sección 06053;17.241;37.976;25.031;20.650;21.889;48.215
0801906054 Barcelona sección 06054;15.391;33.601;21.996;19.250;19.316;42.171
0801906055 Barcelona sección 06055;16.639;36.110;24.081;20.650;21.056;45.696
0801906056 Barcelona sección 06056;15.395;30.999;21.562;19.250;19.235;38.730
0801906057 Barcelona sección 06057;16.290;31.250;22.101;19.250;20.432;39.196
0801906058 Barcelona sección 06058;16.932;34.440;23.619;19.950;21.603;43.940
0801906059 Barcelona sección 06059;16.732;33.786;23.986;21.350;21.550;43.515
0801906060 Barcelona sección 06060;15.534;34.131;22.351;19.950;19.331;42.474
0801906061 Barcelona sección 06061;16.833;36.677;24.408;21.350;21.481;46.805
0801906062 Barcelona sección 06062;16.129;34.938;23.086;20.650;19.919;43.146
0801906063 Barcelona sección 06063;15.785;33.841;22.625;20.650;19.655;42.137
0801906064 Barcelona sección 06064;17.990;41.073;26.379;23.450;22.836;52.136
0801906065 Barcelona sección 06065;19.061;44.794;28.199;25.550;24.324;57.161
0801906066 Barcelona sección 06066;16.711;34.988;23.684;20.650;20.618;43.168
0801906067 Barcelona sección 06067;17.407;37.277;24.809;21.350;21.804;46.691
0801906068 Barcelona sección 06068;19.053;43.138;28.028;23.450;24.525;55.530
0801906069 Barcelona sección 06069;18.869;41.473;27.364;24.150;24.152;53.084
0801906070 Barcelona sección 06070;16.896;36.807;24.185;20.650;21.420;46.665
0801906071 Barcelona sección 06071;17.287;41.714;25.120;22.750;21.963;52.999
0801906072 Barcelona sección 06072;18.941;43.689;27.917;25.550;24.643;56.840
0801906073 Barcelona sección 06073;17.874;39.146;25.447;22.750;22.492;49.260
0801906074 Barcelona sección 06074;16.445;39.563;23.998;22.050;20.504;49.327
0801906075 Barcelona sección 06075;19.251;47.573;28.445;26.250;24.366;60.211
0801906076 Barcelona sección 06076;18.594;44.769;27.275;24.150;23.429;56.411
0801906077 Barcelona sección 06077;16.843;36.540;23.639;19.950;21.023;45.608
0801906078 Barcelona sección 06078;15.827;34.248;22.784;19.950;19.669;42.561
0801906079 Barcelona sección 06079;17.952;38.783;25.599;23.450;22.202;47.963
0801906080 Barcelona sección 06080;16.994;39.026;24.748;22.750;21.132;48.529
0801906081 Barcelona sección 06081;17.026;37.807;24.948;22.750;21.822;48.456
0801906082 Barcelona sección 06082;18.158;44.054;27.011;24.150;23.221;56.338
0801906083 Barcelona sección 06083;19.577;44.735;28.304;24.150;24.896;56.892
0801906084 Barcelona sección 06084;17.293;37.895;24.807;22.750;21.677;47.501
0801906085 Barcelona sección 06085;18.238;41.404;26.387;24.150;23.083;52.405
0801906086 Barcelona sección 06086;22.082;51.420;31.936;27.650;28.436;66.216
0801906087 Barcelona sección 06087;21.462;48.823;30.817;27.650;27.238;61.964
0801906088 Barcelona sección 06088;18.097;42.559;26.648;24.150;22.725;53.443
0801907 Barcelona distrito 07;14.479;34.430;21.185;18.550;17.659;41.990
0801907001 Barcelona sección 07001;17.854;41.298;25.880;23.450;22.470;51.976
0801907002 Barcelona sección 07002;15.412;30.107;21.137;18.550;18.973;37.064
0801907003 Barcelona sección 07003;16.114;39.297;23.894;22.050;20.275;49.443
0801907004 Barcelona sección 07004;15.352;35.411;21.931;19.950;18.757;43.266
0801907005 Barcelona sección 07005;15.309;33.758;21.862;19.250;18.881;41.634
0801907006 Barcelona sección 07006;17.371;41.717;25.201;23.450;21.548;51.749
0801907007 Barcelona sección 07007;14.886;34.285;21.571;19.250;18.150;41.802
0801907008 Barcelona sección 07008;16.686;42.539;24.700;22.750;20.612;52.547
0801907009 Barcelona sección 07009;15.202;33.427;21.442;20.650;18.408;40.476
0801907010 Barcelona sección 07010;16.178;38.748;23.818;22.050;20.371;48.791
0801907011 Barcelona sección 07011;15.971;33.845;22.714;19.950;19.718;41.786
0801907012 Barcelona sección 07012;14.541;32.287;20.686;19.250;17.747;39.407
0801907013 Barcelona sección 07013;17.033;41.966;25.009;24.150;21.024;51.800
0801907014 Barcelona sección 07014;13.427;30.055;19.191;17.150;16.410;36.734
0801907015 Barcelona sección 07015;15.426;37.352;22.463;19.250;19.093;46.231
0801907016 Barcelona sección 07016;16.852;42.838;25.217;23.450;20.981;53.335
0801907017 Barcelona sección 07017;15.457;35.680;22.749;20.650;19.056;43.988
0801907018 Barcelona sección 07018;16.036;39.258;23.774;20.650;19.891;48.698
0801907019 Barcelona sección 07019;16.163;38.241;23.679;19.950;19.968;47.243
0801907020 Barcelona sección 07020;15.093;35.492;22.110;19.250;18.808;44.227
0801907021 Barcelona sección 07021;18.277;45.649;27.028;23.450;22.855;57.081
0801907022 Barcelona sección 07022;14.227;36.010;21.051;17.850;17.231;43.615
0801907023 Barcelona sección 07023;12.151;27.743;17.721;16.450;14.430;32.947
0801907024 Barcelona sección 07024;14.405;31.545;20.549;18.550;17.618;38.579
0801907025 Barcelona sección 07025;13.806;31.965;19.948;17.850;16.578;38.383
0801907026 Barcelona sección 07026;14.236;32.894;20.839;18.550;17.272;39.910
0801907027 Barcelona sección 07027;13.906;34.714;20.480;17.850;16.915;42.227
0801907028 Barcelona sección 07028;14.448;34.628;21.303;17.850;17.989;43.113
0801907029 Barcelona sección 07029;16.243;37.732;23.450;19.950;20.212;46.953
0801907030 Barcelona sección 07030;13.574;32.209;19.826;17.150;16.350;38.798
0801907031 Barcelona sección 07031;13.220;31.877;19.289;17.150;16.063;38.731
0801907032 Barcelona sección 07032;15.307;35.931;22.373;19.950;18.741;43.991
0801907033 Barcelona sección 07033;15.698;38.320;23.052;21.350;19.344;47.218
0801907034 Barcelona sección 07034;16.573;41.421;25.273;22.050;21.030;52.560
0801907035 Barcelona sección 07035;17.281;42.471;25.534;22.750;21.587;53.056
0801907036 Barcelona sección 07036;18.137;41.643;26.194;23.450;22.329;51.267
