location_raw;Renta neta media por persona ;Renta neta media por hogar;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar
1500101 Abegondo distrito 01;11.840;30.871;17.797;16.450;13.844;36.099
1500101001 Abegondo sección 01001;11.868;30.338;17.670;16.450;13.921;35.584
1500101002 Abegondo sección 01002;11.804;31.565;17.956;15.750;13.750;36.769
1500102 Abegondo distrito 02;11.018;27.917;16.567;15.050;12.533;31.756
1500102001 Abegondo sección 02001;11.146;28.170;16.854;15.050;12.765;32.262
1500102002 Abegondo sección 02002;10.889;27.662;16.281;15.750;12.299;31.245
1500103 Abegondo distrito 03;11.786;31.205;17.779;16.450;13.892;36.779
1500103001 Abegondo sección 03001;11.575;30.003;17.473;16.450;13.456;34.879
1500103002 Abegondo sección 03002;12.110;33.146;18.246;16.450;14.559;39.849
42001 Abejar;12.693;29.451;18.496;17.150;14.710;34.131
4200101 Abejar distrito 01;12.693;29.451;18.496;17.150;14.710;34.131
4200101001 Abejar sección 01001;12.693;29.451;18.496;17.150;14.710;34.131
44002 Abejuela;.;.;.;.;.;.
4400201 Abejuela distrito 01;.;.;.;.;.;.
4400201001 Abejuela sección 01001;.;.;.;.;.;.
25001 Abella de la Conca;10.078;29.407;15.826;17.150;11.574;33.774
2500101 Abella de la Conca distrito 01;10.078;29.407;15.826;17.150;11.574;33.774
2500101001 Abella de la Conca sección 01001;10.078;29.407;15.826;17.150;11.574;33.774
02001 Abengibre;10.854;26.622;16.055;15.050;12.424;30.472
0200101 Abengibre distrito 01;10.854;26.622;16.055;15.050;12.424;30.472
0200101001 Abengibre sección 01001;10.854;26.622;16.055;15.050;12.424;30.472
13001 Abenójar;8.970;22.002;13.227;12.250;9.963;24.436
1300101 Abenójar distrito 01;8.970;22.002;13.227;12.250;9.963;24.436
1300101001 Abenójar sección 01001;8.833;22.004;13.081;11.550;9.841;24.514
1300101002 Abenójar sección 01002;9.110;22.000;13.375;12.950;10.087;24.360
31005 Aberin;.;.;;;;
3100501 Aberin distrito 01;.;.;;;;
3100501001 Aberin sección 01001;.;.;;;;
10002 Abertura;8.998;17.775;12.103;10.850;9.805;19.368
1000201 Abertura distrito 01;8.998;17.775;12.103;10.850;9.805;19.368
