location_raw;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población
30005 Alcantarilla;39,2;21,2;14,1;2,83;22,5;41.600
3000501 Alcantarilla distrito 01;39,2;21,2;14,1;2,83;22,5;41.600
3000501001 Alcantarilla sección 01001;42,1;17,5;18,7;2,74;25,2;1.739
3000501002 Alcantarilla sección 01002;42;17,3;18,5;2,66;27,8;1.802
3000501003 Alcantarilla sección 01003;42,7;18;20,8;2,61;27,4;1.354
3000501004 Alcantarilla sección 01004;35,3;25,2;7,3;3,16;17,4;1.238
3000501005 Alcantarilla sección 01005;40,7;19,4;17,9;2,73;24,9;1.236
3000501006 Alcantarilla sección 01006;40,8;19,5;15,4;2,87;21,5;1.387
3000501007 Alcantarilla sección 01007;34,2;27;7,6;2,75;26,7;2.187
3000501008 Alcantarilla sección 01008;43,8;16,4;23;2,59;26,7;1.864
3000501009 Alcantarilla sección 01009;37,3;22,3;11,2;2,8;22;2.493
3000501010 Alcantarilla sección 01010;38,5;24,2;12,1;2,91;18,8;2.104
3000501011 Alcantarilla sección 01011;42,1;19;19,9;2,65;25,6;1.781
3000501012 Alcantarilla sección 01012;38,7;19,9;11,9;2,88;20,6;1.527
3000501013 Alcantarilla sección 01013;35,6;24,2;10,9;2,97;23,6;2.175
3000501014 Alcantarilla sección 01014;39,5;19,7;13,2;2,95;18,4;1.298
3000501015 Alcantarilla sección 01015;43;18,2;21,1;2,66;26,7;1.315
3000501016 Alcantarilla sección 01016;37,6;23,2;9,8;2,98;17,8;2.094
3000501017 Alcantarilla sección 01017;37,1;23,7;11,9;2,83;21,8;1.658
3000501018 Alcantarilla sección 01018;39,3;21,3;14,6;2,97;16,6;1.270
3000501019 Alcantarilla sección 01019;42,4;16,4;16,3;2,79;22,7;1.450
3000501020 Alcantarilla sección 01020;39,7;20,9;14,9;2,77;25,4;961
3000501021 Alcantarilla sección 01021;38;23,1;12,6;2,86;22,7;1.853
3000501022 Alcantarilla sección 01022;37,3;23,4;10,8;2,95;18,7;1.882
3000501023 Alcantarilla sección 01023;44,2;16,3;21,4;2,74;23,1;1.010
3000501024 Alcantarilla sección 01024;42,3;16,6;17,5;2,87;20,3;1.002
3000501025 Alcantarilla sección 01025;35,9;26,8;10,1;2,96;20,5;1.748
3000501026 Alcantarilla sección 01026;36,3;22,3;6,8;3,15;15,9;1.172
46016 Alcàntera de Xúquer;44,8;16,3;22,2;2,42;29,6;1.300
4601601 Alcàntera de Xúquer distrito 01;44,8;16,3;22,2;2,42;29,6;1.300
4601601001 Alcàntera de Xúquer sección 01001;44,8;16,3;22,2;2,42;29,6;1.300
16009 Alcantud;.;.;.;.;.;.
1600901 Alcantud distrito 01;.;.;.;.;.;.
1600901001 Alcantud sección 01001;.;.;.;.;.;.
49003 Alcañices;50,3;10,1;31,7;2,3;39,2;1.025
4900301 Alcañices distrito 01;50,3;10,1;31,7;2,3;39,2;1.025
4900301001 Alcañices sección 01001;50,3;10,1;31,7;2,3;39,2;1.025
44013 Alcañiz;41,8;20,2;18,6;2,6;25,7;15.655
4401301 Alcañiz distrito 01;43,6;18,1;19,9;2,47;28,8;960
4401301001 Alcañiz sección 01001;43,6;18,1;19,9;2,47;28,8;960
4401302 Alcañiz distrito 02;43,1;19,6;22,4;2,67;24,8;821
4401302001 Alcañiz sección 02001;43,1;19,6;22,4;2,67;24,8;821
4401303 Alcañiz distrito 03;41,3;21,5;18,6;2,59;26;7.665
4401303001 Alcañiz sección 03001;44,5;18,4;24,8;2,32;36,2;816
4401303002 Alcañiz sección 03002;40,1;23;17,5;2,57;27,3;1.853
4401303003 Alcañiz sección 03003;43,8;17,4;21,1;2,44;33;826
4401303004 Alcañiz sección 03004;41,8;20,7;18,9;2,71;21,6;2.242
4401303005 Alcañiz sección 03005;39,4;23,9;15,7;2,7;21,3;1.928
4401304 Alcañiz distrito 04;43,1;19,4;20,6;2,5;28,5;2.706
4401304001 Alcañiz sección 04001;48,4;13,1;28;2,31;34,5;751
4401304002 Alcañiz sección 04002;41,1;21,8;17,7;2,58;26;1.955
4401305 Alcañiz distrito 05;41,2;19;15,8;2,72;22,2;3.503
4401305001 Alcañiz sección 05001;42,7;16,9;18,5;2,73;22,2;1.557
4401305002 Alcañiz sección 05002;40,1;20,6;13,7;2,72;22,2;1.946
45005 Alcañizo;52,7;10,6;33,9;2,11;37,7;274
4500501 Alcañizo distrito 01;52,7;10,6;33,9;2,11;37,7;274
4500501001 Alcañizo sección 01001;52,7;10,6;33,9;2,11;37,7;274
14003 Alcaracejos;45,2;15,9;24,4;2,37;29,2;1.395
1400301 Alcaracejos distrito 01;45,2;15,9;24,4;2,37;29,2;1.395
1400301001 Alcaracejos sección 01001;45,2;15,9;24,4;2,37;29,2;1.395
02008 Alcaraz;46,1;15;23,2;2,35;39,2;1.331
0200801 Alcaraz distrito 01;46,1;15;23,2;2,35;39,2;1.331
0200801001 Alcaraz sección 01001;46,1;15;23,2;2,35;39,2;1.331
0200801002 Alcaraz sección 01002;;;;;;
25011 Alcarràs;38;21,3;12;2,65;24,8;9.474
2501101 Alcarràs distrito 01;38;21,3;12;2,65;24,8;9.474
2501101001 Alcarràs sección 01001;39,2;20,2;14,2;2,62;24,8;2.720
2501101002 Alcarràs sección 01002;36,9;22;10,6;2,6;27;2.661
2501101003 Alcarràs sección 01003;36;24,5;8,8;2,77;23,3;1.783
2501101004 Alcarràs sección 01004;39,6;19,4;13,5;2,66;23,2;2.310
46015 Alcàsser;40,5;19,7;15,4;2,4;30,8;9.972
4601501 Alcàsser distrito 01;40,5;19,7;15,4;2,4;30,8;9.972
4601501001 Alcàsser sección 01001;47,3;15,1;27;2,27;32,7;1.238
4601501002 Alcàsser sección 01002;43,4;15,6;18,1;2,18;34,8;1.073
4601501003 Alcàsser sección 01003;38,7;21,2;10,9;2,48;28,9;1.544
4601501004 Alcàsser sección 01004;39,9;21,2;14,7;2,45;28,1;1.969
4601501005 Alcàsser sección 01005;37,5;22,3;11,6;2,49;29,2;1.956
4601501006 Alcàsser sección 01006;39,7;19,6;14,6;2,4;32,7;2.192
29002 Alcaucín;49,4;13,7;33,3;2,2;33,1;2.218
2900201 Alcaucín distrito 01;49,4;13,7;33,3;2,2;33,1;2.218
2900201001 Alcaucín sección 01001;49,4;13,7;33,3;2,2;33,1;2.218
23003 Alcaudete;44,3;15,9;22,1;2,43;28,1;10.450
2300301 Alcaudete distrito 01;43,6;16,6;21,1;2,47;27,8;8.581
2300301001 Alcaudete sección 01001;46,7;12,8;25,5;2,26;31,4;619
2300301002 Alcaudete sección 01002;41;19,7;18,4;2,48;34,3;949
2300301003 Alcaudete sección 01003;46,4;13,5;26,5;2,28;30,3;898
2300301004 Alcaudete sección 01004;44,5;16,2;23,2;2,36;32,6;1.141
2300301005 Alcaudete sección 01005;42,5;16,5;19,4;2,55;25,6;1.616
2300301006 Alcaudete sección 01006;44,7;15,3;21,1;2,47;25,7;1.171
2300301007 Alcaudete sección 01007;42,3;18,6;18,9;2,64;22,6;2.187
2300302 Alcaudete distrito 02;49,9;10,3;29,9;2,11;36;803
2300302001 Alcaudete sección 02001;49,9;10,3;29,9;2,11;36;803
2300303 Alcaudete distrito 03;45,6;14,3;23,9;2,42;23,9;1.066
2300303001 Alcaudete sección 03001;45,6;14,3;23,9;2,42;23,9;1.066
45006 Alcaudete de la Jara;47,1;15,4;26,8;2,32;35,6;1.633
4500601 Alcaudete de la Jara distrito 01;47,5;14,3;25,9;2,3;37,1;818
4500601001 Alcaudete de la Jara sección 01001;47,5;14,3;25,9;2,3;37,1;818
4500602 Alcaudete de la Jara distrito 02;46,8;16,6;27,6;2,35;34;815
4500602001 Alcaudete de la Jara sección 02001;46,8;16,6;27,6;2,35;34;815
13005 Alcázar de San Juan;41,8;18,8;17,5;2,61;27,4;30.324
1300501 Alcázar de San Juan distrito 01;40,7;21,2;16,6;2,78;20,9;10.909
1300501001 Alcázar de San Juan sección 01001;38,9;23,8;13,3;2,91;18,8;2.471
1300501002 Alcázar de San Juan sección 01002;49,9;11,8;33,1;2,47;27,4;1.185
1300501003 Alcázar de San Juan sección 01003;48,2;13,6;31,2;2,44;32,3;648
1300501004 Alcázar de San Juan sección 01004;37,6;23,7;12,2;2,78;21,7;2.226
1300501005 Alcázar de San Juan sección 01005;40,1;20,9;13,5;2,87;17;2.075
1300501006 Alcázar de San Juan sección 01006;46,4;15,5;27,9;2,53;25,9;735
1300501007 Alcázar de San Juan sección 01007;35,9;27;8;3,04;14,2;1.569
1300502 Alcázar de San Juan distrito 02;42,6;17,7;18,1;2,57;28,8;5.370
1300502001 Alcázar de San Juan sección 02001;46,2;15,5;25;2,37;33,3;924
1300502002 Alcázar de San Juan sección 02002;41,7;18,3;15,1;2,61;27,2;1.907
1300502003 Alcázar de San Juan sección 02003;43,4;16,8;20,7;2,48;31,1;1.310
1300502004 Alcázar de San Juan sección 02004;40,4;19,3;14,8;2,79;24,9;1.229
1300503 Alcázar de San Juan distrito 03;42,2;18,7;18,7;2,48;33;5.181
1300503001 Alcázar de San Juan sección 03001;48,6;14,7;31,2;2,3;36,5;836
1300503002 Alcázar de San Juan sección 03002;38,8;22;13,1;2,51;34,5;802
1300503003 Alcázar de San Juan sección 03003;45,9;13,7;23;2,54;27,9;1.184
1300503004 Alcázar de San Juan sección 03004;48,9;13,9;29,2;2,49;31,9;626
1300503005 Alcázar de San Juan sección 03005;35,7;24,2;8,7;2,51;34,2;1.733
1300504 Alcázar de San Juan distrito 04;42,6;16,7;17,6;2,49;30,8;8.072
1300504001 Alcázar de San Juan sección 04001;45,1;14;22;2,13;41;1.256
1300504002 Alcázar de San Juan sección 04002;45;12;19,7;2,68;22,9;1.513
1300504003 Alcázar de San Juan sección 04003;45,8;14,1;25;2,49;27,4;1.182
1300504004 Alcázar de San Juan sección 04004;47,5;11,4;24,9;2,31;33,9;1.392
1300504005 Alcázar de San Juan sección 04005;35,5;25,6;5,7;2,41;35,2;1.397
1300504006 Alcázar de San Juan sección 04006;36,7;22,9;9,2;3,11;20,3;1.332
1300505 Alcázar de San Juan distrito 05;42,3;16,8;18,1;2,76;26,5;792
1300505001 Alcázar de San Juan sección 05001;42,3;16,8;18,1;2,76;26,5;792
16010 Alcázar del Rey;51,5;9,9;34,2;2,33;31,9;161
1601001 Alcázar del Rey distrito 01;51,5;9,9;34,2;2,33;31,9;161
1601001001 Alcázar del Rey sección 01001;51,5;9,9;34,2;2,33;31,9;161
47005 Alcazarén;48,5;13;28;2,23;34,8;610
4700501 Alcazarén distrito 01;48,5;13;28;2,23;34,8;610
4700501001 Alcazarén sección 01001;48,5;13;28;2,23;34,8;610
30902 Alcázares, Los;39,5;21,4;15,7;2,59;32,4;16.007
3090201 Alcázares, Los distrito 01;39,5;21,4;15,7;2,59;32,4;16.007
3090201001 Alcázares, Los sección 01001;37,1;24,4;11;2,91;21;1.567
3090201002 Alcázares, Los sección 01002;38,3;22,7;14,2;2,88;25,8;1.715
3090201003 Alcázares, Los sección 01003;37,9;19;11,2;2,34;41,2;1.514
3090201004 Alcázares, Los sección 01004;39,5;22,2;16,4;2,66;31,8;2.051
3090201005 Alcázares, Los sección 01005;41,6;19,4;19,3;2,26;38,9;1.525
3090201006 Alcázares, Los sección 01006;37,1;22,8;11;2,86;26,8;1.946
3090201007 Alcázares, Los sección 01007;38,1;22,2;12,7;2,94;27;1.642
3090201008 Alcázares, Los sección 01008;39;20,8;14,5;2,56;32,9;1.569
3090201009 Alcázares, Los sección 01009;44,3;19,2;26;2,27;38,6;2.478
13006 Alcoba;50,1;8,5;28,7;2,17;35,9;610
1300601 Alcoba distrito 01;50,1;8,5;28,7;2,17;35,9;610
1300601001 Alcoba sección 01001;50,1;8,5;28,7;2,17;35,9;610
28006 Alcobendas;40,2;20;16,2;3,01;19;114.732
2800601 Alcobendas distrito 01;40,2;20;16,2;3,01;19;114.732
2800601001 Alcobendas sección 01001;41,9;16,6;19,4;2,78;24,6;1.739
2800601002 Alcobendas sección 01002;39,5;17,5;14,7;3,18;20,2;2.564
2800601003 Alcobendas sección 01003;40,7;14,8;15,7;3;23;1.852
2800601004 Alcobendas sección 01004;40,8;15,2;15,4;2,97;22,1;2.592
2800601005 Alcobendas sección 01005;40,9;15,4;17,1;2,94;25;905
2800601006 Alcobendas sección 01006;42,1;15,4;18,5;2,71;27,6;1.472
2800601007 Alcobendas sección 01007;44,4;15,9;25,9;3,06;20,2;1.759
2800601008 Alcobendas sección 01008;42,4;17,3;20,5;3,07;19,4;1.852
2800601009 Alcobendas sección 01009;41,4;16;18,1;2,86;23,7;2.581
2800601011 Alcobendas sección 01011;41;18;18,5;3,08;20,8;843
2800601012 Alcobendas sección 01012;45,5;14,8;29,1;2,87;23;1.097
2800601013 Alcobendas sección 01013;46;16;29;2,8;20,4;1.680
2800601014 Alcobendas sección 01014;43,1;15,7;22,5;3;19,3;1.715
2800601015 Alcobendas sección 01015;43,1;16,3;22,6;2,84;21,2;1.800
2800601016 Alcobendas sección 01016;42,3;15,3;19,4;2,82;27,8;1.584
2800601017 Alcobendas sección 01017;43;16,9;23,6;3,03;22,6;1.165
2800601018 Alcobendas sección 01018;42,3;16,8;20;2,79;26,4;1.857
2800601019 Alcobendas sección 01019;44;14,6;21,2;2,85;21,3;721
2800601020 Alcobendas sección 01020;43,8;15,1;22,6;2,83;23,5;965
2800601021 Alcobendas sección 01021;45,3;13,3;24,2;2,87;18,9;1.608
2800601022 Alcobendas sección 01022;47,2;11,9;29,1;2,67;25;1.551
2800601023 Alcobendas sección 01023;46,6;12;25,3;2,83;17,5;1.997
2800601024 Alcobendas sección 01024;46,3;13,7;29,2;2,86;21,7;1.202
2800601025 Alcobendas sección 01025;47,1;12,7;29,8;2,75;22;1.664
2800601026 Alcobendas sección 01026;44,6;16,8;26,6;2,9;16,5;1.105
2800601027 Alcobendas sección 01027;44;15,5;23,9;2,93;17,5;2.345
2800601028 Alcobendas sección 01028;46,4;13,8;26,9;2,94;12,7;1.650
2800601029 Alcobendas sección 01029;46;14,8;30;2,82;18,2;1.322
2800601030 Alcobendas sección 01030;46,3;13,9;26,8;2,91;15,7;2.116
2800601031 Alcobendas sección 01031;45,9;13,1;26,1;2,95;14;1.622
2800601032 Alcobendas sección 01032;44;13,4;19,4;2,69;21,7;2.125
2800601033 Alcobendas sección 01033;38,1;26,2;15,2;3,44;9,9;2.214
2800601034 Alcobendas sección 01034;38,9;25,7;16,1;3,41;16,4;1.432
2800601035 Alcobendas sección 01035;41,2;21,6;19,1;3,44;16,5;878
2800601036 Alcobendas sección 01036;41;21;18,5;3,44;9,6;1.977
2800601037 Alcobendas sección 01037;35,9;27,4;9,3;2,93;22,6;1.414
2800601038 Alcobendas sección 01038;41,4;16,5;14,9;3,07;16,4;1.585
2800601039 Alcobendas sección 01039;37,9;25,8;15;3,44;9,7;2.767
2800601040 Alcobendas sección 01040;40,6;21,6;18,9;3,44;9;1.913
2800601041 Alcobendas sección 01041;36,4;28,7;11;3,39;15,4;2.291
2800601042 Alcobendas sección 01042;42,6;15,9;20,5;3,08;19,1;1.437
2800601043 Alcobendas sección 01043;42;15,3;19;2,87;23,4;1.167
2800601044 Alcobendas sección 01044;41,8;16,5;15,1;2,97;15,4;1.771
2800601045 Alcobendas sección 01045;41,9;17,5;17,3;3,06;16,2;1.682
2800601046 Alcobendas sección 01046;43,9;13,3;22,1;3,26;11,1;880
2800601047 Alcobendas sección 01047;43,1;17,2;22,3;3,21;12,1;1.034
2800601048 Alcobendas sección 01048;41,3;23;20,8;3,28;17,7;2.150
2800601049 Alcobendas sección 01049;41,9;13,8;13,3;3,07;12,9;1.763
2800601050 Alcobendas sección 01050;38,8;19,2;7,8;3,3;8,8;1.757
2800601051 Alcobendas sección 01051;37,4;21,5;6,2;3,31;8,1;2.290
2800601052 Alcobendas sección 01052;40,3;16,2;9,8;3,38;7,7;1.322
2800601053 Alcobendas sección 01053;40;20,4;12,7;3,3;9,4;2.226
2800601054 Alcobendas sección 01054;33,4;28,9;4,7;2,81;23,3;2.132
2800601055 Alcobendas sección 01055;32,8;32,2;4;3,12;17,6;2.287
2800601056 Alcobendas sección 01056;34,9;28,7;6,7;2,8;21,2;1.873
2800601057 Alcobendas sección 01057;36,9;27;8,9;2,98;15,4;1.858
2800601058 Alcobendas sección 01058;38,9;16,2;6,4;3,06;13;1.433
2800601059 Alcobendas sección 01059;33,3;34,1;6,2;3,44;12,8;3.214
2800601060 Alcobendas sección 01060;38,9;18,3;13,3;2,37;36,9;1.054
2800601061 Alcobendas sección 01061;32,7;29;3,2;3,11;14,9;1.085
2800601062 Alcobendas sección 01062;28,9;30,6;1,9;2,54;32,2;1.856
2800601063 Alcobendas sección 01063;32;29,7;3,7;2,72;24,9;2.099
2800601064 Alcobendas sección 01064;30,3;28,3;3;2,54;30,8;2.069
2800601065 Alcobendas sección 01065;39,9;16,4;8,1;3,03;15,1;1.404
2800601066 Alcobendas sección 01066;35,9;23,9;7,4;2,44;30,3;2.477
2800601067 Alcobendas sección 01067;36,6;27,9;10,1;3,44;10,1;1.271
2800601068 Alcobendas sección 01068;33,9;31,9;7,8;3,29;12,6;1.620
19009 Alcocer;55,2;8,1;37,5;1,9;47,6;296
1900901 Alcocer distrito 01;55,2;8,1;37,5;1,9;48,2;296
1900901001 Alcocer sección 01001;55,2;8,1;37,5;1,9;50,6;296
03007 Alcocer de Planes;47,6;12,2;27;2,25;33,3;230
0300701 Alcocer de Planes distrito 01;47,6;12,2;27;2,25;33,3;230
0300701001 Alcocer de Planes sección 01001;47,6;12,2;27;2,25;33,3;230
09010 Alcocero de Mola;.;.;.;.;.;.
0901001 Alcocero de Mola distrito 01;.;.;.;.;.;.
0901001001 Alcocero de Mola sección 01001;.;.;.;.;.;.
16011 Alcohujate;.;.;.;.;.;.
1601101 Alcohujate distrito 01;.;.;.;.;.;.
1601101001 Alcohujate sección 01001;.;.;.;.;.;.
04007 Alcolea;47,6;11,1;23,2;1,94;47,6;827
0400701 Alcolea distrito 01;47,6;11,1;23,2;1,94;48,2;827
0400701001 Alcolea sección 01001;47,6;11,1;23,2;1,94;48,8;827
13007 Alcolea de Calatrava;47,8;12;26,3;2,43;31,3;1.412
1300701 Alcolea de Calatrava distrito 01;47,8;12;26,3;2,43;31,3;1.412
1300701001 Alcolea de Calatrava sección 01001;45,2;14;20,1;2,48;31,2;802
1300701002 Alcolea de Calatrava sección 01002;51,2;9,3;34,4;2,36;31,4;610
22017 Alcolea de Cinca;46,9;14,2;25,9;2,64;25,1;1.051
2201701 Alcolea de Cinca distrito 01;46,9;14,2;25,9;2,64;25,1;1.051
2201701001 Alcolea de Cinca sección 01001;46,9;14,2;25,9;2,64;25,1;1.051
19010 Alcolea de las Peñas;.;.;.;.;.;.
1901001 Alcolea de las Peñas distrito 01;.;.;.;.;.;.
1901001001 Alcolea de las Peñas sección 01001;.;.;.;.;.;.
45007 Alcolea de Tajo;46,6;14,7;25,1;2,38;34,4;810
4500701 Alcolea de Tajo distrito 01;46,6;14,7;25,1;2,38;34,4;810
4500701001 Alcolea de Tajo sección 01001;46,6;14,7;25,1;2,38;34,4;810
19011 Alcolea del Pinar;51,9;10,9;36,9;2,37;34,8;320
1901101 Alcolea del Pinar distrito 01;51,9;10,9;36,9;2,37;34,8;320
1901101001 Alcolea del Pinar sección 01001;51,9;10,9;36,9;2,37;34,8;320
41006 Alcolea del Río;41,1;19;17,8;2,75;21,3;3.371
4100601 Alcolea del Río distrito 01;41,3;18,7;16,5;2,79;20,7;1.554
4100601001 Alcolea del Río sección 01001;41,3;18,7;16,5;2,79;20,7;1.554
4100602 Alcolea del Río distrito 02;40,9;19,4;18,8;2,71;21,8;1.817
4100602001 Alcolea del Río sección 02001;37,7;22,5;13,3;2,85;18,7;1.097
4100602002 Alcolea del Río sección 02002;45,7;14,6;27,2;2,52;25,9;720
03008 Alcoleja;55,3;8;39,2;2,02;44,8;176
0300801 Alcoleja distrito 01;55,3;8;39,2;2,02;44,8;176
0300801001 Alcoleja sección 01001;55,3;8;39,2;2,02;44,8;176
25012 Alcoletge;38,9;21;13,2;2,73;22,5;3.294
2501201 Alcoletge distrito 01;38,9;21;13,2;2,73;22,5;3.294
2501201001 Alcoletge sección 01001;40,9;19,7;15,6;2,81;20,3;1.911
2501201002 Alcoletge sección 01002;36,2;22,9;9,9;2,62;25,2;1.383
10009 Alcollarín;52,6;9,2;35,5;2,1;40;273
1000901 Alcollarín distrito 01;52,6;9,2;35,5;2,1;40;273
1000901001 Alcollarín sección 01001;52,6;9,2;35,5;2,1;40;273
42006 Alconaba;49,1;10,2;29,9;2,39;43,2;177
4200601 Alconaba distrito 01;49,1;10,2;29,9;2,39;43,2;177
4200601001 Alconaba sección 01001;49,1;10,2;29,9;2,39;43,2;177
37012 Alconada;55,8;3,5;40,9;2,29;33,9;149
3701201 Alconada distrito 01;55,8;3,5;40,9;2,29;33,9;149
3701201001 Alconada sección 01001;55,8;3,5;40,9;2,29;33,9;149
40005 Alconada de Maderuelo;.;.;.;.;.;.
4000501 Alconada de Maderuelo distrito 01;.;.;.;.;.;.
4000501001 Alconada de Maderuelo sección 01001;.;.;.;.;.;.
06007 Alconchel;45,2;14,3;22,5;2,3;32,4;1.682
0600701 Alconchel distrito 01;45,2;14,3;22,5;2,3;32,4;1.682
0600701001 Alconchel sección 01001;47,3;12,4;24,5;2,33;30,3;661
0600701002 Alconchel sección 01002;43,9;15,6;21,2;2,28;33,8;1.021
50015 Alconchel de Ariza;.;.;.;.;.;.
5001501 Alconchel de Ariza distrito 01;.;.;.;.;.;.
5001501001 Alconchel de Ariza sección 01001;.;.;.;.;.;.
16012 Alconchel de la Estrella;.;.;.;.;.;.
1601201 Alconchel de la Estrella distrito 01;.;.;.;.;.;.
1601201001 Alconchel de la Estrella sección 01001;.;.;.;.;.;.
06008 Alconera;44,6;16,9;22,2;2,34;32,7;744
0600801 Alconera distrito 01;44,6;16,9;22,2;2,34;32,7;744
0600801001 Alconera sección 01001;44,6;16,9;22,2;2,34;32,7;744
04008 Alcóntar;51,2;8,9;33,1;2,22;45,3;516
0400801 Alcóntar distrito 01;51,2;8,9;33,1;2,22;45,3;516
0400801001 Alcóntar sección 01001;51,2;8,9;33,1;2,22;45,3;516
12005 Alcora, l';43,1;17,5;18,9;2,42;29,1;10.359
1200501 Alcora, l' distrito 01;47,5;13,7;27;2,3;32;4.054
1200501001 Alcora, l' sección 01001;51;11,4;32,3;2,16;36,8;657
1200501002 Alcora, l' sección 01002;49,8;14,9;31,8;2,27;32,6;975
1200501003 Alcora, l' sección 01003;50,8;12,4;35,6;2,25;34,2;744
1200501004 Alcora, l' sección 01004;43,4;14,4;18,2;2,4;28,4;1.678
1200502 Alcora, l' distrito 02;40,2;20;13,7;2,5;27;6.305
1200502001 Alcora, l' sección 02001;39,5;21,9;14,3;2,56;24,8;1.577
1200502002 Alcora, l' sección 02002;43,8;15,4;17,9;2,38;30,9;1.829
1200502003 Alcora, l' sección 02003;40,7;19,5;13,5;2,56;25,3;1.658
1200502004 Alcora, l' sección 02004;34,9;25,1;7,1;2,53;25,9;1.241
28007 Alcorcón;43,4;18,1;22,3;2,64;23,5;168.774
2800701 Alcorcón distrito 01;40,4;20,6;16,4;2,72;25;30.716
2800701001 Alcorcón sección 01001;46,4;12,8;24,8;2,48;27,7;1.252
2800701002 Alcorcón sección 01002;43,1;15,9;20,8;2,75;25,8;1.865
2800701003 Alcorcón sección 01003;48,1;13;31,7;2,57;25,8;1.385
2800701004 Alcorcón sección 01004;43,8;14,5;21,3;2,55;29,1;1.402
2800701005 Alcorcón sección 01005;46,4;14,2;27,8;2,53;27,5;1.586
2800701006 Alcorcón sección 01006;43,4;14,6;21,4;2,56;28,5;906
2800701007 Alcorcón sección 01007;43,2;17,4;20,8;2,67;26,7;1.469
2800701008 Alcorcón sección 01008;45;15,5;25,1;2,6;26,6;1.956
2800701010 Alcorcón sección 01010;44,2;14,7;22,3;2,59;29,4;1.505
2800701011 Alcorcón sección 01011;45,5;14;25,6;2,68;22,1;1.490
2800701012 Alcorcón sección 01012;42,8;15,5;18,9;2,61;29,9;1.405
2800701013 Alcorcón sección 01013;43,7;15,3;21,9;2,58;29,1;1.135
2800701014 Alcorcón sección 01014;43,7;14,7;20,2;2,68;30,8;931
2800701015 Alcorcón sección 01015;41,5;19;19;2,9;22,2;1.124
2800701016 Alcorcón sección 01016;36;25,2;7,3;2,99;16,3;3.002
2800701017 Alcorcón sección 01017;33,6;32,9;4,6;3,04;17,3;2.101
2800701018 Alcorcón sección 01018;33;28,5;5,2;2,49;32,2;1.578
2800701019 Alcorcón sección 01019;34;27,8;4,7;2,78;22,8;1.803
2800701020 Alcorcón sección 01020;30,5;34,1;2,1;3,08;19,1;2.821
2800702 Alcorcón distrito 02;45,1;17,8;24,7;2,67;21,6;48.738
2800702001 Alcorcón sección 02001;51,4;11,8;38,7;2,65;20,6;963
2800702002 Alcorcón sección 02002;51;13,4;38,1;2,61;21,2;763
2800702003 Alcorcón sección 02003;51,3;12,5;40,3;2,64;20,1;1.367
2800702004 Alcorcón sección 02004;51,6;12,7;41,2;2,57;20,7;1.031
2800702005 Alcorcón sección 02005;50,7;12,9;37,9;2,51;27,3;1.243
2800702006 Alcorcón sección 02006;50,2;15,1;38,3;2,59;22,4;1.468
2800702007 Alcorcón sección 02007;48,3;14,5;31,9;2,81;19,8;709
2800702008 Alcorcón sección 02008;51,3;14,5;41,6;2,71;19,3;688
2800702009 Alcorcón sección 02009;49,7;13,9;36,5;2,64;20,8;1.206
2800702010 Alcorcón sección 02010;50,1;12,8;35,7;2,37;30,5;925
2800702011 Alcorcón sección 02011;52,2;10,5;38,1;2,26;30,1;1.193
2800702012 Alcorcón sección 02012;46,5;15,9;25,8;2,29;34,3;1.047
2800702013 Alcorcón sección 02013;46,9;14,9;26;2,47;28,7;1.265
2800702014 Alcorcón sección 02014;49,5;13;31,3;2,33;34;1.412
2800702015 Alcorcón sección 02015;43,7;16,8;19,2;2,67;21,5;1.779
2800702016 Alcorcón sección 02016;44,8;17,2;24;2,62;21,3;2.078
2800702017 Alcorcón sección 02017;50,2;13,4;35,6;2,33;27,1;1.291
2800702019 Alcorcón sección 02019;38,9;21,5;10,3;3,02;14,4;1.692
2800702020 Alcorcón sección 02020;47;14,7;28,2;2,54;21,1;1.290
2800702021 Alcorcón sección 02021;50,3;12,7;37,6;2,72;12,4;1.689
2800702022 Alcorcón sección 02022;50,5;12,5;34,8;2,26;31,6;1.637
2800702023 Alcorcón sección 02023;52,6;13,3;41,2;2,5;22,5;746
2800702024 Alcorcón sección 02024;51,9;13,5;39,8;2,76;23,4;779
2800702025 Alcorcón sección 02025;51,5;12,3;40,4;2,6;22,7;836
2800702026 Alcorcón sección 02026;50,8;13,7;35,6;2,52;22,9;627
2800702027 Alcorcón sección 02027;47,4;12,6;27,3;2,52;25,1;1.144
2800702028 Alcorcón sección 02028;46,1;14,8;25,2;2,55;25,6;1.328
2800702029 Alcorcón sección 02029;49,3;14,9;37,5;2,52;22,6;1.228
2800702030 Alcorcón sección 02030;40,1;21,9;12,7;3,06;11,3;1.086
2800702031 Alcorcón sección 02031;40,9;17,6;13,2;3,05;14,9;1.639
2800702032 Alcorcón sección 02032;37,3;24,1;6;3,11;11;1.662
2800702033 Alcorcón sección 02033;37,6;21,6;5,9;2,79;20,4;1.950
2800702034 Alcorcón sección 02034;34,6;30,2;4,9;3,09;14,6;2.682
2800702035 Alcorcón sección 02035;36,5;29,4;7,7;3,01;14,8;2.233
2800702036 Alcorcón sección 02036;41,6;19,9;16,2;2,75;20,1;860
