location_raw;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población
1500101 Abegondo distrito 01;49,8;12,8;30,1;2,6;26,4;1.605
1500101001 Abegondo sección 01001;48,3;14,3;27,6;2,54;25,7;890
1500101002 Abegondo sección 01002;51,6;11,1;33,2;2,67;27,2;715
1500102 Abegondo distrito 02;51,4;12,1;34,6;2,53;30,6;1.389
1500102001 Abegondo sección 02001;50,1;12,7;30,9;2,53;28,7;695
1500102002 Abegondo sección 02002;52,7;11,5;38,3;2,52;32,4;694
1500103 Abegondo distrito 03;48,7;13,2;28,8;2,62;24,4;2.412
1500103001 Abegondo sección 03001;50,6;11,9;31,9;2,57;25,8;1.461
1500103002 Abegondo sección 03002;45,8;15,3;24,1;2,72;22;951
42001 Abejar;53,9;6,6;35,7;2,25;41,7;286
4200101 Abejar distrito 01;53,9;6,6;35,7;2,25;41,7;286
4200101001 Abejar sección 01001;53,9;6,6;35,7;2,25;41,7;286
44002 Abejuela;.;.;.;.;.;.
4400201 Abejuela distrito 01;.;.;.;.;.;.
4400201001 Abejuela sección 01001;.;.;.;.;.;.
25001 Abella de la Conca;48,5;12,1;24,7;2,72;29,5;166
2500101 Abella de la Conca distrito 01;48,5;12,1;24,7;2,72;29,5;166
2500101001 Abella de la Conca sección 01001;48,5;12,1;24,7;2,72;29,5;166
02001 Abengibre;50,9;7,5;30,4;2,44;30,7;756
0200101 Abengibre distrito 01;50,9;7,5;30,4;2,44;30,7;756
0200101001 Abengibre sección 01001;50,9;7,5;30,4;2,44;30,7;756
13001 Abenójar;49,7;11,1;29,1;2,43;30,8;1.366
1300101 Abenójar distrito 01;49,7;11,1;29,1;2,43;30,8;1.366
1300101001 Abenójar sección 01001;48,2;10,3;24,9;2,49;29,6;696
1300101002 Abenójar sección 01002;51,4;11,9;33,6;2,38;32;670
31005 Aberin;45,8;12,2;20,3;2,5;26,4;360
3100501 Aberin distrito 01;45,8;12,2;20,3;2,5;26,4;360
3100501001 Aberin sección 01001;45,8;12,2;20,3;2,5;26,4;360
10002 Abertura;51,2;10,1;31,5;1,96;43,3;407
1000201 Abertura distrito 01;51,2;10,1;31,5;1,96;43,3;407
1000201001 Abertura sección 01001;51,2;10,1;31,5;1,96;43,3;407
49002 Abezames;.;.;.;.;.;.
4900201 Abezames distrito 01;.;.;.;.;.;.
4900201001 Abezames sección 01001;.;.;.;.;.;.
16001 Abia de la Obispalía;.;.;.;.;.;.
1600101 Abia de la Obispalía distrito 01;.;.;.;.;.;.
1600101001 Abia de la Obispalía sección 01001;.;.;.;.;.;.
34003 Abia de las Torres;51,3;7,3;23,6;2,5;31,8;165
3400301 Abia de las Torres distrito 01;51,3;7,3;23,6;2,5;31,8;165
3400301001 Abia de las Torres sección 01001;51,3;7,3;23,6;2,5;31,8;165
22001 Abiego;51,2;9,7;30,2;2,34;40,6;248
2200101 Abiego distrito 01;51,2;9,7;30,2;2,34;40,6;248
2200101001 Abiego sección 01001;51,2;9,7;30,2;2,34;40,6;248
22002 Abizanda;48,2;9,4;26,2;2,33;35,9;149
2200201 Abizanda distrito 01;48,2;9,4;26,2;2,33;35,9;149
2200201001 Abizanda sección 01001;48,2;9,4;26,2;2,33;35,9;149
04001 Abla;47,7;12,5;27;2,19;39,9;1.247
0400101 Abla distrito 01;47,7;12,5;27;2,19;39,9;1.247
0400101001 Abla sección 01001;47,7;12,5;27;2,19;39,9;1.247
19002 Ablanque;.;.;.;.;.;.
1900201 Ablanque distrito 01;.;.;.;.;.;.
1900201001 Ablanque sección 01001;.;.;.;.;.;.
31006 Ablitas;44,7;17,1;22,3;2,58;25,8;2.480
3100601 Ablitas distrito 01;45;16,9;22,7;2,46;30,7;1.205
3100601001 Ablitas sección 01001;45;16,9;22,7;2,46;30,7;1.205
3100602 Ablitas distrito 02;44,5;17,3;22;2,69;20,7;1.275
3100602001 Ablitas sección 02001;44,5;17,3;22;2,69;20,7;1.275
08001 Abrera;39,7;22;15,1;2,75;18,9;12.465
0800101 Abrera distrito 01;39,7;22;15,1;2,75;18,9;12.465
0800101001 Abrera sección 01001;43,8;16,5;21,9;2,56;22,5;1.481
