,Unnamed: 0,name,rating,user_ratings_total,laundry_lat,laundry_lng,coddistsec,isochrone_1m,isochrone_3m,isochrone_5m,isochrone_7m,isochrone_10m
10,10,La Colada de Ana,4.6,50,39.4697685,-0.3384586,1151,"[[[39.469769, -0.337959], [39.469268, -0.338459], [39.469769, -0.338959], [39.470269, -0.338459], [39.469769, -0.337959]]]","[[[39.469769, -0.337709], [39.469018, -0.338459], [39.469769, -0.339209], [39.470519, -0.338459], [39.469769, -0.337709]]]","[[[39.469768, -0.337625], [39.469102, -0.337792], [39.468935, -0.338459], [39.469102, -0.339125], [39.469768, -0.339292], [39.470435, -0.339125], [39.470602, -0.338459], [39.470435, -0.337792], [39.469768, -0.337625]]]","[[[39.469769, -0.337584], [39.469018, -0.337709], [39.469018, -0.339209], [39.470519, -0.339209], [39.470519, -0.337709], [39.469769, -0.337584]]]","[[[39.469768, -0.33755], [39.46895, -0.33764], [39.46895, -0.339277], [39.470587, -0.339277], [39.470587, -0.33764], [39.469768, -0.33755]]]"
11,11,Lavandería Autoservicio Open Wash Valencia Waksman,4.4,23,39.4568266,-0.3743761,1046,"[[[39.456827, -0.373876], [39.456327, -0.374376], [39.456827, -0.374876], [39.457327, -0.374376], [39.456827, -0.373876]]]","[[[39.456827, -0.373626], [39.456077, -0.374376], [39.456827, -0.375126], [39.457577, -0.374376], [39.456827, -0.373626]]]","[[[39.456827, -0.373543], [39.45616, -0.373709], [39.455993, -0.374376], [39.45616, -0.375043], [39.456827, -0.375209], [39.457493, -0.375043], [39.45766, -0.374376], [39.457493, -0.373709], [39.456827, -0.373543]]]","[[[39.456827, -0.373501], [39.456077, -0.373626], [39.456077, -0.375126], [39.457577, -0.375126], [39.457577, -0.373626], [39.456827, -0.373501]]]","[[[39.456827, -0.373467], [39.456008, -0.373558], [39.456008, -0.375194], [39.457645, -0.375194], [39.457645, -0.373558], [39.456827, -0.373467]]]"
12,12,SpeedyWash Lavandería Autoservicio,4.6,28,39.466765,-0.33966929999999995,1239,"[[[39.466765, -0.339169], [39.466265, -0.339669], [39.466765, -0.340169], [39.467265, -0.339669], [39.466765, -0.339169]]]","[[[39.466765, -0.338919], [39.466015, -0.339669], [39.466765, -0.340419], [39.467515, -0.339669], [39.466765, -0.338919]]]","[[[39.466765, -0.338836], [39.466098, -0.339003], [39.465932, -0.339669], [39.466098, -0.340336], [39.466765, -0.340503], [39.467432, -0.340336], [39.467598, -0.339669], [39.467432, -0.339003], [39.466765, -0.338836]]]","[[[39.466765, -0.338794], [39.466015, -0.338919], [39.466015, -0.340419], [39.467515, -0.340419], [39.467515, -0.338919], [39.466765, -0.338794]]]","[[[39.466765, -0.33876], [39.465947, -0.338851], [39.465947, -0.340487], [39.467583, -0.340487], [39.467583, -0.338851], [39.466765, -0.33876]]]"
13,13,Lavanderías Mr Jeff,4.6,26,39.4627167,-0.3615747,1001,"[[[39.462717, -0.361075], [39.462217, -0.361575], [39.462717, -0.362075], [39.463217, -0.361575], [39.462717, -0.361075]]]","[[[39.462717, -0.360825], [39.461967, -0.361575], [39.462717, -0.362325], [39.463467, -0.361575], [39.462717, -0.360825]]]","[[[39.462717, -0.360741], [39.46205, -0.360908], [39.461883, -0.361575], [39.46205, -0.362241], [39.462717, -0.362408], [39.463383, -0.362241], [39.46355, -0.361575], [39.463383, -0.360908], [39.462717, -0.360741]]]","[[[39.462717, -0.3607], [39.461967, -0.360825], [39.461967, -0.362325], [39.463467, -0.362325], [39.463467, -0.360825], [39.462717, -0.3607]]]","[[[39.462717, -0.360666], [39.461899, -0.360757], [39.461899, -0.362393], [39.463535, -0.362393], [39.463535, -0.360757], [39.462717, -0.360666]]]"
14,14,Tintoreria la Bruixeta,4.4,22,39.48010670000001,-0.395307,420,"[[[39.480107, -0.394807], [39.479607, -0.395307], [39.480107, -0.395807], [39.480607, -0.395307], [39.480107, -0.394807]]]","[[[39.480107, -0.394557], [39.479357, -0.395307], [39.480107, -0.396057], [39.480857, -0.395307], [39.480107, -0.394557]]]","[[[39.480107, -0.394474], [39.47944, -0.39464], [39.479273, -0.395307], [39.47944, -0.395974], [39.480107, -0.39614], [39.480773, -0.395974], [39.48094, -0.395307], [39.480773, -0.39464], [39.480107, -0.394474]]]","[[[39.480107, -0.394432], [39.479357, -0.394557], [39.479357, -0.396057], [39.480857, -0.396057], [39.480857, -0.394557], [39.480107, -0.394432]]]","[[[39.480107, -0.394398], [39.479289, -0.394489], [39.479289, -0.396125], [39.480925, -0.396125], [39.480925, -0.394489], [39.480107, -0.394398]]]"
15,15,La Colada,4.7,21,39.4573179,-0.3625897,1008,"[[[39.457318, -0.36209], [39.456818, -0.36259], [39.457318, -0.36309], [39.457818, -0.36259], [39.457318, -0.36209]]]","[[[39.457318, -0.36184], [39.456568, -0.36259], [39.457318, -0.36334], [39.458068, -0.36259], [39.457318, -0.36184]]]","[[[39.457318, -0.361756], [39.456651, -0.361923], [39.456485, -0.36259], [39.456651, -0.363256], [39.457318, -0.363423], [39.457985, -0.363256], [39.458151, -0.36259], [39.457985, -0.361923], [39.457318, -0.361756]]]","[[[39.457318, -0.361715], [39.456568, -0.36184], [39.456568, -0.36334], [39.458068, -0.36334], [39.458068, -0.36184], [39.457318, -0.361715]]]","[[[39.457318, -0.361681], [39.4565, -0.361772], [39.4565, -0.363408], [39.458136, -0.363408], [39.458136, -0.361772], [39.457318, -0.361681]]]"
16,16,Lavandería Auto-Servicio,4.1,27,39.47990360000001,-0.377208,111,"[[[39.479904, -0.376708], [39.479404, -0.377208], [39.479904, -0.377708], [39.480404, -0.377208], [39.479904, -0.376708]]]","[[[39.479904, -0.376458], [39.479154, -0.377208], [39.479904, -0.377958], [39.480654, -0.377208], [39.479904, -0.376458]]]","[[[39.479904, -0.376375], [39.479237, -0.376541], [39.47907, -0.377208], [39.479237, -0.377875], [39.479904, -0.378041], [39.48057, -0.377875], [39.480737, -0.377208], [39.48057, -0.376541], [39.479904, -0.376375]]]","[[[39.479904, -0.376333], [39.479154, -0.376458], [39.479154, -0.377958], [39.480654, -0.377958], [39.480654, -0.376458], [39.479904, -0.376333]]]","[[[39.479904, -0.376299], [39.479085, -0.37639], [39.479085, -0.378026], [39.480722, -0.378026], [39.480722, -0.37639], [39.479904, -0.376299]]]"
17,17,Tintoreria Lavanderia Conchi,4.5,34,39.488496999999995,-0.39412670000000005,1619,"[[[39.488497, -0.393627], [39.487997, -0.394127], [39.488497, -0.394627], [39.488997, -0.394127], [39.488497, -0.393627]]]","[[[39.488497, -0.393377], [39.487747, -0.394127], [39.488497, -0.394877], [39.489247, -0.394127], [39.488497, -0.393377]]]","[[[39.488497, -0.393293], [39.48783, -0.39346], [39.487664, -0.394127], [39.48783, -0.394793], [39.488497, -0.39496], [39.489164, -0.394793], [39.48933, -0.394127], [39.489164, -0.39346], [39.488497, -0.393293]]]","[[[39.488497, -0.393252], [39.487747, -0.393377], [39.487747, -0.394877], [39.489247, -0.394877], [39.489247, -0.393377], [39.488497, -0.393252]]]","[[[39.488497, -0.393218], [39.487679, -0.393309], [39.487679, -0.394945], [39.489315, -0.394945], [39.489315, -0.393309], [39.488497, -0.393218]]]"
18,18,LAVANDERÍA ECOLAUNDRY,4.6,22,39.479425899999995,-0.3978793,406,"[[[39.479426, -0.397379], [39.478926, -0.397879], [39.479426, -0.398379], [39.479926, -0.397879], [39.479426, -0.397379]]]","[[[39.479426, -0.397129], [39.478676, -0.397879], [39.479426, -0.398629], [39.480176, -0.397879], [39.479426, -0.397129]]]","[[[39.479426, -0.397046], [39.478759, -0.397213], [39.478593, -0.397879], [39.478759, -0.398546], [39.479426, -0.398713], [39.480093, -0.398546], [39.480259, -0.397879], [39.480093, -0.397213], [39.479426, -0.397046]]]","[[[39.479426, -0.397004], [39.478676, -0.397129], [39.478676, -0.398629], [39.480176, -0.398629], [39.480176, -0.397129], [39.479426, -0.397004]]]","[[[39.479426, -0.39697], [39.478608, -0.397061], [39.478608, -0.398697], [39.480244, -0.398697], [39.480244, -0.397061], [39.479426, -0.39697]]]"
19,19,LaColada Clean & Dry,3.8,21,39.47327,-0.3537099,609,"[[[39.47327, -0.35321], [39.47277, -0.35371], [39.47327, -0.35421], [39.47377, -0.35371], [39.47327, -0.35321]]]","[[[39.47327, -0.35296], [39.47252, -0.35371], [39.47327, -0.35446], [39.47402, -0.35371], [39.47327, -0.35296]]]","[[[39.47327, -0.352877], [39.472603, -0.353043], [39.472437, -0.35371], [39.472603, -0.354377], [39.47327, -0.354543], [39.473937, -0.354377], [39.474103, -0.35371], [39.473937, -0.353043], [39.47327, -0.352877]]]","[[[39.47327, -0.352835], [39.47252, -0.35296], [39.47252, -0.35446], [39.47402, -0.35446], [39.47402, -0.35296], [39.47327, -0.352835]]]","[[[39.47327, -0.352801], [39.472452, -0.352892], [39.472452, -0.354528], [39.474088, -0.354528], [39.474088, -0.352892], [39.47327, -0.352801]]]"
