CODIGO;NUM_VIVIENDA_TURISTICA;TOTAL_PLAZAS;RATIO_PLAZA_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;MUN;MUN_LITERAL
4617801003;15;91;6,1;3,1;46178;Náquera
4617901001;0;0;;0,0;46179;Navarrés
4617901002;12;83;6,9;1,2;46179;Navarrés
4618001001;0;0;;0,0;46180;Novelé/Novetlè
4618101001;1;4;4,0;0,1;46181;Oliva
4618101002;0;0;;0,0;46181;Oliva
4618101003;3;20;6,7;0,3;46181;Oliva
4618101004;7;35;5,0;1,3;46181;Oliva
4618101005;411;2209;5,4;11,8;46181;Oliva
4618101006;164;938;5,7;3,8;46181;Oliva
4618102001;9;38;4,2;1,0;46181;Oliva
4618102002;3;11;3,7;0,5;46181;Oliva
4618102003;2;14;7,0;0,3;46181;Oliva
4618102004;44;244;5,5;4,5;46181;Oliva
4618102005;6;38;6,3;1,2;46181;Oliva
4618102006;1;6;6,0;0,1;46181;Oliva
4618102007;2;10;5,0;0,2;46181;Oliva
4618103001;8;39;4,9;0,9;46181;Oliva
4618104001;7;38;5,4;0,8;46181;Oliva
4618104002;19;116;6,1;3,2;46181;Oliva
4618201001;15;167;11,1;0,6;46182;Olocau
4618301001;0;0;;0,0;46183;Olleria, l'
4618301002;1;3;3,0;0,2;46183;Olleria, l'
4618301003;0;0;;0,0;46183;Olleria, l'
4618301004;5;26;5,2;0,6;46183;Olleria, l'
4618301005;0;0;;0,0;46183;Olleria, l'
4618401001;1;2;2,0;0,2;46184;Ontinyent
4618401002;2;6;3,0;0,2;46184;Ontinyent
4618401003;2;9;4,5;0,2;46184;Ontinyent
4618401004;0;0;;0,0;46184;Ontinyent
4618401005;1;1;1,0;0,1;46184;Ontinyent
4618401006;0;0;;0,0;46184;Ontinyent
4618401007;0;0;;0,0;46184;Ontinyent
4618401008;0;0;;0,0;46184;Ontinyent
4618402001;0;0;;0,0;46184;Ontinyent
