,business_status,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
254,OPERATIONAL,La Colada,4.7,"['laundry', 'point_of_interest', 'establishment']",21.0,39.4573179,-0.3625897,lavanderias,1008,laundry
255,OPERATIONAL,BLUWASH Lavanderia Autoservicio,4.8,"['laundry', 'point_of_interest', 'establishment']",18.0,39.45852470000001,-0.3640825,lavanderias,1008,laundry
256,OPERATIONAL,C.M. Improve S.L.,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4741838,-0.3629525000000001,lavanderias,0603,laundry
258,OPERATIONAL,Kwl Aqua,4.2,"['laundry', 'point_of_interest', 'establishment']",25.0,39.4858755,-0.3619495,lavanderias,1412,laundry
259,OPERATIONAL,Lavasec,5.0,"['laundry', 'point_of_interest', 'establishment']",3.0,39.4936886,-0.3825723,lavanderias,1617,laundry
260,OPERATIONAL,Dicoreho Hostelería & Lavandería,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4984919,-0.37657340000000006,lavanderias,1519,laundry
261,OPERATIONAL,Tintoreria,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4874308,-0.3770145,lavanderias,0537,laundry
262,OPERATIONAL,Kwl Aqua Lavanderia De Autoservicio,1.0,"['laundry', 'point_of_interest', 'establishment']",5.0,39.4894913,-0.3824737,lavanderias,0536,laundry
263,OPERATIONAL,Lacolada,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4920146,-0.3915574,lavanderias,1611,laundry
264,OPERATIONAL,Puinterma.S.L. Lavanderia,3.0,"['laundry', 'point_of_interest', 'establishment']",2.0,39.454862,-0.3883031,lavanderias,0915,laundry
265,OPERATIONAL,La Lavandería Blue Wash Line,4.1,"['laundry', 'point_of_interest', 'establishment']",18.0,39.488268299999994,-0.3685138,lavanderias,1502,laundry
266,OPERATIONAL,Tintorería UrbanClean,3.9,"['laundry', 'point_of_interest', 'establishment']",35.0,39.4851902,-0.39634040000000004,lavanderias,0402,laundry
267,OPERATIONAL,Tintorería Milán,4.3,"['laundry', 'point_of_interest', 'establishment']",16.0,39.4757783,-0.35080479999999997,lavanderias,1322,laundry
268,OPERATIONAL,Tintorería Valencia,4.4,"['laundry', 'point_of_interest', 'establishment']",7.0,39.4597307,-0.3668131000000001,lavanderias,1002,laundry
270,OPERATIONAL,SOLMED Alliance,4.4,"['food', 'point_of_interest', 'establishment']",9.0,39.456555,-0.345856,lavanderias,1242,food
271,OPERATIONAL,Jeff HQ,4.3,"['point_of_interest', 'establishment']",6.0,39.4641091,-0.349698,lavanderias,1240,point_of_interest
272,OPERATIONAL,Aquanatura,0.0,"['point_of_interest', 'establishment']",0.0,39.48577,-0.358615,lavanderias,1407,point_of_interest
276,OPERATIONAL,Lacolada,3.9,"['laundry', 'point_of_interest', 'establishment']",8.0,39.4800577,-0.327838,lavanderias,1138,laundry
277,OPERATIONAL,SpeedyWash Lavandería Autoservicio,4.5,"['laundry', 'point_of_interest', 'establishment']",31.0,39.466765,-0.33966929999999995,lavanderias,1239,laundry
278,OPERATIONAL,LaColada Clean & Dry,3.8,"['laundry', 'point_of_interest', 'establishment']",21.0,39.47327,-0.3537099,lavanderias,0609,laundry
279,OPERATIONAL,lavanderia autoservicio,5.0,"['laundry', 'point_of_interest', 'establishment']",1.0,39.46754179999999,-0.3525032,lavanderias,1222,laundry
280,OPERATIONAL,LAVOMATIC,3.6,"['laundry', 'point_of_interest', 'establishment']",7.0,39.4646456,-0.3355489,lavanderias,1109,laundry
281,OPERATIONAL,Kwl - Aqua,5.0,"['laundry', 'point_of_interest', 'establishment']",1.0,39.4698218,-0.3531519,lavanderias,1220,laundry
282,OPERATIONAL,LACOLADA-EBOSCA,4.1,"['laundry', 'point_of_interest', 'establishment']",19.0,39.466086100000005,-0.3571966,lavanderias,0612,laundry
283,OPERATIONAL,Lavanderia a Domicilio y Autoservicio LavaClick,4.0,"['laundry', 'point_of_interest', 'establishment']",20.0,39.4708889,-0.34885679999999997,lavanderias,1309,laundry
284,OPERATIONAL,Tintorería UrbanClean,3.4,"['laundry', 'point_of_interest', 'establishment']",10.0,39.4573284,-0.34715559999999995,lavanderias,1242,laundry
285,OPERATIONAL,Centro Net,4.6,"['laundry', 'point_of_interest', 'establishment']",22.0,39.4595409,-0.3500547,lavanderias,1241,laundry
287,OPERATIONAL,Las Lavanderas,3.3,"['laundry', 'point_of_interest', 'establishment']",6.0,39.492315999999995,-0.3665888,lavanderias,1533,laundry
288,OPERATIONAL,Lavandería,3.7,"['laundry', 'point_of_interest', 'establishment']",3.0,39.4887265,-0.3589481,lavanderias,1422,laundry
289,OPERATIONAL,LAVANDERIA OPEN WASH BENIMACLET,4.2,"['laundry', 'point_of_interest', 'establishment']",22.0,39.4867475,-0.36401659999999997,lavanderias,1412,laundry
290,OPERATIONAL,Ce Colada Expres,4.9,"['laundry', 'point_of_interest', 'establishment']",7.0,39.494797,-0.3711882,lavanderias,1512,laundry
291,OPERATIONAL,Tintoreria Esplendid,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.481092100000005,-0.3573605,lavanderias,1401,laundry
292,OPERATIONAL,Bluwash España Lavanderías S.L,4.7,"['laundry', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",33.0,39.4910111,-0.3819534,lavanderias,1525,laundry
294,OPERATIONAL,La Colada Lavandería,4.6,"['laundry', 'point_of_interest', 'establishment']",17.0,39.4982047,-0.3936442,lavanderias,1622,laundry
296,OPERATIONAL,Tintorería UrbanClean,3.8,"['laundry', 'point_of_interest', 'establishment']",106.0,39.492110100000005,-0.39990359999999997,lavanderias,1619,laundry
297,OPERATIONAL,Tintoreria Lavanderia Conchi,4.5,"['laundry', 'point_of_interest', 'establishment']",34.0,39.488496999999995,-0.39412670000000005,lavanderias,1619,laundry
298,OPERATIONAL,La Colada de Ana,4.6,"['laundry', 'point_of_interest', 'establishment']",51.0,39.4697685,-0.3384586,lavanderias,1151,laundry
299,OPERATIONAL,Tintoreria Top - Net,5.0,"['laundry', 'point_of_interest', 'establishment']",2.0,39.4768531,-0.3281726,lavanderias,1134,laundry
300,OPERATIONAL,Tintoreria Valencia LaBea,4.8,"['laundry', 'point_of_interest', 'establishment']",37.0,39.4710956,-0.3445356,lavanderias,1329,laundry
301,OPERATIONAL,Tintorería Carda S.L,4.4,"['laundry', 'point_of_interest', 'establishment']",36.0,39.4662414,-0.3307953,lavanderias,1117,laundry
302,OPERATIONAL,La Robaneta,3.8,"['laundry', 'point_of_interest', 'establishment']",33.0,39.467118400000004,-0.3331335,lavanderias,1117,laundry
303,OPERATIONAL,LLAVA'M,4.0,"['laundry', 'point_of_interest', 'establishment']",15.0,39.4721783,-0.3303812,lavanderias,1130,laundry
304,OPERATIONAL,LAVANDERIA LA MAR DE NETA,4.8,"['laundry', 'point_of_interest', 'establishment']",18.0,39.4741984,-0.3520822,lavanderias,1315,laundry
305,OPERATIONAL,Lacolada de Isa,3.7,"['laundry', 'point_of_interest', 'establishment']",20.0,39.4747645,-0.34547690000000003,lavanderias,1313,laundry
310,OPERATIONAL,Lavanderia lacolada,3.6,"['laundry', 'point_of_interest', 'establishment']",14.0,39.491799,-0.3777143,lavanderias,1532,laundry
313,OPERATIONAL,La Lavanderia de Galileo,5.0,"['laundry', 'point_of_interest', 'establishment']",1.0,39.4793623,-0.3400145,lavanderias,1325,laundry
329,OPERATIONAL,Lavanderia-Tintoreria Honduras II,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4594007,-0.3669235,lavanderias,1003,laundry
330,OPERATIONAL,Tintorerías Mare Nostrum,5.0,"['laundry', 'point_of_interest', 'establishment']",1.0,39.47170560000001,-0.37403959999999997,lavanderias,0130,laundry
365,OPERATIONAL,Bugaderia / Lavandería Low Cost Maximilià,4.9,"['laundry', 'point_of_interest', 'establishment']",18.0,39.4882968,-0.3763610000000001,lavanderias,0538,laundry
369,OPERATIONAL,LaColada Marxalenes,3.8,"['laundry', 'point_of_interest', 'establishment']",4.0,39.488037,-0.3847053,lavanderias,0509,laundry
407,OPERATIONAL,Limpiezas El Rayo del Amanecer,3.9,"['laundry', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",109.0,39.4512087,-0.40331490000000003,lavanderias,0839,laundry
408,OPERATIONAL,Parador Nacional de El Saler,4.4,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1820.0,39.3207526,-0.3019142,lavanderias,1908,spa
440,OPERATIONAL,Tintorerias Mare Nostrum,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.465920700000005,-0.3397777,lavanderias,1238,laundry
449,OPERATIONAL,Tintoreria Quilis Limpiezas Textiles,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.493480299999995,-0.3758625,lavanderias,1526,laundry
450,OPERATIONAL,Lavanderia san juan bosco,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4947427,-0.3712249,lavanderias,1512,laundry
451,OPERATIONAL,Oxxo Tintoreria express,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4717718,-0.3800772,lavanderias,0123,laundry
452,OPERATIONAL,"Mundial Limpieza De Textiles Ante, Napa Y Piel En Seco",0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.487548499999995,-0.38801740000000007,lavanderias,0504,laundry
453,OPERATIONAL,R&L,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.48780989999999,-0.3640665,lavanderias,1534,laundry
460,OPERATIONAL,Recalos Para Bebes Floristería,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4783771,-0.40321290000000004,lavanderias,0419,laundry
461,OPERATIONAL,Antonia Martín Castillo,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.480419299999994,-0.3562098,lavanderias,1424,laundry
471,OPERATIONAL,Supermercado Consum Valencia Salvador Rubio,4.3,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",227.0,39.4987912,-0.394514,supermercados,1621,supermarket
472,OPERATIONAL,Kuups Supermercados,4.0,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",465.0,39.4695501,-0.3836509,supermercados,0315,supermarket
473,OPERATIONAL,Frutería Javi him super1,5.0,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",6.0,39.459698700000004,-0.3937472,supermercados,0817,supermarket
474,OPERATIONAL,Proxim Supermercados,4.0,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",1.0,39.459514399999996,-0.38412290000000004,supermercados,0941,grocery_or_supermarket
478,OPERATIONAL,Herbolario MussaPlants,4.5,"['grocery_or_supermarket', 'spa', 'food', 'health', 'point_of_interest', 'store', 'establishment']",13.0,39.47146499999999,-0.4023285,supermercados,0714,grocery_or_supermarket
482,OPERATIONAL,Supermercado Consum Valencia Llanera de Ranes,4.2,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",570.0,39.4533669,-0.3894347,supermercados,0923,supermarket
485,OPERATIONAL,Herboristería Miel de Caña,4.6,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']",27.0,39.45508040000001,-0.3872203,supermercados,0907,grocery_or_supermarket
486,OPERATIONAL,Druni Perfumerías ®,4.2,"['pharmacy', 'gym', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']",329.0,39.4660056,-0.3822295,supermercados,0339,pharmacy
487,OPERATIONAL,Consum,0.0,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",0.0,39.4619345,-0.3883738,supermercados,0807,supermarket
488,OPERATIONAL,Carrefour,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",10712.0,39.477109000000006,-0.4050189,supermercados,0419,supermarket
489,OPERATIONAL,Druni Perfumerías ®,4.2,"['pharmacy', 'gym', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']",1029.0,39.4677066,-0.3750274,supermercados,0132,pharmacy
490,OPERATIONAL,Centre Comercial Campanar,4.2,"['shopping_mall', 'pharmacy', 'supermarket', 'grocery_or_supermarket', 'travel_agency', 'restaurant', 'food', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']",4096.0,39.4772623,-0.4045477,supermercados,0419,shopping_mall
493,OPERATIONAL,Original CV - Productes Valencians,4.6,"['grocery_or_supermarket', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",87.0,39.4738987,-0.37814440000000005,supermercados,0125,grocery_or_supermarket
494,OPERATIONAL,Supermercado Consum Valencia Plaza Segovia,4.3,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",382.0,39.4491839,-0.39151529999999996,supermercados,0918,supermarket
495,OPERATIONAL,PRIMAPRIX,4.5,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",69.0,39.4624054,-0.3843288,supermercados,0337,supermarket
497,OPERATIONAL,Herbolario Navarro Àngel Guimerà,4.1,"['point_of_interest', 'store', 'establishment']",119.0,39.469736600000005,-0.3876888,supermercados,0350,point_of_interest
498,OPERATIONAL,Supermercado Consum València Fray Pedro Vives,4.2,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",517.0,39.4868115,-0.3731990000000001,supermercados,0540,supermarket
499,OPERATIONAL,Supermercado Consum València Amadeo de Saboya,4.2,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",566.0,39.473201,-0.358951,supermercados,0608,supermarket
503,OPERATIONAL,Carrefour Express CEPSA,4.0,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",72.0,39.4627759,-0.3624867,supermercados,0257,supermarket
504,OPERATIONAL,Supermercado Consum València Av. Levante,4.4,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",543.0,39.495187,-0.390844,supermercados,1629,supermarket
505,OPERATIONAL,Supermercado Consum Valencia Padre Viñas,4.3,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",292.0,39.4928331,-0.37130559999999996,supermercados,1505,supermarket
506,OPERATIONAL,Supermercado Consum Valencia Oltà,4.3,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",933.0,39.452529,-0.37531,supermercados,1026,supermarket
510,OPERATIONAL,Clarel,4.5,"['point_of_interest', 'clothing_store', 'store', 'establishment']",15.0,39.4962698,-0.37701809999999997,supermercados,1520,point_of_interest
511,CLOSED_TEMPORARILY,CLAREL,3.3,"['point_of_interest', 'clothing_store', 'store', 'establishment']",7.0,39.4885882,-0.37213070000000004,supermercados,0541,point_of_interest
513,OPERATIONAL,Clarel,4.0,"['point_of_interest', 'clothing_store', 'store', 'establishment']",26.0,39.500322499999996,-0.41877529999999996,supermercados,1801,point_of_interest
515,OPERATIONAL,Herbolario Navarro Gaspar Aguilar,4.3,"['point_of_interest', 'store', 'establishment']",233.0,39.456275,-0.39061799999999997,supermercados,0831,point_of_interest
517,OPERATIONAL,CARLIN,4.2,"['point_of_interest', 'store', 'establishment']",39.0,39.468509000000005,-0.396573,supermercados,0719,point_of_interest
518,OPERATIONAL,Herbolario Navarro,4.4,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",445.0,39.4693976,-0.3787478,supermercados,0133,grocery_or_supermarket
519,OPERATIONAL,Aceitunas y Encurtidos Molero S.L.,5.0,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.0,39.4524945,-0.40369109999999997,supermercados,0835,grocery_or_supermarket
520,OPERATIONAL,Mercadona,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",737.0,39.495465,-0.37038699999999997,supermercados,1511,supermarket
522,OPERATIONAL,Dealz (Nuevo Centro),4.3,"['point_of_interest', 'store', 'establishment']",596.0,39.4812153,-0.3921301,supermercados,0401,point_of_interest
524,OPERATIONAL,Carrefour,3.9,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",2052.0,39.4939204,-0.36280759999999995,supermercados,1533,supermarket
528,OPERATIONAL,Consum,4.2,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",6.0,39.47659110000001,-0.34779770000000004,supermercados,1324,supermarket
529,OPERATIONAL,Mercadona,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",1271.0,39.46257500000001,-0.33698049999999996,supermercados,1105,supermarket
530,OPERATIONAL,Farmacia,5.0,"['store', 'point_of_interest', 'establishment']",2.0,39.481287200000004,-0.40263530000000003,supermercados,0419,store
533,OPERATIONAL,Clarel,3.3,"['point_of_interest', 'clothing_store', 'store', 'establishment']",31.0,39.483737100000006,-0.35990209999999995,supermercados,1402,point_of_interest
535,OPERATIONAL,Taste of America,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",328.0,39.464617,-0.37296,supermercados,0214,supermarket
536,OPERATIONAL,Huevos Salon,4.8,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",8.0,39.4609345,-0.3619824,supermercados,1045,grocery_or_supermarket
537,OPERATIONAL,INTERZOO MALILLA,4.5,"['pet_store', 'point_of_interest', 'store', 'establishment']",105.0,39.451384600000004,-0.37873340000000005,supermercados,1028,pet_store
539,OPERATIONAL,Douglas Perfumería,4.4,"['point_of_interest', 'clothing_store', 'store', 'establishment']",97.0,39.468003100000004,-0.37308179999999996,supermercados,0233,point_of_interest
541,OPERATIONAL,Supermercado charter,4.3,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.0,39.4651393,-0.3863498,supermercados,0341,supermarket
542,OPERATIONAL,Miguel Abad Pérez,0.0,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",0.0,39.473384900000006,-0.3799614,supermercados,0124,grocery_or_supermarket
543,OPERATIONAL,Belros,4.1,"['food', 'point_of_interest', 'store', 'establishment']",7.0,39.473593799999996,-0.3758995,supermercados,0125,food
544,OPERATIONAL,CARLIN,4.2,"['point_of_interest', 'store', 'establishment']",74.0,39.46531160000001,-0.3843763,supermercados,0343,point_of_interest
545,OPERATIONAL,Perfumería Prieto,4.0,"['point_of_interest', 'clothing_store', 'store', 'establishment']",5.0,39.469355,-0.37737800000000005,supermercados,0133,point_of_interest
546,OPERATIONAL,Herbolario Navarro Calle Alboraya,4.4,"['point_of_interest', 'store', 'establishment']",69.0,39.48241609999999,-0.37049790000000005,supermercados,0527,point_of_interest
547,OPERATIONAL,Boutique Nespresso El Corte Inglés Nuevo Centro,4.3,"['home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']",556.0,39.47976,-0.389708,supermercados,0401,home_goods_store
548,OPERATIONAL,Belros,4.2,"['food', 'point_of_interest', 'store', 'establishment']",5.0,39.4659412,-0.37461409999999995,supermercados,0201,food
549,OPERATIONAL,Consum,4.3,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",442.0,39.482960999999996,-0.378177,supermercados,0511,supermarket
553,OPERATIONAL,Kuups Supermercados,4.0,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",655.0,39.491087,-0.3790297,supermercados,1524,supermarket
556,OPERATIONAL,Supermercados Suma,3.0,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",2.0,39.46068820000001,-0.3693935,supermercados,0221,supermarket
557,OPERATIONAL,Supermercado Consum Valencia Matías Perelló,4.2,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",667.0,39.4620486,-0.3661949,supermercados,0206,supermarket
558,OPERATIONAL,Kiwoko. Mundo Animal,4.2,"['pet_store', 'veterinary_care', 'food', 'point_of_interest', 'store', 'establishment']",433.0,39.4708537,-0.36881440000000004,supermercados,0239,pet_store
560,OPERATIONAL,Mercadona,4.2,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",1687.0,39.466499299999995,-0.3324966,supermercados,1117,supermarket
561,OPERATIONAL,Belros,3.8,"['food', 'point_of_interest', 'store', 'establishment']",43.0,39.45321029999999,-0.35426090000000005,supermercados,1040,food
562,OPERATIONAL,Parafarmacia,0.0,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0.0,39.4630037,-0.3720228,supermercados,0213,pharmacy
563,OPERATIONAL,PRIMAPRIX,4.6,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",78.0,39.4666395,-0.3531953,supermercados,1222,supermarket
564,OPERATIONAL,Rossmann España,4.7,"['point_of_interest', 'store', 'establishment']",109.0,39.469514399999994,-0.3679533,supermercados,0238,point_of_interest
565,OPERATIONAL,CARLIN,2.4,"['point_of_interest', 'store', 'establishment']",41.0,39.46918290000001,-0.367415,supermercados,0238,point_of_interest
566,OPERATIONAL,CARLIN,4.4,"['point_of_interest', 'store', 'establishment']",38.0,39.473481899999996,-0.37349770000000004,supermercados,0105,point_of_interest
567,OPERATIONAL,Carlin,4.0,"['point_of_interest', 'store', 'establishment']",96.0,39.483613500000004,-0.369892,supermercados,0527,point_of_interest
568,OPERATIONAL,CARLIN-Juan XXIII,4.6,"['point_of_interest', 'store', 'establishment']",216.0,39.492736799999996,-0.38278340000000005,supermercados,1530,point_of_interest
569,OPERATIONAL,Rossmann España,4.5,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",195.0,39.462639900000006,-0.3411059,supermercados,1213,supermarket
570,OPERATIONAL,Nueva Nutricion,5.0,"['health', 'point_of_interest', 'store', 'establishment']",105.0,39.460725399999994,-0.341084,supermercados,1232,health
571,OPERATIONAL,Interzoo,4.4,"['pet_store', 'point_of_interest', 'store', 'establishment']",115.0,39.4676459,-0.3346645,supermercados,1109,pet_store
572,OPERATIONAL,Kiwoko. Mundo Animal,4.5,"['pet_store', 'veterinary_care', 'food', 'point_of_interest', 'store', 'establishment']",269.0,39.456461700000006,-0.3462362,supermercados,1242,pet_store
573,OPERATIONAL,Tien21 Ferretería García,4.7,"['home_goods_store', 'point_of_interest', 'store', 'establishment']",16.0,39.448429,-0.333901,supermercados,1146,home_goods_store
575,OPERATIONAL,Boutique Nespresso Aqua,4.4,"['home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']",287.0,39.456487599999996,-0.3462127,supermercados,1242,home_goods_store
576,OPERATIONAL,Herbolario Navarro Benimaclet,4.5,"['point_of_interest', 'store', 'establishment']",87.0,39.489737700000006,-0.3623143,supermercados,1534,point_of_interest
577,OPERATIONAL,Kiwoko. Mundo Animal,4.0,"['pet_store', 'veterinary_care', 'food', 'point_of_interest', 'store', 'establishment']",826.0,39.494418599999996,-0.3622915,supermercados,1533,pet_store
578,OPERATIONAL,CARLIN,4.3,"['point_of_interest', 'store', 'establishment']",43.0,39.4870104,-0.37524,supermercados,0537,point_of_interest
580,OPERATIONAL,Druni Perfumerías ®,4.4,"['pharmacy', 'gym', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']",160.0,39.4885167,-0.3605159,supermercados,1409,pharmacy
582,OPERATIONAL,Cadena 88 Ferreteria,4.2,"['hardware_store', 'point_of_interest', 'store', 'establishment']",25.0,39.4939858,-0.3691676,supermercados,1506,hardware_store
583,OPERATIONAL,Miguel Sahuquillo Sahuquillo,4.4,"['hardware_store', 'point_of_interest', 'store', 'establishment']",25.0,39.494008,-0.3691483,supermercados,1506,hardware_store
587,OPERATIONAL,CARLIN,3.9,"['point_of_interest', 'store', 'establishment']",63.0,39.4668177,-0.3354238,supermercados,1301,point_of_interest
588,OPERATIONAL,Super Reina,4.6,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",56.0,39.4720893,-0.3280272,supermercados,1119,grocery_or_supermarket
617,OPERATIONAL,Kuups,4.0,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",570.0,39.472592799999994,-0.3377908,supermercados,1325,supermarket
649,OPERATIONAL,Tres Creus (carril bus) - Pare Esteban Pernet,0.0,"['transit_station', 'point_of_interest', 'establishment']",0.0,39.4669756,-0.4063366,transporte,0736,transit_station
650,OPERATIONAL,València Sud,3.7,"['subway_station', 'transit_station', 'point_of_interest', 'establishment']",30.0,39.4408237,-0.41057330000000003,transporte,1912,subway_station
651,OPERATIONAL,Pl. Espanya,4.2,"['subway_station', 'transit_station', 'point_of_interest', 'establishment']",84.0,39.466146200000004,-0.3816775,transporte,0314,subway_station
652,OPERATIONAL,Pare Esteban Pernet - Misericòrdia,0.0,"['transit_station', 'point_of_interest', 'establishment']",0.0,39.4672306,-0.4094715,transporte,0738,transit_station
653,OPERATIONAL,Escultor Salzillo - Casa de la Misericòrdia,4.3,"['transit_station', 'point_of_interest', 'establishment']",4.0,39.465796600000004,-0.40958259999999996,transporte,0738,transit_station
654,OPERATIONAL,Estación de Bailén,4.0,"['transit_station', 'point_of_interest', 'establishment']",3.0,39.46397779999999,-0.37942220000000004,transporte,0310,transit_station
656,OPERATIONAL,Pare Esteban Pernet - Casa Misericòrdia,0.0,"['transit_station', 'point_of_interest', 'establishment']",0.0,39.46713870000001,-0.40953320000000004,transporte,0738,transit_station
657,OPERATIONAL,Dr. Tomàs Sala - Gaspar Aguilar,5.0,"['transit_station', 'point_of_interest', 'establishment']",2.0,39.4491041,-0.3944725,transporte,0918,transit_station
658,OPERATIONAL,Estación de Pont de Fusta,1.0,"['transit_station', 'point_of_interest', 'establishment']",1.0,39.4813465,-0.3736328,transporte,0517,transit_station
660,OPERATIONAL,Colón,4.1,"['subway_station', 'transit_station', 'point_of_interest', 'establishment']",198.0,39.47014619999999,-0.3709278,transporte,0131,subway_station
661,OPERATIONAL,Sagunt,4.0,"['transit_station', 'point_of_interest', 'establishment']",16.0,39.4865097,-0.37553909999999996,transporte,0537,transit_station
663,OPERATIONAL,Estadi del Llevant,4.3,"['transit_station', 'point_of_interest', 'establishment']",14.0,39.495028999999995,-0.365176,transporte,1533,transit_station
664,OPERATIONAL,Alameda,4.3,"['subway_station', 'transit_station', 'point_of_interest', 'establishment']",109.0,39.4735843,-0.3654685,transporte,0601,subway_station
665,OPERATIONAL,Estación de Tossal del Rei,0.0,"['train_station', 'transit_station', 'point_of_interest', 'establishment']",0.0,39.495544200000005,-0.37259640000000005,transporte,1516,train_station
667,OPERATIONAL,Estació de Benimaclet,4.1,"['point_of_interest', 'establishment']",463.0,39.4851031,-0.3620585,transporte,1403,point_of_interest
668,OPERATIONAL,Marxalenes,4.6,"['transit_station', 'point_of_interest', 'establishment']",11.0,39.48795399999999,-0.3838833,transporte,0509,transit_station
670,OPERATIONAL,EMT Valencia (Cocheras),4.3,"['point_of_interest', 'establishment']",17.0,39.4498458,-0.4053731,transporte,0821,point_of_interest
671,OPERATIONAL,Facultats,4.0,"['subway_station', 'transit_station', 'point_of_interest', 'establishment']",34.0,39.478237,-0.3618484,transporte,0624,subway_station
672,OPERATIONAL,Universitat Politècnica,3.9,"['transit_station', 'point_of_interest', 'establishment']",10.0,39.481245799999996,-0.3499899,transporte,1325,transit_station
