,business_status,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
56,OPERATIONAL,Colegio Sagrada Familia PJO,4.1,"['school', 'point_of_interest', 'establishment']",201.0,39.49015989999999,-0.357379,education,1419,school
58,OPERATIONAL,Escola Major Ausiàs March,4.0,"['university', 'point_of_interest', 'establishment']",93.0,39.479844299999996,-0.3523203,education,1328,university
59,CLOSED_TEMPORARILY,Centre De Desenvolupament Empresarial,0.0,"['university', 'point_of_interest', 'establishment']",0.0,39.4792625,-0.33459720000000004,education,1325,university
60,OPERATIONAL,Escola d'Art i Superior de Disseny,3.0,"['school', 'point_of_interest', 'establishment']",1.0,39.4748175,-0.3826442,education,0119,school
69,OPERATIONAL,IES Jordi de Sant Jordi,4.1,"['secondary_school', 'school', 'point_of_interest', 'establishment']",39.0,39.4528138,-0.3636092,education,1034,secondary_school
70,OPERATIONAL,Colegio San José de Calasanz,4.4,"['school', 'point_of_interest', 'establishment']",63.0,39.4760101,-0.3638117,education,0602,school
71,OPERATIONAL,Escuela de Hosteleria y Turismo,4.0,"['university', 'school', 'point_of_interest', 'establishment']",3.0,39.4777251,-0.35659070000000004,education,0624,university
72,OPERATIONAL,Ies Altaviana,0.0,"['school', 'point_of_interest', 'establishment']",0.0,39.4779914,-0.3559845,education,0624,school
73,OPERATIONAL,Colegio Diocesano San Juan Bosco,4.4,"['school', 'point_of_interest', 'establishment']",9.0,39.482844,-0.3845171,education,0407,school
74,OPERATIONAL,Col•legi Claret València Benimaclet,4.1,"['school', 'point_of_interest', 'establishment']",20.0,39.484025200000005,-0.3617698,education,1402,school
75,OPERATIONAL,Facultat d'Economia - UV,3.9,"['university', 'point_of_interest', 'establishment']",53.0,39.478236200000005,-0.3414693,education,1325,university
77,OPERATIONAL,CEIP Ausiàs March,5.0,"['school', 'point_of_interest', 'establishment']",3.0,39.450052,-0.3324293,education,1145,school
78,OPERATIONAL,"Club de Arte y estudios creativos, Barreira",3.7,"['point_of_interest', 'establishment']",7.0,39.46814699999999,-0.36676859999999994,education,0238,point_of_interest
