,Unnamed: 0,type,properties.coddistrit,properties.codsec,properties.coddistsec,geometry.type,geometry.coordinates,centroid_lng,centroid_lat,dist.lavanderia_0,dist.lavanderia_1,dist.lavanderia_2,dist.lavanderia_3,dist.lavanderia_4,dist.lavanderia_5,dist.lavanderia_6,dist.lavanderia_7,dist.lavanderia_8,dist.lavanderia_9,dist.lavanderia_10,dist.lavanderia_11,dist.lavanderia_12,dist.lavanderia_13,dist.lavanderia_14,dist.lavanderia_15,dist.lavanderia_16,dist.lavanderia_17,dist.lavanderia_18,dist.lavanderia_19,dist.lavanderia_20,dist.lavanderia_21,dist.lavanderia_22,dist.lavanderia_23,dist.lavanderia_24,dist.lavanderia_25,dist.lavanderia_26,dist.lavanderia_27,dist.lavanderia_28,dist.lavanderia_29,dist.lavanderia_30,dist.lavanderia_31,dist.lavanderia_32,dist.lavanderia_33,dist.lavanderia_34,dist.lavanderia_35,dist.lavanderia_36,dist.lavanderia_37,dist.lavanderia_38,dist.lavanderia_39,dist.lavanderia_40,dist.lavanderia_41,dist.lavanderia_42,dist.lavanderia_43,dist.lavanderia_44,dist.lavanderia_45,dist.lavanderia_46,dist.lavanderia_47,dist.lavanderia_48,attr.lavanderia_0,attr.lavanderia_1,attr.lavanderia_2,attr.lavanderia_3,attr.lavanderia_4,attr.lavanderia_5,attr.lavanderia_6,attr.lavanderia_7,attr.lavanderia_8,attr.lavanderia_9,attr.lavanderia_10,attr.lavanderia_11,attr.lavanderia_12,attr.lavanderia_13,attr.lavanderia_14,attr.lavanderia_15,attr.lavanderia_16,attr.lavanderia_17,attr.lavanderia_18,attr.lavanderia_19,attr.lavanderia_20,attr.lavanderia_21,attr.lavanderia_22,attr.lavanderia_23,attr.lavanderia_24,attr.lavanderia_25,attr.lavanderia_26,attr.lavanderia_27,attr.lavanderia_28,attr.lavanderia_29,attr.lavanderia_30,attr.lavanderia_31,attr.lavanderia_32,attr.lavanderia_33,attr.lavanderia_34,attr.lavanderia_35,attr.lavanderia_36,attr.lavanderia_37,attr.lavanderia_38,attr.lavanderia_39,attr.lavanderia_40,attr.lavanderia_41,attr.lavanderia_42,attr.lavanderia_43,attr.lavanderia_44,attr.lavanderia_45,attr.lavanderia_46,attr.lavanderia_47,attr.lavanderia_48
476,476,Feature,14,12,1412,Polygon,"[[[-0.363989796553488, 39.4868322857321], [-0.363061859586269, 39.48619863562493], [-0.361733301316934, 39.48610991878108], [-0.362080914090456, 39.48541062616882], [-0.362362993327541, 39.48484948007461], [-0.363572464953611, 39.48522376691978], [-0.363541657859925, 39.485385225041924], [-0.364706307159525, 39.48625396323579], [-0.363989796553488, 39.4868322857321]]]",-0.3631662270213276,39.48582823956399,1.9326523153253405,2.7900871897066812,3.887656862873665,3.416480130613299,1.3783681715799867,4.301496163576904,4.341329814531122,2.5742393308957245,4.625688169095046,2.8496296335455065,3.211626110872915,3.6482713074942974,1.6509178989417397,2.238069480320307,4.332776640209769,4.342583467684785,4.861475102824448,3.763606504730842,3.30391848258932,2.124834012422059,3.294184556123101,2.9220565690057265,2.8304538915820796,3.0638938885321343,2.6941260829039435,3.3662736473046486,3.75131333150956,3.2114844142123244,2.5156330849739588,4.509441498452665,3.2222054871973795,2.443582796925795,2.083420788785951,1.2581379508207862,0.5554316940594509,2.2392013968585154,4.336751775455375,1.4276764469564014,2.259171892792333,2.8680014191661054,0.4353811471440793,2.2603791035609295,2.3206259132871923,3.6059860348495767,0.7791223140972208,1.8812635973549785,3.099958832374552,2.802322043590464,2.1136106245944433,0.4538423401090729,0.5270451165096678,0.6494794248884482,0.5284695473094084,0.40059494298463066,0.6562964799206743,0.576797223599405,0.603092464055528,0.6664069693321057,0.5083370299819951,0.6679297400665769,0.6734940505701537,0.7627439491594177,0.5796665840356966,0.7327714427367378,0.6124607502892084,0.6236985622211205,0.7330193356470005,0.6000758260666685,0.563937302162389,0.5564700049578583,0.5618711540144069,0.6445998486548548,0.7248388696083292,0.5244587671459262,0.6776070071062634,0.7644521566683192,0.6399069448152245,0.5273425880019832,0.6043983284935193,0.6490898788866067,0.6764643388341951,0.6845343987867829,0.6874345838153473,0.6296893075524707,0.6629961119954074,0.7326061807965625,0.6842257478102792,0.6938522558254834,0.6767806974053875,0.5862858014568475,0.5796975706494795,0.68608494463725,0.5703740428579298,0.720046273343249,0.8091224590976698,0.6856717897868121,0.799008428358949,1.0
477,477,Feature,5,19,519,Polygon,"[[[-0.371551689710831, 39.486490103254404], [-0.370968280317115, 39.48569764810986], [-0.371997014644056, 39.48413988800819], [-0.372535666795311, 39.48421062706946], [-0.372133783902761, 39.48513844683659], [-0.373238288727384, 39.48519495317786], [-0.373466124237254, 39.484335265081455], [-0.374280202869914, 39.48444375256162], [-0.374071908836173, 39.48466876797306], [-0.373784245619263, 39.48534242586619], [-0.373212325773195, 39.48532499288345], [-0.372733737131479, 39.486688004022234], [-0.372189437511297, 39.48668920798448], [-0.371551689710831, 39.486490103254404]]]",-0.3723572482915738,39.48547212710543,1.271432916850792,2.651108442278519,3.2846876423937883,2.9234739876282725,0.7512878131339571,3.670721981599608,4.248047713522366,2.6949937232467764,4.258898078654238,2.7227933283788515,3.1950748037653973,3.165766238123101,1.1567766510042694,2.746728402802689,4.108652242207673,4.249660302058884,4.143590000019641,3.3597543178894096,3.179605547025692,1.6108966597331202,2.721175776162647,2.3109213551718595,2.8423570740372304,2.291866728903693,2.5726201983104833,3.190846684406814,3.512268843933959,3.1922294551063173,2.365001871433318,4.128652262741398,2.5625615532019896,1.748843683670059,1.3289577386972489,1.9000782671265983,0.27192087153587025,1.4680487469789423,4.102691709400735,2.0326974618884113,2.522410439260057,2.955260438405304,1.0590451162672856,2.781384347225254,2.672473885821509,4.257359789048023,0.9080928594335826,1.266504771145113,3.8689655106608387,3.240193052600816,2.8584715924812354,0.4538423401090729,0.5270451165096678,0.6494794248884482,0.5284695473094084,0.40059494298463066,0.6562964799206743,0.576797223599405,0.603092464055528,0.6664069693321057,0.5083370299819951,0.6679297400665769,0.6734940505701537,0.7627439491594177,0.5796665840356966,0.7327714427367378,0.6124607502892084,0.6236985622211205,0.7330193356470005,0.6000758260666685,0.563937302162389,0.5564700049578583,0.5618711540144069,0.6445998486548548,0.7248388696083292,0.5244587671459262,0.6776070071062634,0.7644521566683192,0.6399069448152245,0.5273425880019832,0.6043983284935193,0.6490898788866067,0.6764643388341951,0.6845343987867829,0.6874345838153473,0.6296893075524707,0.6629961119954074,0.7326061807965625,0.6842257478102792,0.6938522558254834,0.6767806974053875,0.5862858014568475,0.5796975706494795,0.68608494463725,0.5703740428579298,0.720046273343249,0.8091224590976698,0.6856717897868121,0.799008428358949,1.0
478,478,Feature,5,15,515,Polygon,"[[[-0.372733737131479, 39.486688004022234], [-0.373212325773195, 39.48532499288345], [-0.373784245619263, 39.48534242586619], [-0.374071908836173, 39.48466876797306], [-0.374280202869914, 39.48444375256162], [-0.374583739435842, 39.4841398102827], [-0.374862898978706, 39.483884864483535], [-0.374749842269758, 39.48449490424687], [-0.375812341985109, 39.48458647190232], [-0.375677364888591, 39.485412227140166], [-0.376766693217503, 39.48548637458862], [-0.376265404049506, 39.48635340749762], [-0.374809125171924, 39.486491678887276], [-0.372733737131479, 39.486688004022234]]]",-0.3746829737079189,39.48563680639968,1.1529769275475141,2.6805660152346116,3.167021413292248,2.8456235405954255,0.6781976171574613,3.5416106041435813,4.275755590560292,2.7866868779858596,4.211696807336044,2.7544845844945467,3.2494365421767273,3.0894611750236773,1.0616117777219907,2.9129325111325395,4.102545415872743,4.277451443438821,3.980973692178518,3.306728332762866,3.206919231173734,1.545355537300652,2.6176372988164887,2.1969691795378314,2.9072314457785176,2.107746246952378,2.607733387643066,3.204559933979501,3.505945515374423,3.2459555008688104,2.3957022461282516,4.077959589267898,2.4278134075660867,1.571038852537792,1.135085399626203,2.0897635570264015,0.4674311601940869,1.269499865336118,4.093900180933595,2.2172472155510166,2.6460692902765155,3.036541455798022,1.2548993694209798,2.9494123293436236,2.811668928202252,4.442330317189821,1.0171720046005275,1.1227863184589435,4.069053772718427,3.391426752023645,3.056898113728262,0.4538423401090729,0.5270451165096678,0.6494794248884482,0.5284695473094084,0.40059494298463066,0.6562964799206743,0.576797223599405,0.603092464055528,0.6664069693321057,0.5083370299819951,0.6679297400665769,0.6734940505701537,0.7627439491594177,0.5796665840356966,0.7327714427367378,0.6124607502892084,0.6236985622211205,0.7330193356470005,0.6000758260666685,0.563937302162389,0.5564700049578583,0.5618711540144069,0.6445998486548548,0.7248388696083292,0.5244587671459262,0.6776070071062634,0.7644521566683192,0.6399069448152245,0.5273425880019832,0.6043983284935193,0.6490898788866067,0.6764643388341951,0.6845343987867829,0.6874345838153473,0.6296893075524707,0.6629961119954074,0.7326061807965625,0.6842257478102792,0.6938522558254834,0.6767806974053875,0.5862858014568475,0.5796975706494795,0.68608494463725,0.5703740428579298,0.720046273343249,0.8091224590976698,0.6856717897868121,0.799008428358949,1.0
479,479,Feature,4,14,414,Polygon,"[[[-0.390171843588159, 39.48706749592979], [-0.388949940406461, 39.486729241561484], [-0.389224039475717, 39.485929118542565], [-0.390115672563883, 39.48553925240559], [-0.390466854458019, 39.48603811675387], [-0.390653093819686, 39.48610986499818], [-0.390171843588159, 39.48706749592979]]]",-0.38981235350004717,39.48633328764171,1.1573108874610225,3.1526930730065668,2.615985296168081,2.630206003825715,1.2965929419994515,2.86849262366998,4.6279721659027215,3.5745807983179034,4.09363810713246,3.231536066412418,3.8115642309297866,2.857101037330062,1.3385102027614733,4.050804464748513,4.256700105383983,4.630088121220567,3.0059079566197036,3.2138880889693757,3.6204278091788704,1.696052381364433,2.2429857345593276,1.815185377335912,3.549616747273581,1.0343289673943765,3.1181114926004483,3.5394293636168204,3.696896887483382,3.8048193182356607,2.9062498797466767,3.9441502145318066,1.8257313665738193,0.8100656553974893,0.41135688971815865,3.3430537826991165,1.761531750324073,0.2350142495935677,4.23169653698279,3.447938964186197,3.596164416493867,3.7558455912676467,2.539162259972955,4.09499244002589,3.827143893181256,5.655653608080573,2.1015967421824655,1.0273822904010013,5.365823365682823,4.447504596334467,4.344696317088468,0.4538423401090729,0.5270451165096678,0.6494794248884482,0.5284695473094084,0.40059494298463066,0.6562964799206743,0.576797223599405,0.603092464055528,0.6664069693321057,0.5083370299819951,0.6679297400665769,0.6734940505701537,0.7627439491594177,0.5796665840356966,0.7327714427367378,0.6124607502892084,0.6236985622211205,0.7330193356470005,0.6000758260666685,0.563937302162389,0.5564700049578583,0.5618711540144069,0.6445998486548548,0.7248388696083292,0.5244587671459262,0.6776070071062634,0.7644521566683192,0.6399069448152245,0.5273425880019832,0.6043983284935193,0.6490898788866067,0.6764643388341951,0.6845343987867829,0.6874345838153473,0.6296893075524707,0.6629961119954074,0.7326061807965625,0.6842257478102792,0.6938522558254834,0.6767806974053875,0.5862858014568475,0.5796975706494795,0.68608494463725,0.5703740428579298,0.720046273343249,0.8091224590976698,0.6856717897868121,0.799008428358949,1.0
480,480,Feature,5,22,522,Polygon,"[[[-0.368855926451619, 39.4862579211748], [-0.36869499419972, 39.48655606919132], [-0.367607508395623, 39.48627919118408], [-0.366553246321576, 39.48600756040388], [-0.367031462297673, 39.484946359178146], [-0.36822893735665, 39.485023037463726], [-0.370610659722067, 39.48518056198752], [-0.369831267711036, 39.486329552396576], [-0.369439882634296, 39.48622610013569], [-0.369333636171882, 39.486403869261984], [-0.368855926451619, 39.4862579211748]]]",-0.3684956507113261,39.485674208105344,1.5379540264587168,2.6879677377520466,3.5330656125879583,3.1205206687791867,0.9904453089379559,3.932505801287772,4.275537077863041,2.6217046421353687,4.404787547040026,2.755078490898058,3.1840282828257447,3.3591372319337505,1.3256288566703922,2.5195499586158716,4.191833097007399,4.277003092023248,4.4449492638961186,3.518672110211601,3.214616315212051,1.8073325134786518,2.953999258988977,2.559733496898094,2.816245271966549,2.6164687469540904,2.6010338963263258,3.248093373522316,3.59919275456038,3.1823107119461485,2.4037173546356265,4.280279253250131,2.835080794975502,2.0297382509193547,1.6404262608828577,1.6174269978764337,0.147904031477015,1.7890671523942305,4.190154818834784,1.7640925644076446,2.3889488001042243,2.89848333909978,0.7629773702764,2.5497490993548677,2.505391016068204,3.980569351589198,0.7566576733790163,1.5015386187752429,3.545764430135981,3.0435491318874264,2.54380306916182,0.4538423401090729,0.5270451165096678,0.6494794248884482,0.5284695473094084,0.40059494298463066,0.6562964799206743,0.576797223599405,0.603092464055528,0.6664069693321057,0.5083370299819951,0.6679297400665769,0.6734940505701537,0.7627439491594177,0.5796665840356966,0.7327714427367378,0.6124607502892084,0.6236985622211205,0.7330193356470005,0.6000758260666685,0.563937302162389,0.5564700049578583,0.5618711540144069,0.6445998486548548,0.7248388696083292,0.5244587671459262,0.6776070071062634,0.7644521566683192,0.6399069448152245,0.5273425880019832,0.6043983284935193,0.6490898788866067,0.6764643388341951,0.6845343987867829,0.6874345838153473,0.6296893075524707,0.6629961119954074,0.7326061807965625,0.6842257478102792,0.6938522558254834,0.6767806974053875,0.5862858014568475,0.5796975706494795,0.68608494463725,0.5703740428579298,0.720046273343249,0.8091224590976698,0.6856717897868121,0.799008428358949,1.0
481,481,Feature,11,33,1133,Polygon,"[[[-0.331507170227442, 39.48562150327623], [-0.330838830156565, 39.485389911410245], [-0.330367069506939, 39.48499617784794], [-0.32920990984595, 39.48462719903248], [-0.329375817443703, 39.48384274791535], [-0.32967247552876, 39.482489247260546], [-0.329121002914586, 39.482413485306694], [-0.329455282944372, 39.48091220589476], [-0.329662424043158, 39.479980058346335], [-0.329850603988952, 39.478916845895995], [-0.330376704251085, 39.47893346381359], [-0.332762365332138, 39.4791505224848], [-0.332542268582894, 39.48046074632994], [-0.331507170227442, 39.48562150327623]]]",-0.33086737798594323,39.481935045776495,4.4921915915264234,4.1755560577063875,6.129625361094558,5.457433261872805,3.987983547833961,6.581230353588011,5.179895834450891,3.3941734904951173,6.188937672338575,4.185258383621346,4.135279837712206,5.63310282624016,4.3355445025671395,2.021410904939769,5.549639249433326,5.1798181053662615,7.350318477091196,5.544634854211558,4.487443763867375,4.433457765450495,5.526540120369818,5.276003672785842,3.8230824582635816,5.759656380233668,4.073417040926711,4.6642583800029005,5.121387476706509,4.142665160285548,4.028930091692704,6.125278300761827,5.648057217900178,5.221712367162391,4.8890456282137835,1.886780104655884,3.3225291421990764,5.044996821580201,5.580540156596501,1.8883112449855826,2.869416181602383,3.637378100432354,2.5591525264380532,1.970318891761126,2.6078444099232323,1.6453714383681073,3.2765408730104744,4.626876160067375,0.333521552995877,2.4186526162050472,0.8357834719675177,0.4538423401090729,0.5270451165096678,0.6494794248884482,0.5284695473094084,0.40059494298463066,0.6562964799206743,0.576797223599405,0.603092464055528,0.6664069693321057,0.5083370299819951,0.6679297400665769,0.6734940505701537,0.7627439491594177,0.5796665840356966,0.7327714427367378,0.6124607502892084,0.6236985622211205,0.7330193356470005,0.6000758260666685,0.563937302162389,0.5564700049578583,0.5618711540144069,0.6445998486548548,0.7248388696083292,0.5244587671459262,0.6776070071062634,0.7644521566683192,0.6399069448152245,0.5273425880019832,0.6043983284935193,0.6490898788866067,0.6764643388341951,0.6845343987867829,0.6874345838153473,0.6296893075524707,0.6629961119954074,0.7326061807965625,0.6842257478102792,0.6938522558254834,0.6767806974053875,0.5862858014568475,0.5796975706494795,0.68608494463725,0.5703740428579298,0.720046273343249,0.8091224590976698,0.6856717897868121,0.799008428358949,1.0
