,type,properties.coddistrit,properties.codsec,properties.coddistsec,geometry.type,geometry.coordinates
10,Feature,9,33,0933,Polygon,"[[[-0.390425062107173, 39.445497723316464], [-0.389427115151754, 39.445268104939714], [-0.389663436042297, 39.444638294096244], [-0.390064740728673, 39.44361580155187], [-0.391055411162359, 39.443845251048934], [-0.390683372997409, 39.44482336026711], [-0.390425062107173, 39.445497723316464]]]"
11,Feature,9,34,0934,Polygon,"[[[-0.392978433407479, 39.445361349678116], [-0.391863208606344, 39.44510209454868], [-0.390683372997409, 39.44482336026711], [-0.391055411162359, 39.443845251048934], [-0.393356632086361, 39.44439238006773], [-0.392978433407479, 39.445361349678116]]]"
12,Feature,9,32,0932,Polygon,"[[[-0.388019480372791, 39.44449775070866], [-0.387151378450997, 39.44431157103586], [-0.387645585712548, 39.443038935366815], [-0.390064740728673, 39.44361580155187], [-0.389663436042297, 39.444638294096244], [-0.388093592540733, 39.44428320558979], [-0.388019480372791, 39.44449775070866]]]"
13,Feature,10,31,1031,Polygon,"[[[-0.367818766654678, 39.4439202892036], [-0.365804929817748, 39.44338367411767], [-0.364472395893869, 39.44305617365386], [-0.364688142482695, 39.44251605048922], [-0.364795394361698, 39.44204103047687], [-0.364834742824932, 39.44174914542902], [-0.365376199421205, 39.44191006392108], [-0.365449980053795, 39.44160995077107], [-0.365388210882978, 39.441572516165124], [-0.365377319658846, 39.4414956966745], [-0.365442121420545, 39.441375550659025], [-0.365542346304355, 39.44099045586816], [-0.369514829210018, 39.44148132962148], [-0.369426740497832, 39.44220001875009], [-0.368777620095777, 39.442140279411454], [-0.368741623044711, 39.44245926744129], [-0.36822215856088, 39.44315917802019], [-0.367818766654678, 39.4439202892036]]]"
14,Feature,9,30,0930,Polygon,"[[[-0.393356632086361, 39.44439238006773], [-0.391055411162359, 39.443845251048934], [-0.390064740728673, 39.44361580155187], [-0.387645585712548, 39.443038935366815], [-0.388017242689654, 39.442092382468275], [-0.389036393381775, 39.44233599615737], [-0.390436300042028, 39.442340416706934], [-0.392299692075669, 39.44224261527957], [-0.393545276735777, 39.441887696561395], [-0.394304998445699, 39.441922751946606], [-0.393718700579773, 39.44342755166821], [-0.393356632086361, 39.44439238006773]]]"
15,Feature,19,11,1911,Polygon,"[[[-0.39300720196749, 39.43834877049177], [-0.389833333093427, 39.43751179480839], [-0.391599097707997, 39.43304715553013], [-0.392444809146164, 39.43103019591758], [-0.394016372092711, 39.43138975746206], [-0.393148242704347, 39.433658466155855], [-0.393516375496863, 39.43377482669409], [-0.393185489809594, 39.43423585076712], [-0.392095277108434, 39.43408977384988], [-0.391576611626101, 39.435397889384014], [-0.393737724744437, 39.43570312280911], [-0.39300720196749, 39.43834877049177]]]"
16,Feature,19,13,1913,Polygon,"[[[-0.389833333093427, 39.43751179480839], [-0.387155068200683, 39.43719035726011], [-0.388612013926224, 39.4334350025464], [-0.389318203578344, 39.433617528259674], [-0.389515064218595, 39.43258596445956], [-0.391599097707997, 39.43304715553013], [-0.389833333093427, 39.43751179480839]]]"
17,Feature,19,1,1901,Polygon,"[[[-0.387155068200683, 39.43719035726011], [-0.385125011862506, 39.43699154876897], [-0.382072141045553, 39.436688589938115], [-0.378091576960116, 39.4363015636158], [-0.370173741520484, 39.43551907369627], [-0.3705942805332, 39.43343410192334], [-0.37060241985682, 39.43225416563626], [-0.370723075270685, 39.43055427870095], [-0.370920158116015, 39.42936960807456], [-0.371471306503947, 39.428017278940885], [-0.372328180257413, 39.42612233754493], [-0.373685915003139, 39.42662147462646], [-0.374311187892043, 39.42669415934795], [-0.375120727139345, 39.42684757568654], [-0.375821755421792, 39.42697151047754], [-0.376569648412311, 39.42712352471508], [-0.377017833125551, 39.42729129134534], [-0.377911391335568, 39.42772134600084], [-0.378567010344367, 39.428010898264894], [-0.379041211363811, 39.42833689397622], [-0.37925644577056, 39.428463363726564], [-0.380052351034399, 39.42898128552019], [-0.380431753645476, 39.429318651236414], [-0.381229410055126, 39.42980957883458], [-0.382024996572537, 39.430336488672545], [-0.382439035373937, 39.43060255963938], [-0.382896469190494, 39.43095068356944], [-0.383403091720573, 39.43124586185258], [-0.383970072278559, 39.43159644813475], [-0.384804850956604, 39.43204764857992], [-0.385577391467752, 39.43235781003466], [-0.386287212049959, 39.432675564318856], [-0.386581452059092, 39.432767763298905], [-0.387156772662163, 39.43291582886973], [-0.388612013926224, 39.4334350025464], [-0.387155068200683, 39.43719035726011]]]"
18,Feature,19,2,1902,Polygon,"[[[-0.365555343221881, 39.43514420776001], [-0.362134976855269, 39.43480987264401], [-0.361389600399834, 39.434666830725995], [-0.363122575478717, 39.431616236823366], [-0.363436502810677, 39.430186496516505], [-0.36537186842087, 39.43048262949885], [-0.366949578997754, 39.43104088371832], [-0.367322148706327, 39.43065294850895], [-0.367972124436418, 39.43114962921493], [-0.368600677608762, 39.431289983431284], [-0.369265780474145, 39.43180952090667], [-0.37060241985682, 39.43225416563626], [-0.3705942805332, 39.43343410192334], [-0.370173741520484, 39.43551907369627], [-0.365555343221881, 39.43514420776001]]]"
19,Feature,19,15,1915,Polygon,"[[[-0.359081986831602, 39.43392075305194], [-0.361277646976951, 39.429849222720904], [-0.363436502810677, 39.430186496516505], [-0.363122575478717, 39.431616236823366], [-0.361389600399834, 39.434666830725995], [-0.359081986831602, 39.43392075305194]]]"
