,type,properties.coddistrit,properties.codsec,properties.coddistsec,geometry.type,geometry.coordinates
90,Feature,10,15,1015,Polygon,"[[[-0.372669396385766, 39.45711531899727], [-0.371719562045337, 39.45707131599311], [-0.371721964532789, 39.45694975193528], [-0.371537814399796, 39.45599516102747], [-0.372696665649453, 39.45625559793439], [-0.372692256738694, 39.45677800699065], [-0.372669396385766, 39.45711531899727]]]"
91,Feature,10,16,1016,Polygon,"[[[-0.375768740145574, 39.456919599676404], [-0.372696665649453, 39.45625559793439], [-0.371537814399796, 39.45599516102747], [-0.371450497493562, 39.45549770332506], [-0.37402253335284, 39.45541622328431], [-0.374154463286769, 39.455635415356596], [-0.374729982347323, 39.45539617421919], [-0.375511533485837, 39.4565354219885], [-0.375768740145574, 39.456919599676404]]]"
92,Feature,9,12,0912,Polygon,"[[[-0.383903599914448, 39.456260718069956], [-0.384162929578536, 39.45501884080243], [-0.384472384307422, 39.45354386273617], [-0.385535234314964, 39.45378849734956], [-0.386968718948993, 39.45472612502187], [-0.387245463024033, 39.45488099302716], [-0.38688083110331, 39.45538629384374], [-0.38654227802292, 39.45531111380381], [-0.386202130360105, 39.4566367619013], [-0.383903599914448, 39.456260718069956]]]"
93,Feature,8,20,0820,Polygon,"[[[-0.402614625903777, 39.45529763327101], [-0.405002725525682, 39.45441858122624], [-0.405547212677358, 39.45524603511898], [-0.404593220639717, 39.45607606069748], [-0.403649077555482, 39.456991881783615], [-0.402614625903777, 39.45529763327101]]]"
94,Feature,9,7,0907,Polygon,"[[[-0.390290242060668, 39.456471901175355], [-0.388653555045015, 39.45661530583981], [-0.387061738968298, 39.455966923972994], [-0.38688083110331, 39.45538629384374], [-0.387245463024033, 39.45488099302716], [-0.388629862274251, 39.45552020672695], [-0.390318769840574, 39.45642749799869], [-0.390290242060668, 39.456471901175355]]]"
95,Feature,10,47,1047,Polygon,"[[[-0.377182238425653, 39.45635693559293], [-0.375452552564971, 39.45393055399985], [-0.376637989484083, 39.45344382358711], [-0.37715887904471, 39.45419430231142], [-0.378174269840247, 39.45407758192607], [-0.377911241231218, 39.455067116437895], [-0.378433989009587, 39.45582664006517], [-0.377182238425653, 39.45635693559293]]]"
96,Feature,8,31,0831,Polygon,"[[[-0.390318769840574, 39.45642749799869], [-0.390863747407827, 39.45562444198285], [-0.391269788511624, 39.45502096166784], [-0.391709434156412, 39.45437319028243], [-0.391947115619035, 39.4540181740356], [-0.394178642099239, 39.454924074112384], [-0.393573302679181, 39.45627532759471], [-0.390290242060668, 39.456471901175355], [-0.390318769840574, 39.45642749799869]]]"
97,Feature,10,52,1052,Polygon,"[[[-0.359313703736812, 39.455001795956974], [-0.358886167565981, 39.45443803954924], [-0.359712877073697, 39.4540874683537], [-0.359176954494736, 39.45341314480733], [-0.36054243824591, 39.452854096529286], [-0.360747630279761, 39.45315154249931], [-0.361572990642669, 39.45435494011944], [-0.361512045935849, 39.45443013076866], [-0.360679204849139, 39.45544271995191], [-0.360106526451453, 39.45466396501773], [-0.359319900323848, 39.45501094555114], [-0.359313703736812, 39.455001795956974]]]"
98,Feature,2,32,0232,Polygon,"[[[-0.378726199305431, 39.46131506999588], [-0.378092600153995, 39.460372871427865], [-0.377230501452175, 39.45913272677101], [-0.376295364288354, 39.457904439550056], [-0.374641489617212, 39.45861931509714], [-0.373967104435398, 39.457662659213064], [-0.375768740145574, 39.456919599676404], [-0.377182238425653, 39.45635693559293], [-0.378433989009587, 39.45582664006517], [-0.379835745550156, 39.45522764340044], [-0.381238918735626, 39.45462866159628], [-0.378726199305431, 39.46131506999588]]]"
99,Feature,8,38,0838,Polygon,"[[[-0.400626107670027, 39.46177101928611], [-0.400097318591692, 39.46102947770489], [-0.400512076671623, 39.460619849114764], [-0.403856780090627, 39.46046940812466], [-0.404558526194987, 39.46162019124842], [-0.403404036083816, 39.46166646803534], [-0.400626107670027, 39.46177101928611]]]"
100,Feature,10,2,1002,Polygon,"[[[-0.366278824117706, 39.46089846436847], [-0.366120967685024, 39.46096245189025], [-0.365446732386166, 39.460023768027966], [-0.366543697927026, 39.45963423214989], [-0.368800292635111, 39.45882952181751], [-0.369244353697054, 39.45963234816701], [-0.368267576372611, 39.46005165820505], [-0.366278824117706, 39.46089846436847]]]"
101,Feature,10,6,1006,Polygon,"[[[-0.363683558564094, 39.46083960907103], [-0.363411474571823, 39.46071632149443], [-0.362787544919583, 39.46042739468997], [-0.364085541444894, 39.45883076596636], [-0.364015883120211, 39.45869405423262], [-0.364071363190763, 39.45860972958136], [-0.364104613765694, 39.458556431297644], [-0.364341471702576, 39.4584582034705], [-0.365413033487171, 39.459973455735664], [-0.363877450844954, 39.46053320585082], [-0.363683558564094, 39.46083960907103]]]"
102,Feature,2,31,0231,Polygon,"[[[-0.378092600153995, 39.460372871427865], [-0.376406187409808, 39.46108253314766], [-0.375545066631679, 39.459855911391884], [-0.377230501452175, 39.45913272677101], [-0.378092600153995, 39.460372871427865]]]"
103,Feature,2,25,0225,Polygon,"[[[-0.374324212043379, 39.46037336015945], [-0.372969052033134, 39.46094631651422], [-0.372094102756323, 39.459683321610086], [-0.373443438623123, 39.45911024366398], [-0.374324212043379, 39.46037336015945]]]"
104,Feature,8,29,0829,Polygon,"[[[-0.399623006948807, 39.46071706981952], [-0.398737367678346, 39.46152154949068], [-0.397835900872743, 39.46064553103199], [-0.395582867591735, 39.458752758007726], [-0.397456108090464, 39.45715513186381], [-0.399019172063843, 39.45826668003957], [-0.399380806833022, 39.458288287648344], [-0.399415183624283, 39.45861337314453], [-0.400457501476584, 39.45933487713066], [-0.399857628703898, 39.45989801703639], [-0.400236516460766, 39.46015874071907], [-0.399623006948807, 39.46071706981952]]]"
105,Feature,11,2,1102,Polygon,"[[[-0.340069974107369, 39.46006659049446], [-0.335722181362824, 39.45926404665326], [-0.335002166878814, 39.458851105665964], [-0.332686330317688, 39.45933386151524], [-0.331730792323747, 39.45742451588055], [-0.33017381330627, 39.45553734246971], [-0.330166927505117, 39.45484350212279], [-0.330891093590377, 39.454062898497924], [-0.332411881858465, 39.4548816821554], [-0.333259369220332, 39.4548651500865], [-0.334591062913787, 39.4547786690854], [-0.334663800060209, 39.454775837452644], [-0.33730984556635, 39.454561890122456], [-0.339305133744939, 39.45432844062394], [-0.341404355707313, 39.45409283707265], [-0.340884460994592, 39.45775199857834], [-0.340839114983441, 39.457836541875714], [-0.340620714428712, 39.45825044044625], [-0.340069974107369, 39.46006659049446]]]"
106,Feature,9,1,0901,Polygon,"[[[-0.385794310622669, 39.46106891307537], [-0.385770263087908, 39.46103233695142], [-0.38462752814817, 39.459407564134736], [-0.385649229814907, 39.45887201268111], [-0.385845535346057, 39.458052126439625], [-0.38679314366018, 39.458195060327036], [-0.386809543221877, 39.457970209756816], [-0.387594727556297, 39.45828065086494], [-0.386905275055776, 39.459080442044254], [-0.386815449680508, 39.45983065456443], [-0.386551640810724, 39.460203089753], [-0.385794310622669, 39.46106891307537]]]"
107,Feature,2,22,0222,Polygon,"[[[-0.371685818103727, 39.459858766610836], [-0.369678409291765, 39.46070070483847], [-0.369244353697054, 39.45963234816701], [-0.371340560038154, 39.458765399840296], [-0.371441515375031, 39.45872714425614], [-0.372094102756323, 39.459683321610086], [-0.371685818103727, 39.459858766610836]]]"
108,Feature,10,7,1007,Polygon,"[[[-0.361253047691203, 39.459631315911146], [-0.3622058164577, 39.45846379258659], [-0.362627033501519, 39.45794634143831], [-0.364071363190763, 39.45860972958136], [-0.364015883120211, 39.45869405423262], [-0.364085541444894, 39.45883076596636], [-0.362787544919583, 39.46042739468997], [-0.361253047691203, 39.459631315911146]]]"
109,Feature,8,17,0817,Polygon,"[[[-0.393354447882984, 39.46095047828005], [-0.391961988476357, 39.460153486455134], [-0.393153823677699, 39.45906764761971], [-0.39417750858492, 39.460072566220354], [-0.393354447882984, 39.46095047828005]]]"
110,Feature,10,40,1040,Polygon,"[[[-0.357882425558296, 39.460081732557185], [-0.355075762103711, 39.459315194353884], [-0.354105278711064, 39.45876158208636], [-0.352661200976744, 39.457940422618684], [-0.350551072248866, 39.45660403638205], [-0.349049274224546, 39.45548864389826], [-0.348999112553646, 39.455451461456526], [-0.348154193326168, 39.4549411539568], [-0.3473249091321, 39.45444020649798], [-0.346251426624754, 39.454154376611406], [-0.345567269630736, 39.45403961233277], [-0.346604819321227, 39.45244178988217], [-0.346821630755956, 39.452221534018236], [-0.34708150543893, 39.45195721965238], [-0.348192568782235, 39.45226642482491], [-0.348268071302916, 39.45228616999201], [-0.351726232587755, 39.45332915163502], [-0.366314287807123, 39.447093325419985], [-0.366345324936158, 39.4470985332881], [-0.366531460262073, 39.44711176078005], [-0.367461516902115, 39.44713734020377], [-0.367862899486176, 39.44760588102213], [-0.367076505884432, 39.447930398208875], [-0.36651119755454, 39.44859324576691], [-0.365893743927094, 39.44936751809213], [-0.364946841636186, 39.45055772877306], [-0.364486503437713, 39.45107430174926], [-0.363231197846459, 39.45248722612805], [-0.362370176774001, 39.45345864893424], [-0.362595200533386, 39.453846629529735], [-0.361665042312566, 39.45424442068522], [-0.361572990642669, 39.45435494011944], [-0.360747630279761, 39.45315154249931], [-0.36054243824591, 39.452854096529286], [-0.359176954494736, 39.45341314480733], [-0.359712877073697, 39.4540874683537], [-0.358886167565981, 39.45443803954924], [-0.359313703736812, 39.455001795956974], [-0.35587230467107, 39.456464032709256], [-0.357978291287215, 39.45864251057856], [-0.358009030918785, 39.458674740206824], [-0.358386737111464, 39.4590391739637], [-0.35910892251463, 39.459456480301036], [-0.359004104568419, 39.45969283008421], [-0.357882425558296, 39.460081732557185]]]"
111,Feature,2,24,0224,Polygon,"[[[-0.375545066631679, 39.459855911391884], [-0.374324212043379, 39.46037336015945], [-0.373443438623123, 39.45911024366398], [-0.374641489617212, 39.45861931509714], [-0.375545066631679, 39.459855911391884]]]"
112,Feature,8,18,0818,Polygon,"[[[-0.390205567235804, 39.46069961996335], [-0.388889296307371, 39.45994484205655], [-0.388211457374711, 39.45956024804159], [-0.389035190799414, 39.45833554969668], [-0.390290242060668, 39.456471901175355], [-0.392108992530705, 39.45814332434175], [-0.391004130100439, 39.45962298721178], [-0.390205567235804, 39.46069961996335]]]"
113,Feature,10,5,1005,Polygon,"[[[-0.365413033487171, 39.459973455735664], [-0.364341471702576, 39.4584582034705], [-0.363152702954262, 39.45677812356885], [-0.364196513893546, 39.456333350697754], [-0.364769893741592, 39.45715264082953], [-0.36575515164354, 39.45854881883634], [-0.366543697927026, 39.45963423214989], [-0.365446732386166, 39.460023768027966], [-0.365413033487171, 39.459973455735664]]]"
114,Feature,10,9,1009,Polygon,"[[[-0.3622058164577, 39.45846379258659], [-0.361253047691203, 39.459631315911146], [-0.360134955834985, 39.45804289823009], [-0.361322181715558, 39.45755186145792], [-0.361395223162874, 39.45752198947904], [-0.361971181216859, 39.45836837807239], [-0.3622058164577, 39.45846379258659]]]"
115,Feature,10,11,1011,Polygon,"[[[-0.35910892251463, 39.459456480301036], [-0.358386737111464, 39.4590391739637], [-0.358824160048868, 39.45853561835265], [-0.360134955834985, 39.45804289823009], [-0.361253047691203, 39.459631315911146], [-0.35910892251463, 39.459456480301036]]]"
116,Feature,2,20,0220,Polygon,"[[[-0.377230501452175, 39.45913272677101], [-0.375545066631679, 39.459855911391884], [-0.374641489617212, 39.45861931509714], [-0.376295364288354, 39.457904439550056], [-0.377230501452175, 39.45913272677101]]]"
117,Feature,10,3,1003,Polygon,"[[[-0.368800292635111, 39.45882952181751], [-0.366543697927026, 39.45963423214989], [-0.36575515164354, 39.45854881883634], [-0.366743579695762, 39.457800973883685], [-0.367960673319549, 39.45709433541449], [-0.368002613761612, 39.45717636436391], [-0.368378555353331, 39.45795512917559], [-0.368542359454244, 39.45829216338732], [-0.368800292635111, 39.45882952181751]]]"
118,Feature,9,41,0941,Polygon,"[[[-0.383293685202127, 39.45997661694799], [-0.382995970396916, 39.459915859376345], [-0.383538773506876, 39.45779750857259], [-0.385845535346057, 39.458052126439625], [-0.385649229814907, 39.45887201268111], [-0.38462752814817, 39.459407564134736], [-0.383293685202127, 39.45997661694799]]]"
119,Feature,8,16,0816,Polygon,"[[[-0.391961988476357, 39.460153486455134], [-0.391004130100439, 39.45962298721178], [-0.392108992530705, 39.45814332434175], [-0.393153823677699, 39.45906764761971], [-0.391961988476357, 39.460153486455134]]]"
120,Feature,10,13,1013,Polygon,"[[[-0.368800292635111, 39.45882952181751], [-0.368542359454244, 39.45829216338732], [-0.368378555353331, 39.45795512917559], [-0.368002613761612, 39.45717636436391], [-0.371270669582333, 39.45697557799602], [-0.371617770278265, 39.456996943286384], [-0.371719562045337, 39.45707131599311], [-0.37170380695887, 39.4578952620607], [-0.371340560038154, 39.458765399840296], [-0.369244353697054, 39.45963234816701], [-0.368800292635111, 39.45882952181751]]]"
121,Feature,2,23,0223,Polygon,"[[[-0.373443438623123, 39.45911024366398], [-0.372094102756323, 39.459683321610086], [-0.371441515375031, 39.45872714425614], [-0.373967104435398, 39.457662659213064], [-0.374641489617212, 39.45861931509714], [-0.373443438623123, 39.45911024366398]]]"
122,Feature,3,47,0347,Polygon,"[[[-0.385770263087908, 39.46103233695142], [-0.385238501586034, 39.46173206465538], [-0.383844513492183, 39.46088088871372], [-0.382825469296933, 39.46056965942264], [-0.382995970396916, 39.459915859376345], [-0.383293685202127, 39.45997661694799], [-0.38462752814817, 39.459407564134736], [-0.385770263087908, 39.46103233695142]]]"
123,Feature,8,27,0827,Polygon,"[[[-0.395432085577302, 39.45923134790322], [-0.39417750858492, 39.460072566220354], [-0.393153823677699, 39.45906764761971], [-0.394299775080206, 39.45800328926232], [-0.394129957804548, 39.45751300688513], [-0.393107824806442, 39.456836942930224], [-0.393573302679181, 39.45627532759471], [-0.394709556825677, 39.456228739453024], [-0.395802997217449, 39.456064066474156], [-0.39677576675835, 39.45570749532028], [-0.397436913192316, 39.455253848815275], [-0.398304390766607, 39.45458410329355], [-0.399493902988611, 39.45546656549169], [-0.399095971612504, 39.455795488404824], [-0.397456108090464, 39.45715513186381], [-0.395582867591735, 39.458752758007726], [-0.395432085577302, 39.45923134790322]]]"
124,Feature,8,30,0830,Polygon,"[[[-0.400457501476584, 39.45933487713066], [-0.399415183624283, 39.45861337314453], [-0.399380806833022, 39.458288287648344], [-0.399019172063843, 39.45826668003957], [-0.397456108090464, 39.45715513186381], [-0.399095971612504, 39.455795488404824], [-0.402352103173479, 39.45821511510911], [-0.400236516460766, 39.46015874071907], [-0.399857628703898, 39.45989801703639], [-0.400457501476584, 39.45933487713066]]]"
125,Feature,10,37,1037,Polygon,"[[[-0.358386737111464, 39.4590391739637], [-0.358009030918785, 39.458674740206824], [-0.358626996275918, 39.45789151428619], [-0.360430331871384, 39.45574336467672], [-0.360679204849139, 39.45544271995191], [-0.361512045935849, 39.45443013076866], [-0.363152702954262, 39.45677812356885], [-0.361395223162874, 39.45752198947904], [-0.361322181715558, 39.45755186145792], [-0.360134955834985, 39.45804289823009], [-0.358824160048868, 39.45853561835265], [-0.358386737111464, 39.4590391739637]]]"
126,Feature,9,4,0904,Polygon,"[[[-0.386905275055776, 39.459080442044254], [-0.387594727556297, 39.45828065086494], [-0.386809543221877, 39.457970209756816], [-0.386854151898224, 39.45745771274124], [-0.389035190799414, 39.45833554969668], [-0.388211457374711, 39.45956024804159], [-0.386905275055776, 39.459080442044254]]]"
127,Feature,8,36,0836,Polygon,"[[[-0.399552439789584, 39.4638009963139], [-0.399441841637217, 39.46222648982958], [-0.399039113642874, 39.4618255939196], [-0.400626107670027, 39.46177101928611], [-0.400748515617745, 39.46293138534144], [-0.400807951439851, 39.46373449587989], [-0.400711091256584, 39.46374133792072], [-0.399552439789584, 39.4638009963139]]]"
128,Feature,11,4,1104,Polygon,"[[[-0.337752300679157, 39.46236918575018], [-0.334364859001452, 39.461827381964426], [-0.33254693722083, 39.46153781874988], [-0.33185873221353, 39.461071537512375], [-0.333050330904723, 39.460053935438275], [-0.335375788240338, 39.460747044526485], [-0.338599392228994, 39.4617174815763], [-0.338541801534891, 39.46176120332466], [-0.337752300679157, 39.46236918575018]]]"
129,Feature,8,26,0826,Polygon,"[[[-0.400807951439851, 39.46373449587989], [-0.400748515617745, 39.46293138534144], [-0.40346966057858, 39.462812049274255], [-0.405241528781176, 39.46274802951514], [-0.405694735001574, 39.46349236455644], [-0.405619084956123, 39.46349517986958], [-0.405592956306698, 39.46349459647107], [-0.400807951439851, 39.46373449587989]]]"
130,Feature,12,29,1229,Polygon,"[[[-0.344760036032372, 39.46189930586888], [-0.345513036632504, 39.460358033201665], [-0.347647226968459, 39.460888858001205], [-0.347452202012337, 39.46128078119079], [-0.346545433128923, 39.46103931224991], [-0.34594880292668, 39.46225084660188], [-0.344760036032372, 39.46189930586888]]]"
131,Feature,12,41,1241,Polygon,"[[[-0.351556726934824, 39.46205027288339], [-0.347647226968459, 39.460888858001205], [-0.347883825573033, 39.46058797348134], [-0.348249657349498, 39.459695466290505], [-0.348369170325708, 39.45905407331928], [-0.348356173033216, 39.45815289882215], [-0.347629561450111, 39.45664982537724], [-0.347404613726254, 39.45633837887219], [-0.348154193326168, 39.4549411539568], [-0.348999112553646, 39.455451461456526], [-0.349049274224546, 39.45548864389826], [-0.350551072248866, 39.45660403638205], [-0.352661200976744, 39.457940422618684], [-0.354105278711064, 39.45876158208636], [-0.352520615002874, 39.46233799775563], [-0.351556726934824, 39.46205027288339]]]"
132,Feature,8,24,0824,Polygon,"[[[-0.405694735001574, 39.46349236455644], [-0.405241528781176, 39.46274802951514], [-0.404558526194987, 39.46162019124842], [-0.403856780090627, 39.46046940812466], [-0.400512076671623, 39.460619849114764], [-0.400097318591692, 39.46102947770489], [-0.399623006948807, 39.46071706981952], [-0.400236516460766, 39.46015874071907], [-0.402352103173479, 39.45821511510911], [-0.403649077555482, 39.456991881783615], [-0.404593220639717, 39.45607606069748], [-0.405547212677358, 39.45524603511898], [-0.407289663145784, 39.45391559737147], [-0.409208590991852, 39.45230981095977], [-0.414744992236233, 39.46009964771593], [-0.413416809180305, 39.46312855429324], [-0.413065407114722, 39.46314325026055], [-0.40841841747005, 39.46336397450893], [-0.407596256450916, 39.4633996800333], [-0.405694735001574, 39.46349236455644]]]"
133,Feature,8,40,0840,Polygon,"[[[-0.388410396078139, 39.462280864570154], [-0.388259586137332, 39.462079281888904], [-0.390729128062255, 39.46099515461719], [-0.390939748498197, 39.461112493798126], [-0.389380359816102, 39.462973814946515], [-0.388410396078139, 39.462280864570154]]]"
134,Feature,2,21,0221,Polygon,"[[[-0.370222580568471, 39.462510270660424], [-0.369998652399634, 39.46249619354944], [-0.369837301037924, 39.462267322209776], [-0.368956980419931, 39.46101319118749], [-0.368267576372611, 39.46005165820505], [-0.369244353697054, 39.45963234816701], [-0.369678409291765, 39.46070070483847], [-0.370355452642401, 39.46150880070481], [-0.371054242044279, 39.462299367077335], [-0.370222580568471, 39.462510270660424]]]"
135,Feature,2,18,0218,Polygon,"[[[-0.371231299085744, 39.462497061393805], [-0.371054242044279, 39.462299367077335], [-0.370355452642401, 39.46150880070481], [-0.369678409291765, 39.46070070483847], [-0.371685818103727, 39.459858766610836], [-0.371129630829546, 39.46097228001028], [-0.371697934366437, 39.46167881137766], [-0.371993238421804, 39.462131424652085], [-0.372034088816212, 39.46241612465102], [-0.371231299085744, 39.462497061393805]]]"
136,Feature,10,45,1045,Polygon,"[[[-0.35915390728445, 39.46222319211002], [-0.358969529723981, 39.461912703593896], [-0.361572269748069, 39.46096735739825], [-0.361132678752024, 39.4603177525714], [-0.361515623364611, 39.4601597869337], [-0.362191570510929, 39.46114808049876], [-0.35915390728445, 39.46222319211002]]]"
137,Feature,11,1,1101,Polygon,"[[[-0.338599392228994, 39.4617174815763], [-0.335375788240338, 39.460747044526485], [-0.335722181362824, 39.45926404665326], [-0.340069974107369, 39.46006659049446], [-0.339895744434929, 39.46044546635851], [-0.339845012306541, 39.46055691214248], [-0.339430719228066, 39.461078923047445], [-0.338599392228994, 39.4617174815763]]]"
138,Feature,9,2,0902,Polygon,"[[[-0.388011348770537, 39.46219081592666], [-0.386937208540397, 39.462671155949344], [-0.385794310622669, 39.46106891307537], [-0.386551640810724, 39.460203089753], [-0.387541130369678, 39.46151809999968], [-0.388011348770537, 39.46219081592666]]]"
139,Feature,8,41,0841,Polygon,"[[[-0.397321296067401, 39.46289520811717], [-0.396121335342015, 39.46176474876235], [-0.397835900872743, 39.46064553103199], [-0.398737367678346, 39.46152154949068], [-0.397321296067401, 39.46289520811717]]]"
140,Feature,3,37,0337,Polygon,"[[[-0.384557733180241, 39.4626086112603], [-0.382366884256234, 39.462203429756094], [-0.382392932697468, 39.462109424504696], [-0.382825469296933, 39.46056965942264], [-0.383844513492183, 39.46088088871372], [-0.385238501586034, 39.46173206465538], [-0.384557733180241, 39.4626086112603]]]"
141,Feature,8,37,0837,Polygon,"[[[-0.40346966057858, 39.462812049274255], [-0.400748515617745, 39.46293138534144], [-0.400626107670027, 39.46177101928611], [-0.403404036083816, 39.46166646803534], [-0.40346966057858, 39.462812049274255]]]"
142,Feature,10,10,1010,Polygon,"[[[-0.358969529723981, 39.461912703593896], [-0.357882425558296, 39.460081732557185], [-0.359004104568419, 39.45969283008421], [-0.35910892251463, 39.459456480301036], [-0.361253047691203, 39.459631315911146], [-0.362787544919583, 39.46042739468997], [-0.363411474571823, 39.46071632149443], [-0.362191570510929, 39.46114808049876], [-0.361515623364611, 39.4601597869337], [-0.361132678752024, 39.4603177525714], [-0.361572269748069, 39.46096735739825], [-0.358969529723981, 39.461912703593896]]]"
143,Feature,8,12,0812,Polygon,"[[[-0.395330618651279, 39.46241818011965], [-0.395062836373098, 39.46266442274958], [-0.393705252777633, 39.46207993991018], [-0.392804469381385, 39.4615372225808], [-0.393354447882984, 39.46095047828005], [-0.39417750858492, 39.460072566220354], [-0.396121335342015, 39.46176474876235], [-0.395330618651279, 39.46241818011965]]]"
144,Feature,2,19,0219,Polygon,"[[[-0.372763970515937, 39.46166688525678], [-0.372779025918963, 39.461054629613656], [-0.372969052033134, 39.46094631651422], [-0.374324212043379, 39.46037336015945], [-0.375545066631679, 39.459855911391884], [-0.376406187409808, 39.46108253314766], [-0.373831547986044, 39.462154970652044], [-0.373471536465793, 39.46166486427434], [-0.372763970515937, 39.46166688525678]]]"
145,Feature,8,25,0825,Polygon,"[[[-0.405241528781176, 39.46274802951514], [-0.40346966057858, 39.462812049274255], [-0.403404036083816, 39.46166646803534], [-0.404558526194987, 39.46162019124842], [-0.405241528781176, 39.46274802951514]]]"
146,Feature,2,30,0230,Polygon,"[[[-0.378630927627415, 39.46156967056377], [-0.377176451049042, 39.462176470420786], [-0.376406187409808, 39.46108253314766], [-0.378092600153995, 39.460372871427865], [-0.378726199305431, 39.46131506999588], [-0.378630927627415, 39.46156967056377]]]"
147,Feature,2,10,0210,Polygon,"[[[-0.366956034102794, 39.46185522828349], [-0.366278824117706, 39.46089846436847], [-0.368267576372611, 39.46005165820505], [-0.368956980419931, 39.46101319118749], [-0.366956034102794, 39.46185522828349]]]"
148,Feature,12,32,1232,Polygon,"[[[-0.339895744434929, 39.46044546635851], [-0.340069974107369, 39.46006659049446], [-0.340620714428712, 39.45825044044625], [-0.340839114983441, 39.457836541875714], [-0.340865799918882, 39.45784165849641], [-0.343573085365844, 39.45842624830045], [-0.343747505705648, 39.45846177642805], [-0.342409140140254, 39.459561701084816], [-0.342990546245122, 39.459705657728705], [-0.342255999708083, 39.46116175535476], [-0.339895744434929, 39.46044546635851]]]"
149,Feature,8,7,0807,Polygon,"[[[-0.388011348770537, 39.46219081592666], [-0.387541130369678, 39.46151809999968], [-0.388889296307371, 39.45994484205655], [-0.390205567235804, 39.46069961996335], [-0.390729128062255, 39.46099515461719], [-0.388259586137332, 39.462079281888904], [-0.388011348770537, 39.46219081592666]]]"
150,Feature,2,26,0226,Polygon,"[[[-0.371697934366437, 39.46167881137766], [-0.371129630829546, 39.46097228001028], [-0.371685818103727, 39.459858766610836], [-0.372094102756323, 39.459683321610086], [-0.372969052033134, 39.46094631651422], [-0.372779025918963, 39.461054629613656], [-0.372763970515937, 39.46166688525678], [-0.371697934366437, 39.46167881137766]]]"
151,Feature,10,12,1012,Polygon,"[[[-0.365249430556319, 39.46132556490948], [-0.365008197816229, 39.461423695312455], [-0.363683558564094, 39.46083960907103], [-0.363877450844954, 39.46053320585082], [-0.365413033487171, 39.459973455735664], [-0.365446732386166, 39.460023768027966], [-0.366120967685024, 39.46096245189025], [-0.365249430556319, 39.46132556490948]]]"
152,Feature,11,3,1103,Polygon,"[[[-0.335375788240338, 39.460747044526485], [-0.333050330904723, 39.460053935438275], [-0.332686330317688, 39.45933386151524], [-0.335002166878814, 39.458851105665964], [-0.335722181362824, 39.45926404665326], [-0.335375788240338, 39.460747044526485]]]"
153,Feature,8,14,0814,Polygon,"[[[-0.392428458769953, 39.461938684179074], [-0.391583789748692, 39.46146928686052], [-0.390939748498197, 39.461112493798126], [-0.390729128062255, 39.46099515461719], [-0.390205567235804, 39.46069961996335], [-0.391004130100439, 39.45962298721178], [-0.391961988476357, 39.460153486455134], [-0.393354447882984, 39.46095047828005], [-0.392804469381385, 39.4615372225808], [-0.392428458769953, 39.461938684179074]]]"
154,Feature,12,42,1242,Polygon,"[[[-0.347647226968459, 39.460888858001205], [-0.345513036632504, 39.460358033201665], [-0.34413108112891, 39.46000656476752], [-0.342990546245122, 39.459705657728705], [-0.342409140140254, 39.459561701084816], [-0.343747505705648, 39.45846177642805], [-0.343573085365844, 39.45842624830045], [-0.340865799918882, 39.45784165849641], [-0.340839114983441, 39.457836541875714], [-0.340884460994592, 39.45775199857834], [-0.341404355707313, 39.45409283707265], [-0.343014053876077, 39.45381894794261], [-0.343810050135444, 39.45381917641191], [-0.34485369977403, 39.453915161311095], [-0.345567269630736, 39.45403961233277], [-0.346251426624754, 39.454154376611406], [-0.3473249091321, 39.45444020649798], [-0.348154193326168, 39.4549411539568], [-0.347404613726254, 39.45633837887219], [-0.347629561450111, 39.45664982537724], [-0.348356173033216, 39.45815289882215], [-0.348369170325708, 39.45905407331928], [-0.348249657349498, 39.459695466290505], [-0.347883825573033, 39.46058797348134], [-0.347647226968459, 39.460888858001205]]]"
155,Feature,8,28,0828,Polygon,"[[[-0.397835900872743, 39.46064553103199], [-0.396121335342015, 39.46176474876235], [-0.39417750858492, 39.460072566220354], [-0.395432085577302, 39.45923134790322], [-0.395582867591735, 39.458752758007726], [-0.397835900872743, 39.46064553103199]]]"
156,Feature,8,23,0823,Polygon,"[[[-0.399039113642874, 39.4618255939196], [-0.398737367678346, 39.46152154949068], [-0.399623006948807, 39.46071706981952], [-0.400097318591692, 39.46102947770489], [-0.400626107670027, 39.46177101928611], [-0.399039113642874, 39.4618255939196]]]"
157,Feature,9,3,0903,Polygon,"[[[-0.387541130369678, 39.46151809999968], [-0.386551640810724, 39.460203089753], [-0.386815449680508, 39.45983065456443], [-0.386905275055776, 39.459080442044254], [-0.388211457374711, 39.45956024804159], [-0.388889296307371, 39.45994484205655], [-0.387541130369678, 39.46151809999968]]]"
158,Feature,3,46,0346,Polygon,"[[[-0.387299892220535, 39.465499056232936], [-0.386678007676149, 39.46464725566989], [-0.386103851934891, 39.463859586819936], [-0.387813090921879, 39.46389802531619], [-0.388121852146917, 39.46432387400693], [-0.388193630051995, 39.46442458390896], [-0.387299892220535, 39.465499056232936]]]"
